Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.1,0.921,0.482,0.925,0.704,0.994,0.099
DecisionTree,0.15,0.9,0.5,0.904,0.702,0.994,0.08
DecisionTree,0.05,0.957,0.425,0.963,0.694,0.994,0.163
DecisionTree,0.25,0.843,0.535,0.846,0.691,0.994,0.049
DecisionTree,0.3,0.823,0.546,0.826,0.686,0.994,0.043
DecisionTree,0.4,0.783,0.584,0.786,0.685,0.994,0.035
ExtraTrees,0.3,0.912,0.439,0.917,0.678,0.993,0.08
DecisionTree,0.5,0.742,0.609,0.744,0.676,0.994,0.028
RandomForest,0.4,0.897,0.446,0.902,0.674,0.993,0.067
RandomForest,0.5,0.855,0.481,0.859,0.67,0.993,0.048
ExtraTrees,0.4,0.862,0.467,0.866,0.666,0.993,0.049
ExtraTrees,0.25,0.927,0.379,0.933,0.656,0.993,0.084
RandomForest,0.3,0.94,0.363,0.946,0.655,0.993,0.1
ExtraTrees,0.5,0.827,0.472,0.831,0.652,0.993,0.036
ExtraTrees,0.15,0.96,0.335,0.966,0.651,0.993,0.14
RandomForest,0.25,0.952,0.332,0.959,0.645,0.992,0.115
ExtraTrees,0.1,0.972,0.279,0.98,0.629,0.992,0.168
RandomForest,0.15,0.974,0.274,0.982,0.628,0.992,0.175
ExtraTrees,0.05,0.984,0.254,0.992,0.623,0.992,0.253
RandomForest,0.1,0.985,0.242,0.993,0.618,0.992,0.251
GradientBoosting,0.5,0.908,0.319,0.914,0.617,0.992,0.051
RandomForest,0.05,0.989,0.212,0.997,0.605,0.991,0.285
GradientBoosting,0.4,0.932,0.254,0.939,0.597,0.991,0.057
GradientBoosting,0.3,0.964,0.216,0.973,0.594,0.991,0.102
GradientBoosting,0.25,0.971,0.188,0.979,0.583,0.991,0.106
AdaBoost,0.5,0.887,0.249,0.894,0.572,0.991,0.026
KNeighbors,0.5,0.807,0.326,0.812,0.569,0.991,0.015
KNeighbors,0.4,0.854,0.274,0.86,0.567,0.991,0.019
GradientBoosting,0.15,0.982,0.135,0.992,0.563,0.991,0.135
SGD,0.5,0.677,0.44,0.68,0.56,0.991,0.015
KNeighbors,0.3,0.902,0.204,0.909,0.556,0.991,0.024
KNeighbors,0.25,0.919,0.182,0.927,0.555,0.991,0.028
AdaBoost,0.4,0.916,0.186,0.924,0.555,0.991,0.028
GradientBoosting,0.1,0.986,0.095,0.996,0.545,0.99,0.122
AdaBoost,0.25,0.968,0.105,0.977,0.541,0.99,0.052
KNeighbors,0.15,0.956,0.112,0.965,0.538,0.99,0.035
SGD,0.4,0.852,0.214,0.859,0.537,0.99,0.02
KNeighbors,0.1,0.971,0.091,0.98,0.536,0.99,0.049
LinearSVC,0.5,0.954,0.105,0.964,0.534,0.99,0.035
AdaBoost,0.3,0.954,0.1,0.964,0.532,0.99,0.029
GaussianNB,0.4,0.896,0.144,0.904,0.524,0.99,0.023
KNeighbors,0.05,0.984,0.046,0.994,0.52,0.99,0.048
LinearSVC,0.4,0.973,0.058,0.983,0.52,0.99,0.031
GaussianNB,0.5,0.971,0.06,0.981,0.52,0.99,0.038
GradientBoosting,0.05,0.988,0.04,0.998,0.519,0.99,0.064
GaussianNB,0.3,0.979,0.049,0.989,0.519,0.99,0.038
SVC_Linear,0.15,0.987,0.037,0.998,0.517,0.99,0.053
AdaBoost,0.15,0.981,0.044,0.991,0.517,0.99,0.037
SGD,0.15,0.987,0.037,0.997,0.517,0.99,0.052
LinearSVC,0.3,0.981,0.044,0.991,0.517,0.99,0.037
SGD,0.25,0.984,0.037,0.995,0.516,0.99,0.042
SVC_Linear,0.3,0.985,0.037,0.996,0.516,0.99,0.046
SGD,0.3,0.982,0.04,0.993,0.516,0.99,0.039
LinearSVC,0.15,0.987,0.033,0.997,0.515,0.99,0.045
GaussianNB,0.15,0.26,0.775,0.254,0.515,0.991,0.006
SVC_Linear,0.25,0.986,0.033,0.996,0.515,0.99,0.042
LinearSVC,0.25,0.983,0.037,0.993,0.515,0.99,0.037
GaussianNB,0.25,0.904,0.118,0.912,0.515,0.99,0.021
SVC_Linear,0.5,0.981,0.037,0.991,0.514,0.99,0.037
AdaBoost,0.1,0.985,0.03,0.996,0.513,0.99,0.034
SVC,0.5,0.961,0.054,0.971,0.513,0.99,0.013
SVC_Linear,0.1,0.988,0.025,0.999,0.512,0.989,0.04
SGD,0.1,0.988,0.025,0.999,0.512,0.989,0.04
SVC_Linear,0.4,0.981,0.032,0.992,0.512,0.989,0.031
LinearSVC,0.1,0.988,0.023,0.999,0.511,0.989,0.036
SVC,0.4,0.983,0.016,0.993,0.505,0.989,0.012
SVC,0.25,0.987,0.007,0.998,0.503,0.989,0.008
SVC,0.3,0.987,0.009,0.998,0.503,0.989,0.01
SVC_Linear,0.05,0.989,0.005,1,0.502,0.989,0.009
LinearSVC,0.05,0.989,0.004,1,0.502,0.989,0.006
GaussianNB,0.05,0.016,0.998,0.005,0.502,0.998,0
SGD,0.05,0.989,0.004,1,0.502,0.989,0.006
AdaBoost,0.05,0.988,0.004,0.999,0.501,0.989,0.004
SVC,0.1,0.989,0.002,0.999,0.501,0.989,0.002
SVC,0.05,0.989,0,1,0.5,0.989,0
SVC,0.15,0.988,0.002,0.999,0.5,0.989,0.002
GaussianNB,0.1,0.016,0.989,0.005,0.497,0.988,0
