Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
KMeans,0.4,0.518,0.539,0.517,0.528,0.99,0.003
Birch,0.3,0.415,0.637,0.413,0.525,0.99,0.003
MiniBatchKMeans,0.15,0.553,0.495,0.554,0.524,0.99,0.003
KMeans,0.5,0.517,0.53,0.517,0.524,0.99,0.003
KMeans,0.05,0.55,0.491,0.55,0.521,0.99,0.002
MiniBatchKMeans,0.05,0.532,0.511,0.532,0.521,0.99,0.002
Birch,0.5,0.361,0.679,0.357,0.518,0.99,0.001
Birch,0.25,0.438,0.596,0.436,0.516,0.99,0.002
Birch,0.4,0.446,0.575,0.445,0.51,0.989,0.001
KMeans,0.3,0.515,0.5,0.515,0.507,0.989,0.002
MiniBatchKMeans,0.4,0.52,0.486,0.52,0.503,0.989,0.001
MiniBatchKMeans,0.5,0.493,0.512,0.493,0.503,0.989,0.001
KMeans,0.15,0.499,0.489,0.499,0.494,0.989,0
Birch,0.15,0.443,0.544,0.442,0.493,0.989,0
MiniBatchKMeans,0.25,0.498,0.488,0.499,0.493,0.989,0
Birch,0.05,0.412,0.563,0.41,0.487,0.988,-0.001
KMeans,0.25,0.48,0.491,0.48,0.486,0.988,0
MiniBatchKMeans,0.3,0.469,0.486,0.469,0.477,0.988,-0.001
MiniBatchKMeans,0.1,0.471,0.477,0.471,0.474,0.988,-0.002
KMeans,0.1,0.466,0.472,0.466,0.469,0.987,-0.002
Birch,0.1,0.39,0.54,0.388,0.464,0.987,-0.002
