Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
KMeans,0.4,0.568,0.526,0.568,0.547,0.991,0.005
MiniBatchKMeans,0.5,0.501,0.523,0.501,0.512,0.989,0.002
KMeans,0.15,0.533,0.475,0.534,0.505,0.989,0.001
MiniBatchKMeans,0.05,0.516,0.491,0.517,0.504,0.989,0.001
Birch,0.1,0.373,0.639,0.37,0.504,0.989,0
MiniBatchKMeans,0.4,0.499,0.502,0.499,0.501,0.989,0.001
MiniBatchKMeans,0.15,0.499,0.498,0.499,0.499,0.989,0
Birch,0.15,0.319,0.684,0.315,0.499,0.989,0
Birch,0.5,0.356,0.646,0.353,0.499,0.989,0
KMeans,0.1,0.484,0.507,0.484,0.496,0.989,0
Birch,0.3,0.362,0.632,0.359,0.495,0.989,0
KMeans,0.05,0.497,0.486,0.497,0.492,0.988,0
MiniBatchKMeans,0.1,0.513,0.468,0.513,0.491,0.989,0
MiniBatchKMeans,0.3,0.478,0.505,0.477,0.491,0.989,0
Birch,0.25,0.303,0.67,0.299,0.485,0.988,-0.001
KMeans,0.5,0.467,0.496,0.467,0.482,0.988,-0.001
Birch,0.05,0.366,0.596,0.363,0.48,0.988,-0.001
MiniBatchKMeans,0.25,0.482,0.472,0.482,0.477,0.988,-0.001
Birch,0.4,0.312,0.644,0.308,0.476,0.988,-0.002
KMeans,0.3,0.485,0.465,0.485,0.475,0.988,-0.002
KMeans,0.25,0.465,0.475,0.465,0.47,0.988,-0.002
