Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
KMeans,0.1,0.517,0.512,0.517,0.515,0.989,0.002
KMeans,0.05,0.52,0.509,0.52,0.514,0.989,0.002
Birch,0.3,0.499,0.528,0.498,0.513,0.989,0.002
KMeans,0.3,0.498,0.525,0.497,0.511,0.989,0.002
MiniBatchKMeans,0.05,0.499,0.521,0.499,0.51,0.989,0.002
Birch,0.25,0.499,0.521,0.499,0.51,0.989,0.002
Birch,0.5,0.516,0.496,0.516,0.506,0.989,0.001
MiniBatchKMeans,0.3,0.502,0.502,0.502,0.502,0.989,0.001
KMeans,0.4,0.481,0.518,0.481,0.499,0.989,0.001
MiniBatchKMeans,0.4,0.497,0.502,0.497,0.499,0.989,0.001
MiniBatchKMeans,0.1,0.515,0.481,0.515,0.498,0.989,0.001
MiniBatchKMeans,0.5,0.48,0.507,0.48,0.493,0.988,0
KMeans,0.5,0.48,0.504,0.48,0.492,0.988,0
MiniBatchKMeans,0.15,0.467,0.516,0.466,0.491,0.988,0
MiniBatchKMeans,0.25,0.448,0.514,0.447,0.481,0.988,-0.001
KMeans,0.15,0.483,0.461,0.483,0.472,0.988,-0.002
KMeans,0.25,0.447,0.496,0.447,0.472,0.988,-0.002
Birch,0.05,0.461,0.472,0.461,0.467,0.987,-0.002
Birch,0.4,0.434,0.491,0.433,0.462,0.987,-0.002
Birch,0.15,0.463,0.449,0.463,0.456,0.987,-0.003
Birch,0.1,0.432,0.474,0.432,0.453,0.987,-0.003
