,Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1
0,RandomForest,0.9705034545248611,0.862674706246135,0.9278885003885003,0.7311111111111112,0.9743635946015691,0.9942383013811585,0.9840631160361432
1,SVC,0.5356863744478424,0.588167044595616,0.12261263405243966,0.6522222222222221,0.9362444989542776,0.52411186696901,0.6687343756752931
2,LinearSVC,0.642400045305244,0.6131917817632104,0.14217424782710308,0.5774074074074075,0.9392945001843602,0.6489761561190134,0.7659373765294099
3,SGD,0.912005889681731,0.5151851851851852,-0.5333333333333333,0.030370370370370374,0.9117867492307007,1.0,0.9538487755196278
4,AdaBoost,0.9067618076792392,0.5166089466089465,-0.16444444444444445,0.04,0.9120855433282298,0.9932178932178932,0.9508958523292718
5,GaussianNB,0.09751953788651034,0.5022122586408301,0.09112904438458506,0.9966666666666666,-0.03333333333333333,0.00775785061499347,0.015202751647713791
6,KNeighbors,0.90214350436063,0.6213011063011061,0.37603896103896106,0.27814814814814814,0.9307757991279731,0.9644540644540645,0.9470673439766811
7,GradientBoosting,0.924317589761015,0.6026108018965163,0.4877777777777778,0.20962962962962967,0.9268285992022618,0.9955919741634027,0.9599245718385991
