,Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1
0,SGD,0.8819005847953216,0.570073815073815,0.5519444444444445,0.14777777777777779,0.8859025376984596,0.9923698523698524,0.9359338558644008
1,SVC,0.6978713450292398,0.6256630406630406,0.25886771066270325,0.5270370370370371,0.9097224719030563,0.7242890442890444,0.798344086247767
2,LinearSVC,0.7520643274853802,0.6629137529137528,0.3913331981756126,0.5411111111111111,0.9177600223718915,0.784716394716395,0.8328641368657834
3,GradientBoosting,0.9114970760233919,0.6904739704739705,0.8677380952380953,0.39111111111111113,0.9161893622388573,0.9898368298368297,0.9512575185506016
4,KNeighbors,0.8687953216374269,0.6317534317534318,0.5246576571576571,0.31074074074074076,0.9026428766848151,0.9527661227661228,0.9259072595505127
5,RandomForest,0.9580994152046785,0.8784071484071486,0.9156950456950458,0.77,0.9667715113063688,0.9868142968142967,0.9762212616868605
6,GaussianNB,0.8730467836257307,0.5410852110852111,0.15833333333333333,0.09185185185185188,0.8792002760221828,0.9903185703185702,0.9313336350821915
7,AdaBoost,0.8946783625730995,0.6431688681688681,0.7644444444444446,0.3025925925925926,0.9043783315094902,0.9837451437451439,0.9420885468340262
