Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1,True_Negative,False_Positive,False_Negative,True_Positive
RandomForest,0.9907407407407407,0.9948979591836735,0.9090909090909091,1.0,1.0,0.9897959183673469,0.9948717948717948,10,0,1,97
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,0.9722222222222222,0.9846938775510203,0.7692307692307693,1.0,1.0,0.9693877551020408,0.9844559585492229,10,0,3,95
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
AdaBoost,0.9174311926605505,0.55,1.0,0.1,0.9166666666666666,1.0,0.9565217391304348,1,9,0,99
AdaBoost,0.9174311926605505,0.55,1.0,0.1,0.9166666666666666,1.0,0.9565217391304348,1,9,0,99
AdaBoost,0.9174311926605505,0.55,1.0,0.1,0.9166666666666666,1.0,0.9565217391304348,1,9,0,99
AdaBoost,0.908256880733945,0.544949494949495,0.5,0.1,0.9158878504672897,0.98989898989899,0.9514563106796117,1,9,1,98
AdaBoost,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
AdaBoost,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
AdaBoost,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
AdaBoost,0.8990825688073395,0.494949494949495,0.0,0.0,0.9074074074074074,0.98989898989899,0.9468599033816424,0,10,1,98
AdaBoost,0.8990825688073395,0.494949494949495,0.0,0.0,0.9074074074074074,0.98989898989899,0.9468599033816424,0,10,1,98
AdaBoost,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
AdaBoost,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
AdaBoost,0.8981481481481481,0.4898989898989899,0.0,0.0,0.9150943396226415,0.9797979797979798,0.9463414634146342,0,9,2,97
AdaBoost,0.9074074074074074,0.494949494949495,0.0,0.0,0.9158878504672897,0.98989898989899,0.9514563106796117,0,9,1,98
AdaBoost,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
AdaBoost,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
AdaBoost,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
AdaBoost,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
AdaBoost,0.8981481481481481,0.49489795918367346,0.0,0.0,0.9065420560747663,0.9897959183673469,0.9463414634146342,0,10,1,97
AdaBoost,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
AdaBoost,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
AdaBoost,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
AdaBoost,0.8888888888888888,0.4897959183673469,0.0,0.0,0.9056603773584906,0.9795918367346939,0.9411764705882353,0,10,2,96
AdaBoost,0.9166666666666666,0.55,1.0,0.1,0.9158878504672897,1.0,0.9560975609756098,1,9,0,98
AdaBoost,0.8981481481481481,0.539795918367347,0.3333333333333333,0.1,0.9142857142857143,0.9795918367346939,0.9458128078817734,1,9,2,96
AdaBoost,0.8888888888888888,0.4897959183673469,0.0,0.0,0.9056603773584906,0.9795918367346939,0.9411764705882353,0,10,2,96
AdaBoost,0.9074074074074074,0.5448979591836735,0.5,0.1,0.9150943396226415,0.9897959183673469,0.9509803921568627,1,9,1,97
AdaBoost,0.9259259259259259,0.6,1.0,0.2,0.9245283018867925,1.0,0.9607843137254902,2,8,0,98
AdaBoost,0.8981481481481481,0.49489795918367346,0.0,0.0,0.9065420560747663,0.9897959183673469,0.9463414634146342,0,10,1,97
AdaBoost,0.8981481481481481,0.539795918367347,0.3333333333333333,0.1,0.9142857142857143,0.9795918367346939,0.9458128078817734,1,9,2,96
AdaBoost,0.8981481481481481,0.5846938775510204,0.4,0.2,0.9223300970873787,0.9693877551020408,0.9452736318407962,2,8,3,95
GradientBoosting,0.9541284403669725,0.75,1.0,0.5,0.9519230769230769,1.0,0.9753694581280787,5,5,0,99
GradientBoosting,0.944954128440367,0.7,1.0,0.4,0.9428571428571428,1.0,0.9705882352941176,4,6,0,99
GradientBoosting,0.9357798165137615,0.65,1.0,0.3,0.9339622641509434,1.0,0.9658536585365853,3,7,0,99
GradientBoosting,0.9174311926605505,0.594949494949495,0.6666666666666666,0.2,0.9245283018867925,0.98989898989899,0.9560975609756097,2,8,1,98
GradientBoosting,0.926605504587156,0.6,1.0,0.2,0.9252336448598131,1.0,0.9611650485436893,2,8,0,99
GradientBoosting,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
GradientBoosting,0.8899082568807339,0.4898989898989899,0.0,0.0,0.9065420560747663,0.9797979797979798,0.9417475728155339,0,10,2,97
GradientBoosting,0.8990825688073395,0.494949494949495,0.0,0.0,0.9074074074074074,0.98989898989899,0.9468599033816424,0,10,1,98
GradientBoosting,0.926605504587156,0.6,1.0,0.2,0.9252336448598131,1.0,0.9611650485436893,2,8,0,99
GradientBoosting,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
GradientBoosting,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
GradientBoosting,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
GradientBoosting,0.9629629629629629,0.7777777777777778,1.0,0.5555555555555556,0.9611650485436893,1.0,0.9801980198019802,5,4,0,99
GradientBoosting,0.9259259259259259,0.5555555555555556,1.0,0.1111111111111111,0.9252336448598131,1.0,0.9611650485436893,1,8,0,99
GradientBoosting,0.9351851851851852,0.6111111111111112,1.0,0.2222222222222222,0.9339622641509434,1.0,0.9658536585365853,2,7,0,99
GradientBoosting,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
GradientBoosting,0.8888888888888888,0.4897959183673469,0.0,0.0,0.9056603773584906,0.9795918367346939,0.9411764705882353,0,10,2,96
GradientBoosting,0.9166666666666666,0.5948979591836735,0.6666666666666666,0.2,0.9238095238095239,0.9897959183673469,0.9556650246305419,2,8,1,97
GradientBoosting,0.9166666666666666,0.55,1.0,0.1,0.9158878504672897,1.0,0.9560975609756098,1,9,0,98
GradientBoosting,0.9259259259259259,0.6,1.0,0.2,0.9245283018867925,1.0,0.9607843137254902,2,8,0,98
GradientBoosting,0.9444444444444444,0.7,1.0,0.4,0.9423076923076923,1.0,0.9702970297029703,4,6,0,98
GradientBoosting,0.9166666666666666,0.5948979591836735,0.6666666666666666,0.2,0.9238095238095239,0.9897959183673469,0.9556650246305419,2,8,1,97
GradientBoosting,0.9537037037037037,0.75,1.0,0.5,0.9514563106796117,1.0,0.9751243781094527,5,5,0,98
GradientBoosting,0.9351851851851852,0.65,1.0,0.3,0.9333333333333333,1.0,0.9655172413793104,3,7,0,98
GradientBoosting,0.9074074074074074,0.5897959183673469,0.5,0.2,0.9230769230769231,0.9795918367346939,0.9504950495049506,2,8,2,96
GradientBoosting,0.9166666666666666,0.55,1.0,0.1,0.9158878504672897,1.0,0.9560975609756098,1,9,0,98
GradientBoosting,0.9444444444444444,0.7,1.0,0.4,0.9423076923076923,1.0,0.9702970297029703,4,6,0,98
GradientBoosting,0.8981481481481481,0.539795918367347,0.3333333333333333,0.1,0.9142857142857143,0.9795918367346939,0.9458128078817734,1,9,2,96
GradientBoosting,0.9351851851851852,0.6948979591836735,0.8,0.4,0.941747572815534,0.9897959183673469,0.9651741293532338,4,6,1,97
GradientBoosting,0.9537037037037037,0.75,1.0,0.5,0.9514563106796117,1.0,0.9751243781094527,5,5,0,98
GaussianNB,0.10091743119266056,0.5050505050505051,0.09259259259259259,1.0,1.0,0.010101010101010102,0.02,10,0,98,1
GaussianNB,0.11926605504587157,0.5151515151515151,0.09433962264150944,1.0,1.0,0.030303030303030304,0.05882352941176471,10,0,96,3
GaussianNB,0.11009174311926606,0.51010101010101,0.09345794392523364,1.0,1.0,0.020202020202020204,0.03960396039603961,10,0,97,2
GaussianNB,0.09174311926605505,0.5,0.09174311926605505,1.0,-1,0.0,0.0,10,0,99,0
GaussianNB,0.10091743119266056,0.5050505050505051,0.09259259259259259,1.0,1.0,0.010101010101010102,0.02,10,0,98,1
GaussianNB,0.10091743119266056,0.5050505050505051,0.09259259259259259,1.0,1.0,0.010101010101010102,0.02,10,0,98,1
GaussianNB,0.11926605504587157,0.5151515151515151,0.09433962264150944,1.0,1.0,0.030303030303030304,0.05882352941176471,10,0,96,3
GaussianNB,0.09174311926605505,0.5,0.09174311926605505,1.0,-1,0.0,0.0,10,0,99,0
GaussianNB,0.10091743119266056,0.5050505050505051,0.09259259259259259,1.0,1.0,0.010101010101010102,0.02,10,0,98,1
GaussianNB,0.10091743119266056,0.5050505050505051,0.09259259259259259,1.0,1.0,0.010101010101010102,0.02,10,0,98,1
GaussianNB,0.1111111111111111,0.5151515151515151,0.08571428571428572,1.0,1.0,0.030303030303030304,0.05882352941176471,9,0,96,3
GaussianNB,0.10185185185185185,0.51010101010101,0.08490566037735849,1.0,1.0,0.020202020202020204,0.03960396039603961,9,0,97,2
GaussianNB,0.08333333333333333,0.5,0.08333333333333333,1.0,-1,0.0,0.0,9,0,99,0
GaussianNB,0.09259259259259259,0.5050505050505051,0.08411214953271028,1.0,1.0,0.010101010101010102,0.02,9,0,98,1
GaussianNB,0.08333333333333333,0.5,0.08333333333333333,1.0,-1,0.0,0.0,9,0,99,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.10185185185185185,0.5051020408163265,0.09345794392523364,1.0,1.0,0.01020408163265306,0.020202020202020204,10,0,97,1
GaussianNB,0.08333333333333333,0.45,0.08411214953271028,0.9,0.0,0.0,0.0,9,1,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.1111111111111111,0.5102040816326531,0.09433962264150944,1.0,1.0,0.02040816326530612,0.039999999999999994,10,0,96,2
GaussianNB,0.10185185185185185,0.5051020408163265,0.09345794392523364,1.0,1.0,0.01020408163265306,0.020202020202020204,10,0,97,1
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
GaussianNB,0.09259259259259259,0.5,0.09259259259259259,1.0,-1,0.0,0.0,10,0,98,0
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.9174311926605505,0.55,1.0,0.1,0.9166666666666666,1.0,0.9565217391304348,1,9,0,99
SGD,0.9174311926605505,0.55,1.0,0.1,0.9166666666666666,1.0,0.9565217391304348,1,9,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
