,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,split4_test_ROC_AUC,split5_test_ROC_AUC,split6_test_ROC_AUC,split7_test_ROC_AUC,split8_test_ROC_AUC,split9_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_train_ROC_AUC,split1_train_ROC_AUC,split2_train_ROC_AUC,split3_train_ROC_AUC,split4_train_ROC_AUC,split5_train_ROC_AUC,split6_train_ROC_AUC,split7_train_ROC_AUC,split8_train_ROC_AUC,split9_train_ROC_AUC,mean_train_ROC_AUC,std_train_ROC_AUC,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,split5_test_Recall,split6_test_Recall,split7_test_Recall,split8_test_Recall,split9_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_train_Recall,split1_train_Recall,split2_train_Recall,split3_train_Recall,split4_train_Recall,split5_train_Recall,split6_train_Recall,split7_train_Recall,split8_train_Recall,split9_train_Recall,mean_train_Recall,std_train_Recall,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,split5_test_F1,split6_test_F1,split7_test_F1,split8_test_F1,split9_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,split5_train_F1,split6_train_F1,split7_train_F1,split8_train_F1,split9_train_F1,mean_train_F1,std_train_F1,split0_test_Specificity,split1_test_Specificity,split2_test_Specificity,split3_test_Specificity,split4_test_Specificity,split5_test_Specificity,split6_test_Specificity,split7_test_Specificity,split8_test_Specificity,split9_test_Specificity,mean_test_Specificity,std_test_Specificity,rank_test_Specificity,split0_train_Specificity,split1_train_Specificity,split2_train_Specificity,split3_train_Specificity,split4_train_Specificity,split5_train_Specificity,split6_train_Specificity,split7_train_Specificity,split8_train_Specificity,split9_train_Specificity,mean_train_Specificity,std_train_Specificity
114,0.13461432456970215,0.0005879434085056974,0.00294039249420166,0.00021883751486063128,0.2,3,64,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 64}",0.9354838709677419,0.8571731748726655,0.8987691001697793,0.869269949066214,0.6600169779286926,0.7852292020373515,0.4014336917562724,0.7459677419354839,0.6158154121863799,0.4852150537634408,0.7254374174684022,0.17180921388449316,34,0.9519938617388878,0.9701967033674587,0.9608015152490718,0.9593313373253494,0.9721712489000494,0.961340759341532,0.9611495135688685,0.9663365122034476,0.9567999018603858,0.9713875021334698,0.963150885568852,0.006334076759072353,1.0,0.9838709677419355,0.9596774193548387,0.9838709677419355,0.9838709677419355,0.9596774193548387,0.9919354838709677,0.9516129032258065,0.9596774193548387,0.8790322580645161,0.9653225806451612,0.0326687566137566,125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96875,0.9494163424124513,0.9370078740157479,0.9457364341085271,0.9384615384615386,0.9370078740157479,0.9389312977099237,0.932806324110672,0.9370078740157479,0.8790322580645161,0.9364157816914872,0.021491515636638404,78,0.9755244755244755,0.9759510275470047,0.9785181937746602,0.9759510275470047,0.9768052516411379,0.9789473684210526,0.9763779527559054,0.9789473684210526,0.9785181937746602,0.9789473684210526,0.9774488227828005,0.0013702140585502031,0.5789473684210527,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.3584795321637427,0.12040394603977328,20,0.6646706586826348,0.6706586826347305,0.7065868263473054,0.6706586826347305,0.6826347305389222,0.7125748502994012,0.6785714285714286,0.7142857142857143,0.7083333333333334,0.7142857142857143,0.6923260621613915,0.019547255704899482
115,0.20933475494384765,0.0012439111771036942,0.002984619140625,4.037577633386256e-05,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.9303904923599321,0.8367996604414262,0.8900679117147707,0.8599320882852293,0.6672325976230901,0.7835314091680815,0.4121863799283154,0.7347670250896058,0.5940860215053763,0.47670250896057353,0.7185696095076402,0.1682931582906788,44,0.9848716545403816,0.9903901873672012,0.985469920374305,0.9852338334084519,0.9877959135492455,0.9880695598051209,0.9962450930192867,0.9871298429766171,0.9878578895715993,0.9913594470046083,0.9884423341616818,0.003281573219085989,0.9919354838709677,0.9838709677419355,0.9596774193548387,0.9838709677419355,0.9758064516129032,0.9596774193548387,0.9919354838709677,0.9435483870967742,0.9354838709677419,0.8870967741935484,0.9612903225806452,0.030982859213384763,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991039426523297,1.0,0.999910394265233,0.0002688172043010861,0.9685039370078741,0.9494163424124513,0.9370078740157479,0.9457364341085271,0.9343629343629344,0.9370078740157479,0.9389312977099237,0.9322709163346614,0.9243027888446215,0.8835341365461847,0.9351074535358673,0.02059135176223703,82,0.9823943661971831,0.9863013698630138,0.9841269841269841,0.9841269841269841,0.9845610939567709,0.9880478087649402,0.9836932569413838,0.9876106194690266,0.9854175872735306,0.9863013698630138,0.9852581440582832,0.0017091943067614208,0.631578947368421,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.36929824561403507,0.13275658836398282,13,0.7604790419161677,0.8143712574850299,0.7844311377245509,0.7844311377245509,0.7904191616766467,0.8383233532934131,0.7797619047619048,0.8333333333333334,0.8095238095238095,0.8154761904761905,0.8010550327915598,0.023777018469237594
116,0.26807758808135984,0.0016220632502248918,0.00309293270111084,5.640996177607683e-05,0.2,3,128,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 128}",0.9380305602716469,0.8387096774193549,0.8773344651952463,0.8709677419354839,0.6672325976230901,0.7858658743633277,0.3687275985663082,0.7347670250896057,0.6061827956989247,0.48835125448028677,0.7176169590643274,0.17506184376435355,47,0.9947095057197433,0.9989805335565428,0.9913774601334965,0.9961796836434657,0.994151481982272,0.9965472281243963,0.9995359703020994,0.9935782556750299,0.9956610556408944,0.9924955197132617,0.9953216694491204,0.0024865330850238824,0.9758064516129032,0.9838709677419355,0.9596774193548387,0.9838709677419355,0.9758064516129032,0.9596774193548387,0.9758064516129032,0.9435483870967742,0.9516129032258065,0.9032258064516129,0.9612903225806451,0.02331747144322736,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982078853046595,1.0,0.9998207885304659,0.0005376344086021389,0.9603174603174603,0.9494163424124513,0.9370078740157479,0.9457364341085271,0.9343629343629344,0.9370078740157479,0.9307692307692308,0.9322709163346614,0.932806324110672,0.8924302788844621,0.9352125669331894,0.016776273544162907,81,0.9863013698630138,0.9911190053285969,0.9902395740905058,0.9902395740905058,0.9906790945406124,0.98980044345898,0.9924410849266341,0.9906790945406124,0.9893428063943162,0.9893617021276596,0.9900203749361436,0.0015100683016531068,0.631578947368421,0.42105263157894735,0.42105263157894735,0.3684210526315789,0.2631578947368421,0.42105263157894735,0.16666666666666666,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.36929824561403507,0.13275658836398282,13,0.8143712574850299,0.8802395209580839,0.8682634730538922,0.8682634730538922,0.874251497005988,0.8622754491017964,0.8988095238095238,0.875,0.8690476190476191,0.8571428571428571,0.8667664670658682,0.02049347264371188
117,0.003449153900146484,4.210782606657985e-05,0.0025554656982421874,3.9024424110042086e-05,0.2,4,1,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 1}",0.9456706281833617,0.6513157894736842,0.7330220713073006,0.6646859083191851,0.5882852292020373,0.7391765704584041,0.5799731182795699,0.7130376344086021,0.6368727598566308,0.6093189964157706,0.6861358705904546,0.10195054199041081,108,0.7319554439508081,0.7324195694632241,0.7416859828729638,0.7336509776146631,0.732328354044599,0.7496163586804885,0.7224062339989759,0.7430262203447687,0.766985087045571,0.7692118962280253,0.7423286124244087,0.014705995362852796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9288389513108614,0.9288389513108614,0.9288389513108614,0.9288389513108614,0.9288389513108614,0.9288389513108614,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9323308270676691,0.9302357016135845,0.0017106627698747713,99,0.9303876615256357,0.9303876615256357,0.9303876615256357,0.9303876615256357,0.9303876615256357,0.9303876615256357,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9299999999999999,0.9302325969153813,0.00018991458614328502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.006122756004333496,7.625989228485083e-05,0.002543067932128906,3.142971852721364e-05,0.2,4,2,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 2}",0.9456706281833617,0.6971561969439728,0.7330220713073006,0.6648981324278438,0.66383701188455,0.741723259762309,0.5799731182795699,0.7114695340501792,0.6655465949820789,0.6081989247311828,0.7011495472552348,0.09480115910616076,85,0.7332405082308502,0.7462387053849291,0.7687152576567295,0.7538069023243835,0.7635750005365612,0.7523233103685103,0.7525254949650111,0.7707906639358253,0.7741055427547363,0.7775910991636799,0.7592912485321217,0.013293466327701854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9596774193548387,0.9959677419354838,0.012096774193548376,48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9465648854961832,0.9323308270676691,0.9429657794676806,0.9429657794676806,0.9358490566037737,0.9465648854961832,0.9429657794676806,0.9429657794676806,0.9501915708812261,0.9224806201550387,0.9405844963570796,0.007776926168924482,38,0.9457627118644067,0.9465648854961832,0.9493832411739686,0.9526248399487836,0.9526248399487836,0.9493832411739686,0.9522184300341296,0.9481733220050976,0.9441624365482234,0.9542539546814878,0.9495151902875032,0.003199625478654558,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.2631578947368421,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.16666666666666666,0.18830409356725147,0.06848849577523908,85,0.23353293413173654,0.24550898203592814,0.2874251497005988,0.33532934131736525,0.33532934131736525,0.2874251497005988,0.3333333333333333,0.27380952380952384,0.21428571428571427,0.3630952380952381,0.29090747077274026,0.0474320349999382
119,0.01153891086578369,0.00014726133670464123,0.0025464534759521485,1.6597495299592712e-05,0.2,4,4,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 4}",0.9456706281833616,0.7805602716468591,0.7325976230899831,0.6916383701188455,0.6941850594227504,0.7359932088285229,0.5698924731182795,0.6650985663082437,0.6655465949820789,0.5958781362007168,0.7077060931899641,0.09944169194143812,67,0.7434888287940248,0.7636903612130578,0.7739762410662546,0.7710519820573906,0.773447728199515,0.7671994720236945,0.7583898702850316,0.8194551117938216,0.7787778417818739,0.7857116188769415,0.7735189056091606,0.018867915592459858,1.0,1.0,1.0,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,0.9758064516129032,0.9435483870967742,0.9887096774193548,0.01774193548387095,64,1.0,0.9991039426523297,1.0,1.0,1.0,1.0,0.9991039426523297,1.0,0.9991039426523297,0.9991039426523297,0.9996415770609319,0.00043897665641277363,0.9465648854961832,0.9393939393939393,0.9429657794676806,0.9501915708812261,0.9429657794676806,0.9465648854961832,0.9389312977099237,0.9343629343629344,0.937984496124031,0.9176470588235294,0.9397572627223312,0.008625938906447231,56,0.950596252129472,0.9542148053059477,0.9579399141630901,0.9558886509635974,0.9583512237011592,0.9567081011573082,0.9595524956970739,0.9562982005141388,0.9595524956970739,0.9603789836347975,0.9569481122963659,0.00278762336345067,0.2631578947368421,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.2309941520467836,0.046820161172510165,75,0.30538922155688625,0.3652694610778443,0.41317365269461076,0.38323353293413176,0.41916167664670656,0.39520958083832336,0.44642857142857145,0.39285714285714285,0.44642857142857145,0.4583333333333333,0.40254847447961223,0.04324611276899522
120,0.022298216819763184,0.00012858213703772323,0.0026224613189697265,4.569000800393811e-05,0.2,4,8,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 8}",0.9634974533106961,0.8378607809847199,0.7247453310696095,0.7506366723259763,0.6814516129032258,0.7735568760611206,0.635752688172043,0.6545698924731183,0.5945340501792115,0.5349462365591398,0.7151551594038861,0.1181643762255522,49,0.8311387976734703,0.8260495138754748,0.7991704762517975,0.8222452943575216,0.8660206468782864,0.8460069109093641,0.8326559566478922,0.8433073050008534,0.8714424389827615,0.8616738137907493,0.8399711154368171,0.02119391342754572,1.0,1.0,1.0,0.9919354838709677,1.0,0.967741935483871,0.9919354838709677,0.9435483870967742,0.9354838709677419,0.9435483870967742,0.9774193548387096,0.025705447500821328,100,1.0,1.0,1.0,0.9991039426523297,1.0,1.0,0.9991039426523297,0.9991039426523297,0.9991039426523297,0.9991039426523297,0.9995519713261649,0.00044802867383514355,0.9649805447470817,0.9429657794676806,0.9465648854961832,0.9461538461538461,0.9501915708812261,0.9448818897637796,0.9389312977099237,0.9285714285714286,0.9243027888446215,0.9176470588235294,0.9405191090459301,0.01310193885358281,39,0.9554794520547945,0.9579399141630901,0.9604130808950087,0.9632829373650107,0.9624838292367399,0.9620689655172414,0.9620362381363243,0.9645328719723182,0.9620362381363243,0.9649502379922112,0.9615223765469063,0.002761261657729297,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.32719298245614037,0.11112226783014821,35,0.3772455089820359,0.41317365269461076,0.4491017964071856,0.49700598802395207,0.47904191616766467,0.47305389221556887,0.48214285714285715,0.5178571428571429,0.48214285714285715,0.5238095238095238,0.46945751354433984,0.043090017613100225
121,0.04368431568145752,0.0002364320740310304,0.0026444196701049805,2.9803323728905288e-05,0.2,4,16,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 16}",0.9490662139219016,0.8471986417657046,0.8696943972835314,0.8155772495755519,0.6126910016977929,0.7820458404074704,0.5748207885304659,0.6931003584229392,0.6368727598566308,0.5082885304659499,0.7289355781927939,0.13721996518006005,26,0.889049857274698,0.8994323181593801,0.9044008756680187,0.8928889532762432,0.9285756444101045,0.9209886678256392,0.8995482377538829,0.9079754437617341,0.9170826932923707,0.9386334058713091,0.909857609729338,0.01524368645367625,0.9838709677419355,1.0,1.0,0.9919354838709677,0.9919354838709677,0.967741935483871,0.9919354838709677,0.9435483870967742,0.9274193548387096,0.9112903225806451,0.970967741935484,0.030645161290322593,116,1.0,0.9991039426523297,1.0,0.9991039426523297,0.9991039426523297,1.0,1.0,0.9991039426523297,0.9991039426523297,0.9991039426523297,0.9994623655913978,0.0004389766564127737,0.9606299212598426,0.9575289575289575,0.9501915708812261,0.9498069498069498,0.9498069498069498,0.9448818897637796,0.9389312977099237,0.9285714285714286,0.92,0.900398406374502,0.940074737170356,0.017756396671846593,50,0.9670710571923744,0.9678819444444443,0.9708568943018704,0.9683022145028223,0.9695652173913044,0.9712793733681463,0.9691706469821971,0.9704090513489991,0.9712543554006968,0.9725250763192325,0.9698315831252089,0.0016440305886458201,0.5789473684210527,0.42105263157894735,0.3157894736842105,0.3684210526315789,0.3684210526315789,0.47368421052631576,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.36929824561403507,0.11128833204375815,13,0.5449101796407185,0.562874251497006,0.5988023952095808,0.5688622754491018,0.5868263473053892,0.6047904191616766,0.5773809523809523,0.6011904761904762,0.6130952380952381,0.6309523809523809,0.588968491588252,0.024507808582960578
122,0.08619608879089355,0.0004167992140290236,0.0027352571487426758,2.9359048152293552e-05,0.2,4,32,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 32}",0.9172325976230902,0.8516553480475382,0.8643887945670629,0.7773769100169781,0.6188455008488964,0.7801358234295416,0.3844086021505376,0.6998207885304659,0.6500896057347669,0.5049283154121864,0.7048882286361063,0.1600346947629352,74,0.970634000815573,0.9610993067628184,0.9579818856909835,0.9549825081020754,0.9581348056575022,0.9720505226106925,0.9646990740740742,0.9626269414575865,0.965560462536269,0.9741876813449394,0.9641957189052516,0.006143151446608267,0.9596774193548387,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.9758064516129032,0.967741935483871,0.9919354838709677,0.9354838709677419,0.9274193548387096,0.8790322580645161,0.9612903225806452,0.03548387096774195,126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9520000000000001,0.9534883720930232,0.9461538461538461,0.9498069498069498,0.937984496124031,0.9411764705882353,0.9389312977099237,0.9243027888446215,0.92,0.882591093117409,0.934643531443804,0.02030231072021188,83,0.9768052516411379,0.9746724890829693,0.9798068481123793,0.9772329246935202,0.9789473684210526,0.9793769197016235,0.9785181937746602,0.9793769197016235,0.9810989010989011,0.9802371541501977,0.9786072970378065,0.0017952897929012892,0.631578947368421,0.42105263157894735,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.42105263157894735,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.36403508771929827,0.11960637023229004,19,0.6826347305389222,0.6526946107784432,0.7245508982035929,0.688622754491018,0.7125748502994012,0.718562874251497,0.7083333333333334,0.7202380952380952,0.7440476190476191,0.7321428571428571,0.7084402623324778,0.025523026037939538
123,0.17164907455444336,0.0008922247237887283,0.0029567718505859376,6.0130394598603076e-05,0.2,4,64,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 64}",0.9376061120543294,0.823641765704584,0.8395585738539898,0.7845925297113753,0.6447368421052633,0.7529711375212225,0.478494623655914,0.7199820788530465,0.6326164874551972,0.5053763440860215,0.7119576495000943,0.13953113164279643,57,0.9950555877492328,0.9952407013929131,0.9931025046680831,0.996134075934153,0.9919328010645376,0.9948946193634236,0.9993439580133129,0.9923248421232292,0.9935115847414234,0.9955143795869603,0.9947055054637269,0.002049526657921898,0.9596774193548387,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9516129032258065,0.9596774193548387,0.9838709677419355,0.9354838709677419,0.9274193548387096,0.9032258064516129,0.957258064516129,0.02675912906941463,131,0.9991039426523297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999910394265233,0.0002688172043010861,0.9520000000000001,0.9494163424124513,0.9494163424124513,0.9494163424124513,0.9254901960784313,0.9370078740157479,0.9348659003831418,0.9243027888446215,0.92,0.8995983935742972,0.9341514180133595,0.016101185817196134,86,0.987599645704163,0.9889233495790873,0.9876106194690266,0.9906790945406124,0.9924410849266341,0.9889233495790873,0.9928825622775801,0.9902395740905058,0.9889233495790873,0.9919999999999999,0.9900222629745784,0.0018365739325336102,0.631578947368421,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.3157894736842105,0.42105263157894735,0.16666666666666666,0.3888888888888889,0.3888888888888889,0.2777777777777778,0.3853801169590643,0.11401109359205663,9,0.8383233532934131,0.8502994011976048,0.8323353293413174,0.874251497005988,0.8982035928143712,0.8502994011976048,0.9047619047619048,0.8690476190476191,0.8511904761904762,0.8928571428571429,0.8661569717707442,0.02439187975773107
