N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.646,0.592,0.647,0.619,0.99,0.021,,Accuracy,67.233
1,0.677,0.605,0.678,0.642,0.991,0.027,,StdAccuracy,0.019459906983282
2,0.672,0.566,0.674,0.62,0.99,0.023,,n,100
3,0.691,0.487,0.695,0.591,0.988,0.018,,Error estándar,0.001945990698328
4,0.68,0.592,0.681,0.637,0.99,0.026,,Valor crítico (95%),1.96
5,0.668,0.632,0.669,0.65,0.991,0.028,,Margen de error,0.38
6,0.648,0.632,0.648,0.64,0.991,0.025,,,
7,0.684,0.658,0.685,0.671,0.992,0.033,,,
8,0.682,0.539,0.684,0.612,0.989,0.022,,Specificity,58.73
9,0.676,0.566,0.678,0.622,0.99,0.023,,StdSpecificity,0.060661921226324
10,0.649,0.526,0.651,0.588,0.988,0.016,,n,100
11,0.679,0.526,0.681,0.604,0.989,0.02,,Error estándar,0.006066192122632
12,0.675,0.526,0.678,0.602,0.989,0.019,,Valor crítico (95%),1.96
13,0.677,0.605,0.678,0.642,0.991,0.027,,Margen de error,1.19
14,0.688,0.5,0.691,0.595,0.988,0.019,,,
15,0.686,0.539,0.689,0.614,0.989,0.022,,,
16,0.68,0.539,0.682,0.611,0.989,0.021,,ROC AUC,63.053
17,0.661,0.592,0.663,0.627,0.99,0.023,,StdRecall,0.027103414000916
18,0.722,0.447,0.726,0.587,0.988,0.019,,n,100
19,0.676,0.579,0.677,0.628,0.99,0.024,,Error estándar,0.002710341400092
20,0.686,0.711,0.686,0.698,0.993,0.038,,Valor crítico (95%),1.96
21,0.64,0.658,0.64,0.649,0.991,0.026,,Margen de error,0.53
22,0.673,0.618,0.674,0.646,0.991,0.027,,,
23,0.676,0.632,0.677,0.654,0.991,0.029,,,
24,0.692,0.566,0.694,0.63,0.99,0.026,,,
25,0.665,0.539,0.668,0.604,0.989,0.019,,,
26,0.68,0.618,0.682,0.65,0.991,0.029,,,
27,0.637,0.671,0.636,0.654,0.992,0.026,,,
28,0.672,0.579,0.674,0.626,0.99,0.024,,,
29,0.675,0.618,0.676,0.647,0.991,0.028,,,
30,0.672,0.539,0.674,0.607,0.989,0.02,,,
31,0.675,0.592,0.677,0.634,0.99,0.026,,,
32,0.648,0.592,0.649,0.62,0.99,0.021,,,
33,0.684,0.658,0.684,0.671,0.992,0.033,,,
34,0.687,0.579,0.688,0.634,0.99,0.026,,,
35,0.654,0.632,0.655,0.643,0.991,0.026,,,
36,0.67,0.618,0.671,0.645,0.991,0.027,,,
37,0.689,0.5,0.692,0.596,0.988,0.019,,,
38,0.645,0.605,0.646,0.625,0.99,0.022,,,
39,0.647,0.592,0.648,0.62,0.99,0.021,,,
40,0.659,0.539,0.661,0.6,0.989,0.018,,,
41,0.685,0.513,0.688,0.601,0.989,0.02,,,
42,0.696,0.539,0.698,0.619,0.989,0.024,,,
43,0.683,0.605,0.685,0.645,0.991,0.028,,,
44,0.682,0.553,0.684,0.618,0.989,0.023,,,
45,0.649,0.618,0.65,0.634,0.99,0.024,,,
46,0.654,0.513,0.657,0.585,0.988,0.015,,,
47,0.655,0.579,0.657,0.618,0.99,0.021,,,
48,0.662,0.526,0.664,0.595,0.988,0.018,,,
49,0.688,0.605,0.689,0.647,0.991,0.029,,,
50,0.661,0.684,0.66,0.672,0.992,0.031,,,
51,0.655,0.671,0.655,0.663,0.992,0.029,,,
52,0.675,0.553,0.677,0.615,0.989,0.022,,,
53,0.675,0.592,0.676,0.634,0.99,0.025,,,
54,0.714,0.434,0.719,0.576,0.987,0.017,,,
55,0.633,0.618,0.633,0.626,0.99,0.021,,,
56,0.66,0.632,0.661,0.646,0.991,0.027,,,
57,0.707,0.566,0.709,0.637,0.99,0.029,,,
58,0.65,0.539,0.651,0.595,0.989,0.017,,,
59,0.696,0.605,0.697,0.651,0.991,0.031,,,
60,0.699,0.539,0.702,0.621,0.989,0.025,,,
61,0.695,0.553,0.698,0.625,0.99,0.025,,,
62,0.663,0.658,0.663,0.661,0.992,0.029,,,
63,0.704,0.513,0.707,0.61,0.989,0.023,,,
64,0.675,0.592,0.677,0.634,0.99,0.026,,,
65,0.671,0.658,0.671,0.665,0.992,0.031,,,
66,0.665,0.605,0.666,0.636,0.99,0.025,,,
67,0.668,0.658,0.668,0.663,0.992,0.03,,,
