N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.727,0.487,0.731,0.609,0.989,0.025
1,0.603,0.566,0.604,0.585,0.988,0.013
2,0.725,0.368,0.731,0.55,0.986,0.011
3,0.838,0.316,0.847,0.581,0.987,0.031
4,0.757,0.421,0.762,0.592,0.988,0.023
5,0.61,0.579,0.611,0.595,0.989,0.015
6,0.546,0.658,0.544,0.601,0.99,0.014
7,0.744,0.539,0.747,0.643,0.99,0.034
8,0.74,0.316,0.747,0.531,0.985,0.008
9,0.811,0.474,0.816,0.645,0.99,0.046
10,0.677,0.474,0.681,0.577,0.988,0.015
11,0.68,0.566,0.682,0.624,0.99,0.024
12,0.693,0.566,0.695,0.63,0.99,0.026
13,0.74,0.566,0.743,0.654,0.991,0.036
14,0.642,0.539,0.644,0.592,0.988,0.016
15,0.612,0.592,0.612,0.602,0.989,0.016
16,0.657,0.526,0.659,0.593,0.988,0.017
17,0.618,0.592,0.619,0.605,0.989,0.017
18,0.678,0.513,0.681,0.597,0.988,0.019
19,0.702,0.553,0.705,0.629,0.99,0.027
20,0.731,0.474,0.735,0.604,0.988,0.024
21,0.685,0.605,0.686,0.646,0.991,0.029
22,0.671,0.447,0.675,0.561,0.987,0.012
23,0.719,0.461,0.723,0.592,0.988,0.02
24,0.678,0.658,0.678,0.668,0.992,0.032
25,0.697,0.513,0.7,0.606,0.989,0.022
26,0.708,0.526,0.711,0.619,0.989,0.025
27,0.693,0.579,0.695,0.637,0.99,0.027
28,0.666,0.645,0.666,0.656,0.991,0.029
29,0.701,0.513,0.704,0.609,0.989,0.022
30,0.662,0.5,0.665,0.582,0.988,0.015
31,0.704,0.526,0.707,0.617,0.989,0.024
32,0.635,0.579,0.635,0.607,0.989,0.018
33,0.813,0.408,0.82,0.614,0.988,0.037
34,0.718,0.526,0.721,0.624,0.989,0.027
35,0.607,0.605,0.607,0.606,0.989,0.017
36,0.621,0.566,0.622,0.594,0.989,0.015
37,0.752,0.434,0.757,0.596,0.988,0.024
38,0.798,0.408,0.805,0.606,0.988,0.032
39,0.729,0.474,0.733,0.603,0.988,0.024
40,0.792,0.5,0.797,0.648,0.99,0.043
41,0.689,0.579,0.691,0.635,0.99,0.027
42,0.647,0.579,0.648,0.614,0.989,0.02
43,0.747,0.461,0.752,0.606,0.988,0.026
44,0.646,0.461,0.649,0.555,0.987,0.01
45,0.667,0.566,0.669,0.617,0.989,0.022
46,0.644,0.5,0.647,0.573,0.988,0.013
47,0.649,0.539,0.651,0.595,0.989,0.017
48,0.641,0.5,0.643,0.572,0.987,0.012
49,0.706,0.474,0.709,0.592,0.988,0.019
50,0.577,0.566,0.577,0.571,0.988,0.011
51,0.646,0.75,0.645,0.697,0.994,0.034
52,0.708,0.513,0.711,0.612,0.989,0.024
53,0.814,0.263,0.823,0.543,0.986,0.014
54,0.715,0.566,0.717,0.641,0.99,0.03
55,0.599,0.487,0.601,0.544,0.986,0.007
56,0.635,0.645,0.635,0.64,0.991,0.024
57,0.739,0.421,0.744,0.583,0.987,0.02
58,0.649,0.553,0.65,0.601,0.989,0.018
59,0.643,0.632,0.643,0.637,0.991,0.024
60,0.615,0.579,0.615,0.597,0.989,0.016
61,0.778,0.447,0.784,0.616,0.989,0.032
62,0.699,0.539,0.702,0.621,0.989,0.025
63,0.751,0.447,0.756,0.602,0.988,0.025
64,0.584,0.539,0.585,0.562,0.987,0.009
65,0.69,0.566,0.692,0.629,0.99,0.026
66,0.811,0.447,0.817,0.632,0.989,0.042
67,0.633,0.395,0.637,0.516,0.985,0.003
68,0.741,0.434,0.746,0.59,0.988,0.022
69,0.794,0.408,0.8,0.604,0.988,0.031
70,0.66,0.579,0.661,0.62,0.99,0.022
71,0.71,0.539,0.713,0.626,0.99,0.027
72,0.64,0.474,0.643,0.558,0.987,0.01
73,0.736,0.526,0.739,0.633,0.99,0.031
74,0.59,0.447,0.592,0.52,0.985,0.003
75,0.706,0.579,0.708,0.643,0.99,0.03
76,0.732,0.447,0.736,0.592,0.988,0.021
77,0.71,0.368,0.716,0.542,0.986,0.009
78,0.699,0.526,0.702,0.614,0.989,0.023
79,0.692,0.618,0.693,0.656,0.991,0.031
80,0.759,0.276,0.767,0.521,0.985,0.006
81,0.671,0.5,0.674,0.587,0.988,0.016
82,0.642,0.658,0.642,0.65,0.991,0.026
83,0.608,0.605,0.608,0.607,0.989,0.017
84,0.623,0.487,0.625,0.556,0.987,0.009
85,0.725,0.592,0.728,0.66,0.991,0.036
86,0.744,0.526,0.748,0.637,0.99,0.033
87,0.726,0.539,0.729,0.634,0.99,0.03
88,0.731,0.566,0.734,0.65,0.99,0.034
89,0.579,0.579,0.579,0.579,0.988,0.012
90,0.595,0.632,0.594,0.613,0.99,0.017
91,0.673,0.566,0.675,0.62,0.99,0.023
92,0.667,0.605,0.668,0.637,0.99,0.025
93,0.655,0.658,0.655,0.656,0.992,0.028
94,0.577,0.645,0.576,0.61,0.99,0.016
95,0.745,0.421,0.75,0.586,0.988,0.021
96,0.662,0.355,0.667,0.511,0.984,0.002
97,0.593,0.579,0.593,0.586,0.989,0.013
98,0.723,0.368,0.728,0.548,0.986,0.011
99,0.732,0.592,0.735,0.663,0.991,0.037
