N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
69,0.697,0.592,0.699,0.646,0.991,0.03,,,
70,0.74,0.434,0.745,0.59,0.988,0.021,,,
71,0.719,0.553,0.722,0.637,0.99,0.03,,,
72,0.738,0.539,0.741,0.64,0.99,0.033,,,
73,0.638,0.632,0.638,0.635,0.991,0.023,,,
74,0.704,0.671,0.704,0.688,0.992,0.039,,,
75,0.75,0.592,0.753,0.673,0.991,0.042,,,
76,0.747,0.618,0.749,0.684,0.992,0.044,,,
77,0.599,0.487,0.601,0.544,0.986,0.007,,,
78,0.701,0.487,0.704,0.595,0.988,0.02,,,
79,0.529,0.711,0.526,0.618,0.991,0.016,,,
80,0.715,0.474,0.719,0.596,0.988,0.021,,,
81,0.739,0.605,0.741,0.673,0.991,0.04,,,
82,0.656,0.618,0.656,0.637,0.991,0.025,,,
83,0.726,0.513,0.73,0.621,0.989,0.027,,,
84,0.676,0.487,0.679,0.583,0.988,0.016,,,
85,0.706,0.539,0.709,0.624,0.989,0.026,,,
86,0.726,0.487,0.73,0.608,0.989,0.024,,,
87,0.722,0.474,0.726,0.6,0.988,0.022,,,
88,0.745,0.553,0.748,0.65,0.99,0.036,,,
89,0.669,0.592,0.671,0.631,0.99,0.025,,,
90,0.679,0.684,0.679,0.682,0.992,0.035,,,
91,0.737,0.487,0.741,0.614,0.989,0.027,,,
92,0.718,0.447,0.722,0.585,0.988,0.019,,,
93,0.702,0.487,0.706,0.596,0.988,0.02,,,
94,0.747,0.566,0.75,0.658,0.991,0.038,,,
95,0.739,0.487,0.743,0.615,0.989,0.027,,,
96,0.681,0.513,0.684,0.599,0.988,0.019,,,
97,0.683,0.566,0.685,0.625,0.99,0.024,,,
98,0.701,0.539,0.703,0.621,0.989,0.025,,,
99,0.647,0.579,0.648,0.613,0.989,0.02,,,
