N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
0,0.659,0.645,0.66,0.652,0.991,0.028,,Accuracy,69.631
1,0.664,0.5,0.666,0.583,0.988,0.015,,StdAccuracy,0.057401948898742
2,0.617,0.618,0.617,0.618,0.99,0.019,,n,100
3,0.734,0.368,0.74,0.554,0.986,0.013,,Error estándar,0.005740194889874
4,0.712,0.461,0.716,0.588,0.988,0.019,,Valor crítico (95%),1.96
5,0.704,0.553,0.706,0.629,0.99,0.027,,Margen de error,1.13
6,0.712,0.513,0.716,0.614,0.989,0.025,,,
7,0.692,0.539,0.694,0.617,0.989,0.023,,,
8,0.651,0.5,0.653,0.577,0.988,0.014,,Specificity,55.141
9,0.638,0.605,0.638,0.622,0.99,0.021,,StdSpecificity,0.079605097928221
10,0.809,0.5,0.814,0.657,0.99,0.049,,n,100
11,0.654,0.645,0.655,0.65,0.991,0.027,,Error estándar,0.007960509792822
12,0.689,0.592,0.691,0.641,0.99,0.028,,Valor crítico (95%),1.96
13,0.681,0.434,0.685,0.56,0.987,0.012,,Margen de error,1.56
14,0.656,0.605,0.657,0.631,0.99,0.024,,,
15,0.77,0.382,0.777,0.579,0.987,0.021,,,
16,0.7,0.461,0.704,0.582,0.988,0.017,,ROC AUC,62.504
17,0.622,0.645,0.622,0.633,0.991,0.022,,StdRecall,0.031596227878682
18,0.677,0.566,0.679,0.622,0.99,0.023,,n,100
19,0.762,0.605,0.765,0.685,0.992,0.047,,Error estándar,0.003159622787868
20,0.813,0.408,0.82,0.614,0.988,0.037,,Valor crítico (95%),1.96
21,0.562,0.697,0.56,0.628,0.991,0.018,,Margen de error,0.62
22,0.766,0.368,0.773,0.57,0.987,0.019,,,
23,0.725,0.474,0.729,0.601,0.988,0.023,,,
24,0.458,0.724,0.453,0.589,0.99,0.01,,,
25,0.715,0.539,0.717,0.628,0.99,0.028,,,
26,0.743,0.632,0.745,0.688,0.992,0.044,,,
27,0.689,0.592,0.691,0.641,0.99,0.028,,,
28,0.721,0.553,0.723,0.638,0.99,0.03,,,
29,0.69,0.526,0.692,0.609,0.989,0.022,,,
30,0.754,0.539,0.757,0.648,0.99,0.037,,,
31,0.704,0.579,0.706,0.643,0.99,0.03,,,
32,0.638,0.618,0.639,0.629,0.99,0.022,,,
33,0.576,0.566,0.576,0.571,0.988,0.01,,,
34,0.701,0.684,0.702,0.693,0.993,0.039,,,
35,0.8,0.434,0.806,0.62,0.989,0.037,,,
36,0.812,0.447,0.818,0.633,0.989,0.043,,,
37,0.685,0.618,0.686,0.652,0.991,0.03,,,
38,0.781,0.447,0.787,0.617,0.989,0.033,,,
39,0.65,0.618,0.651,0.635,0.991,0.024,,,
40,0.638,0.618,0.638,0.628,0.99,0.022,,,
41,0.735,0.5,0.739,0.619,0.989,0.028,,,
42,0.734,0.553,0.737,0.645,0.99,0.033,,,
43,0.716,0.592,0.719,0.655,0.991,0.034,,,
44,0.698,0.5,0.701,0.601,0.988,0.021,,,
45,0.614,0.592,0.614,0.603,0.989,0.017,,,
46,0.705,0.632,0.706,0.669,0.992,0.035,,,
47,0.669,0.618,0.67,0.644,0.991,0.027,,,
48,0.691,0.526,0.694,0.61,0.989,0.022,,,
49,0.714,0.566,0.717,0.641,0.99,0.03,,,
50,0.727,0.566,0.73,0.648,0.99,0.033,,,
51,0.679,0.539,0.682,0.611,0.989,0.021,,,
52,0.73,0.579,0.733,0.656,0.991,0.035,,,
53,0.816,0.368,0.824,0.596,0.988,0.032,,,
54,0.769,0.474,0.774,0.624,0.989,0.033,,,
55,0.635,0.697,0.634,0.666,0.992,0.028,,,
56,0.619,0.684,0.618,0.651,0.992,0.025,,,
57,0.71,0.553,0.712,0.632,0.99,0.028,,,
58,0.691,0.474,0.695,0.584,0.988,0.017,,,
59,0.699,0.632,0.7,0.666,0.991,0.034,,,
60,0.672,0.592,0.674,0.633,0.99,0.025,,,
61,0.676,0.579,0.678,0.628,0.99,0.024,,,
62,0.645,0.592,0.645,0.619,0.99,0.021,,,
63,0.642,0.605,0.642,0.624,0.99,0.021,,,
64,0.703,0.461,0.706,0.584,0.988,0.017,,,
65,0.728,0.526,0.731,0.629,0.99,0.029,,,
66,0.703,0.513,0.706,0.61,0.989,0.023,,,
67,0.681,0.539,0.683,0.611,0.989,0.022,,,
68,0.73,0.658,0.731,0.695,0.992,0.044,,,
