N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
0,0.794,0.579,0.797,0.688,0.991,0.055
1,0.829,0.487,0.835,0.661,0.99,0.056
2,0.873,0.434,0.88,0.657,0.99,0.073
3,0.87,0.461,0.877,0.669,0.99,0.076
4,0.844,0.303,0.853,0.578,0.987,0.031
5,0.879,0.329,0.888,0.608,0.988,0.054
6,0.802,0.408,0.808,0.608,0.988,0.033
7,0.883,0.368,0.892,0.63,0.989,0.066
8,0.847,0.289,0.856,0.573,0.987,0.029
9,0.852,0.382,0.86,0.621,0.988,0.049
10,0.832,0.434,0.839,0.636,0.989,0.049
11,0.828,0.316,0.836,0.576,0.987,0.027
12,0.835,0.395,0.842,0.619,0.988,0.044
13,0.863,0.25,0.873,0.562,0.986,0.028
14,0.828,0.539,0.833,0.686,0.991,0.064
15,0.837,0.368,0.844,0.606,0.988,0.04
16,0.797,0.408,0.804,0.606,0.988,0.032
17,0.824,0.382,0.831,0.606,0.988,0.037
18,0.846,0.303,0.855,0.579,0.987,0.031
19,0.858,0.395,0.865,0.63,0.989,0.055
20,0.83,0.329,0.839,0.584,0.987,0.03
21,0.784,0.395,0.791,0.593,0.988,0.026
22,0.875,0.395,0.883,0.639,0.989,0.066
23,0.86,0.395,0.868,0.631,0.989,0.056
24,0.782,0.421,0.788,0.604,0.988,0.029
25,0.823,0.461,0.829,0.645,0.989,0.049
26,0.809,0.487,0.815,0.651,0.99,0.048
27,0.854,0.421,0.861,0.641,0.989,0.058
28,0.856,0.316,0.865,0.591,0.987,0.038
29,0.805,0.553,0.81,0.681,0.991,0.056
30,0.855,0.382,0.863,0.622,0.988,0.051
31,0.883,0.303,0.893,0.598,0.987,0.05
32,0.874,0.342,0.883,0.612,0.988,0.053
33,0.889,0.329,0.898,0.613,0.988,0.061
34,0.834,0.487,0.839,0.663,0.99,0.059
35,0.879,0.421,0.887,0.654,0.989,0.075
36,0.825,0.474,0.83,0.652,0.99,0.052
37,0.825,0.368,0.832,0.6,0.988,0.035
38,0.866,0.329,0.875,0.602,0.988,0.046
39,0.845,0.368,0.853,0.611,0.988,0.043
40,0.842,0.342,0.85,0.596,0.988,0.037
41,0.814,0.382,0.821,0.601,0.988,0.033
42,0.84,0.461,0.846,0.653,0.99,0.057
43,0.883,0.316,0.892,0.604,0.988,0.053
44,0.853,0.342,0.861,0.602,0.988,0.042
45,0.845,0.368,0.852,0.61,0.988,0.043
46,0.855,0.303,0.864,0.583,0.987,0.035
47,0.891,0.382,0.9,0.641,0.989,0.076
48,0.815,0.421,0.821,0.621,0.989,0.04
49,0.821,0.461,0.827,0.644,0.989,0.048
50,0.869,0.303,0.879,0.591,0.987,0.042
51,0.676,0.434,0.68,0.557,0.987,0.011
52,0.872,0.395,0.88,0.637,0.989,0.064
53,0.836,0.408,0.843,0.625,0.989,0.046
54,0.877,0.447,0.884,0.666,0.99,0.079
55,0.879,0.368,0.888,0.628,0.988,0.063
56,0.79,0.566,0.793,0.68,0.991,0.051
57,0.864,0.434,0.871,0.652,0.989,0.066
58,0.887,0.355,0.895,0.625,0.988,0.065
59,0.764,0.421,0.77,0.595,0.988,0.025
60,0.864,0.408,0.871,0.64,0.989,0.061
61,0.849,0.434,0.856,0.645,0.989,0.058
62,0.825,0.487,0.831,0.659,0.99,0.054
63,0.798,0.382,0.805,0.593,0.988,0.028
64,0.853,0.395,0.861,0.628,0.989,0.052
65,0.783,0.421,0.789,0.605,0.988,0.03
66,0.874,0.461,0.88,0.67,0.99,0.079
67,0.868,0.395,0.876,0.635,0.989,0.061
68,0.791,0.447,0.797,0.622,0.989,0.036
69,0.795,0.408,0.802,0.605,0.988,0.031
70,0.852,0.355,0.86,0.607,0.988,0.044
71,0.867,0.421,0.875,0.648,0.989,0.066
72,0.866,0.355,0.875,0.615,0.988,0.052
73,0.868,0.355,0.876,0.616,0.988,0.052
74,0.849,0.355,0.858,0.606,0.988,0.043
75,0.878,0.434,0.885,0.66,0.99,0.076
76,0.844,0.382,0.851,0.616,0.988,0.045
77,0.88,0.408,0.887,0.648,0.989,0.072
78,0.864,0.329,0.872,0.601,0.988,0.045
79,0.868,0.263,0.878,0.571,0.986,0.033
80,0.867,0.408,0.875,0.641,0.989,0.063
81,0.871,0.329,0.88,0.604,0.988,0.049
82,0.873,0.342,0.882,0.612,0.988,0.053
83,0.872,0.263,0.882,0.572,0.987,0.035
84,0.842,0.342,0.85,0.596,0.988,0.037
85,0.821,0.316,0.83,0.573,0.987,0.025
86,0.807,0.395,0.814,0.604,0.988,0.033
87,0.842,0.408,0.849,0.628,0.989,0.049
88,0.822,0.276,0.831,0.554,0.986,0.019
89,0.882,0.368,0.89,0.629,0.989,0.065
90,0.876,0.355,0.885,0.62,0.988,0.058
91,0.826,0.434,0.832,0.633,0.989,0.046
92,0.877,0.382,0.885,0.633,0.989,0.064
93,0.853,0.421,0.86,0.641,0.989,0.057
94,0.793,0.408,0.799,0.603,0.988,0.031
95,0.82,0.276,0.828,0.552,0.986,0.018
96,0.826,0.408,0.833,0.62,0.989,0.042
97,0.862,0.474,0.869,0.671,0.99,0.073
98,0.866,0.382,0.874,0.628,0.989,0.057
99,0.888,0.329,0.897,0.613,0.988,0.06
