N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.748,0.596,0.75,0.673,0.994,0.028,,,,
1,0.79,0.474,0.794,0.634,0.993,0.026,,MeanAccuracy,0.76622,
2,0.768,0.386,0.772,0.579,0.991,0.014,,StdAccuracy,0.027933029578156,
3,0.775,0.684,0.776,0.73,0.996,0.042,,n,100,
4,0.794,0.456,0.798,0.627,0.993,0.026,,Error estándar,0.002793302957816,
5,0.738,0.491,0.74,0.616,0.993,0.018,,Valor crítico,1.96,(95%)
6,0.789,0.474,0.793,0.633,0.993,0.026,,Margen de error,0.005474873797319,
7,0.798,0.526,0.801,0.664,0.994,0.033,,,,
8,0.782,0.333,0.787,0.56,0.991,0.012,,,,
9,0.721,0.491,0.723,0.607,0.992,0.016,,MeanSpecificity,0.48032,
10,0.77,0.386,0.775,0.58,0.991,0.015,,StdSpecificity,0.079431423952433,
11,0.786,0.561,0.788,0.675,0.994,0.034,,n,100,
12,0.765,0.421,0.768,0.595,0.992,0.017,,Error estándar,0.007943142395243,
13,0.764,0.509,0.767,0.638,0.993,0.024,,Valor crítico,1.96,(95%)
14,0.757,0.509,0.76,0.634,0.993,0.023,,Margen de error,0.015568559094677,
15,0.762,0.333,0.767,0.55,0.991,0.009,,,,
16,0.77,0.526,0.773,0.65,0.993,0.027,,,,
17,0.791,0.368,0.796,0.582,0.991,0.016,,MeanROC_AUC,0.62481,
18,0.719,0.456,0.722,0.589,0.992,0.013,,StdROC_AUC,0.036809280505236,
19,0.758,0.491,0.761,0.626,0.993,0.022,,n,100,
20,0.757,0.544,0.759,0.652,0.994,0.026,,Error estándar,0.003680928050524,
21,0.773,0.614,0.775,0.694,0.995,0.035,,Valor crítico,1.96,(95%)
22,0.756,0.491,0.759,0.625,0.993,0.021,,Margen de error,0.007214618979026,
23,0.752,0.561,0.754,0.658,0.994,0.026,,,,
24,0.757,0.474,0.76,0.617,0.993,0.02,,,,
25,0.761,0.509,0.763,0.636,0.993,0.024,,,,
26,0.791,0.386,0.795,0.59,0.992,0.018,,,,
27,0.755,0.684,0.756,0.72,0.995,0.037,,,,
28,0.737,0.509,0.74,0.624,0.993,0.02,,,,
29,0.791,0.404,0.795,0.599,0.992,0.02,,,,
30,0.737,0.526,0.739,0.633,0.993,0.021,,,,
31,0.721,0.491,0.724,0.608,0.992,0.016,,,,
32,0.81,0.421,0.814,0.618,0.992,0.026,,,,
33,0.736,0.561,0.738,0.65,0.994,0.024,,,,
34,0.772,0.509,0.775,0.642,0.993,0.026,,,,
35,0.733,0.649,0.734,0.692,0.995,0.03,,,,
36,0.791,0.439,0.794,0.616,0.992,0.023,,,,
37,0.781,0.509,0.784,0.646,0.993,0.028,,,,
38,0.727,0.544,0.729,0.636,0.993,0.021,,,,
39,0.791,0.474,0.794,0.634,0.993,0.027,,,,
40,0.805,0.491,0.808,0.65,0.993,0.032,,,,
41,0.751,0.351,0.755,0.553,0.991,0.009,,,,
42,0.783,0.491,0.787,0.639,0.993,0.027,,,,
43,0.699,0.596,0.7,0.648,0.994,0.021,,,,
44,0.738,0.421,0.741,0.581,0.992,0.013,,,,
45,0.724,0.526,0.726,0.626,0.993,0.019,,,,
46,0.764,0.526,0.767,0.646,0.993,0.026,,,,
47,0.765,0.456,0.768,0.612,0.992,0.02,,,,
48,0.801,0.544,0.804,0.674,0.994,0.036,,,,
49,0.743,0.614,0.744,0.679,0.994,0.029,,,,
50,0.828,0.333,0.833,0.583,0.991,0.02,,,,
51,0.765,0.439,0.768,0.604,0.992,0.018,,,,
52,0.791,0.456,0.795,0.626,0.993,0.025,,,,
53,0.793,0.404,0.797,0.6,0.992,0.02,,,,
54,0.737,0.561,0.739,0.65,0.994,0.024,,,,
55,0.786,0.333,0.791,0.562,0.991,0.012,,,,
56,0.765,0.439,0.768,0.603,0.992,0.018,,,,
57,0.744,0.509,0.746,0.627,0.993,0.021,,,,
58,0.768,0.456,0.771,0.614,0.992,0.02,,,,
59,0.754,0.526,0.757,0.642,0.993,0.024,,,,
60,0.811,0.351,0.816,0.583,0.991,0.018,,,,
61,0.779,0.386,0.783,0.585,0.992,0.016,,,,
62,0.749,0.491,0.752,0.622,0.993,0.02,,,,
63,0.748,0.404,0.752,0.578,0.991,0.013,,,,
64,0.774,0.456,0.778,0.617,0.992,0.022,,,,
65,0.772,0.474,0.775,0.624,0.993,0.023,,,,
66,0.801,0.474,0.804,0.639,0.993,0.029,,,,
67,0.76,0.404,0.764,0.584,0.992,0.015,,,,
68,0.768,0.596,0.77,0.683,0.994,0.033,,,,
69,0.757,0.456,0.76,0.608,0.992,0.019,,,,
70,0.812,0.386,0.817,0.601,0.992,0.022,,,,
71,0.701,0.526,0.703,0.614,0.993,0.016,,,,
72,0.792,0.614,0.794,0.704,0.995,0.04,,,,
73,0.755,0.579,0.757,0.668,0.994,0.028,,,,
74,0.786,0.404,0.79,0.597,0.992,0.019,,,,
75,0.757,0.491,0.76,0.625,0.993,0.021,,,,
76,0.776,0.509,0.779,0.644,0.993,0.027,,,,
77,0.699,0.544,0.7,0.622,0.993,0.017,,,,
78,0.731,0.526,0.733,0.63,0.993,0.02,,,,
79,0.798,0.404,0.803,0.603,0.992,0.021,,,,
80,0.821,0.491,0.824,0.658,0.993,0.036,,,,
