N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa,,,
67,0.983,0.996,0.991,0.286,0.298,0.106,0.211,0.603,0.444,0.278,,,
68,0.983,0.994,0.991,0.359,0.357,0.145,0.303,0.648,0.442,0.351,,,
69,0.982,0.996,0.991,0.194,0.213,0.063,0.132,0.564,0.37,0.187,,,
70,0.983,0.996,0.991,0.27,0.283,0.098,0.197,0.597,0.429,0.263,,,
71,0.986,0.999,0.993,0.261,0.34,0.132,0.158,0.579,0.75,0.257,,,
72,0.984,0.996,0.992,0.324,0.342,0.134,0.237,0.617,0.514,0.317,,,
73,0.983,0.996,0.991,0.229,0.248,0.079,0.158,0.577,0.414,0.222,,,
74,0.984,0.997,0.992,0.286,0.313,0.115,0.197,0.597,0.517,0.279,,,
75,0.982,0.994,0.991,0.311,0.313,0.115,0.25,0.622,0.413,0.303,,,
76,0.982,0.996,0.991,0.192,0.209,0.061,0.132,0.564,0.357,0.185,,,
77,0.985,0.998,0.992,0.28,0.322,0.121,0.184,0.591,0.583,0.274,,,
78,0.983,0.997,0.991,0.196,0.218,0.065,0.132,0.564,0.385,0.189,,,
79,0.985,0.997,0.992,0.349,0.373,0.156,0.25,0.623,0.576,0.342,,,
80,0.984,0.997,0.992,0.238,0.269,0.089,0.158,0.578,0.48,0.232,,,
81,0.981,0.992,0.99,0.318,0.312,0.115,0.276,0.634,0.375,0.309,,,
82,0.983,0.997,0.991,0.184,0.214,0.063,0.118,0.558,0.409,0.178,,,
83,0.985,0.999,0.992,0.2,0.272,0.09,0.118,0.559,0.643,0.196,,,
84,0.986,0.997,0.993,0.396,0.421,0.193,0.289,0.643,0.629,0.39,,,
85,0.983,0.997,0.992,0.202,0.233,0.071,0.132,0.564,0.435,0.196,,,
86,0.984,0.996,0.992,0.359,0.369,0.153,0.276,0.636,0.512,0.352,,,
87,0.984,0.999,0.992,0.14,0.214,0.062,0.079,0.539,0.6,0.136,,,
88,0.982,0.995,0.991,0.274,0.278,0.095,0.211,0.603,0.39,0.265,,,
89,0.983,0.995,0.991,0.268,0.279,0.095,0.197,0.596,0.417,0.26,,,
90,0.983,0.995,0.991,0.322,0.328,0.125,0.25,0.623,0.452,0.314,,,
91,0.986,0.999,0.993,0.283,0.369,0.152,0.171,0.585,0.812,0.279,,,
92,0.984,0.996,0.992,0.362,0.374,0.157,0.276,0.636,0.525,0.355,,,
93,0.984,0.998,0.992,0.242,0.281,0.096,0.158,0.578,0.522,0.237,,,
94,0.984,0.997,0.992,0.327,0.347,0.138,0.237,0.617,0.529,0.321,,,
95,0.982,0.996,0.991,0.175,0.191,0.054,0.118,0.557,0.333,0.168,,,
96,0.984,0.997,0.992,0.257,0.292,0.102,0.171,0.584,0.52,0.251,,,
97,0.984,0.997,0.992,0.267,0.292,0.102,0.184,0.59,0.483,0.26,,,
98,0.983,0.998,0.992,0.132,0.172,0.046,0.079,0.539,0.4,0.127,,,
99,0.983,0.998,0.992,0.188,0.225,0.067,0.118,0.558,0.45,0.182,,,
100,0.987,0.999,0.993,0.371,0.447,0.215,0.237,0.618,0.857,0.367,,,
