,bootstrap,Train_Accuracy,Test_Accuracy,Train_Specificity,Test_Specificity,Train_ROC_AUC,Test_ROC_AUC
0,1.0,0.748,0.74,0.48,0.314,0.687,0.537
1,0.0,0.673,0.673,0.594,0.422,0.704,0.569
