Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.3,0.873,0.489,0.877,0.683,0.994,0.059
BaggingClassifierDT,0.4,0.823,0.525,0.826,0.676,0.994,0.042
BaggingClassifierDT,0.5,0.771,0.528,0.774,0.651,0.993,0.027
BaggingClassifierDT,0.15,0.939,0.349,0.946,0.647,0.993,0.097
BaggingClassifierDT,0.25,0.885,0.402,0.89,0.646,0.993,0.051
BaggingClassifierDT,0.1,0.96,0.319,0.967,0.643,0.992,0.14
BaggingClassifierDT,0.05,0.978,0.256,0.986,0.621,0.992,0.202
BaggingClassifierLSVC,0.1,0.61,0.596,0.61,0.603,0.993,0.011
BaggingClassifierLSVC,0.25,0.592,0.612,0.592,0.602,0.993,0.011
BaggingClassifierLSVC,0.15,0.617,0.582,0.617,0.6,0.993,0.011
BaggingClassifierLSVC,0.05,0.6,0.588,0.6,0.594,0.993,0.01
BaggingClassifierLSVC,0.3,0.635,0.539,0.636,0.587,0.992,0.01
BaggingClassifierLSVC,0.5,0.639,0.519,0.641,0.58,0.992,0.009
BaggingClassifierLSVC,0.4,0.628,0.528,0.629,0.579,0.992,0.009
