Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.05,0.983,0.311,0.99,0.65,0.992,0.275
BaggingClassifierLSVC,0.05,0.989,0.009,0.999,0.504,0.989,0.015
BaggingClassifierDT,0.1,0.968,0.342,0.975,0.659,0.993,0.176
BaggingClassifierLSVC,0.1,0.988,0.012,0.998,0.505,0.989,0.017
BaggingClassifierDT,0.15,0.947,0.386,0.953,0.67,0.993,0.121
BaggingClassifierLSVC,0.15,0.986,0.028,0.996,0.512,0.99,0.036
BaggingClassifierDT,0.25,0.899,0.411,0.904,0.657,0.993,0.063
BaggingClassifierLSVC,0.25,0.983,0.053,0.993,0.523,0.99,0.05
BaggingClassifierDT,0.3,0.88,0.481,0.884,0.682,0.994,0.061
BaggingClassifierLSVC,0.3,0.98,0.026,0.991,0.509,0.989,0.018
BaggingClassifierDT,0.4,0.828,0.54,0.831,0.686,0.994,0.044
BaggingClassifierLSVC,0.4,0.972,0.07,0.982,0.526,0.99,0.039
BaggingClassifierDT,0.5,0.784,0.549,0.787,0.668,0.994,0.032
BaggingClassifierLSVC,0.5,0.958,0.088,0.968,0.528,0.99,0.027
