Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8286,0.3125,0.8336,0.5447,0.7292,0.543,0.8166,0.75,0.8173,4133,15,33,825,2692,35,13,2266,4052,36,12,906
0.824,0.3958,0.8282,0.5479,0.7917,0.5456,0.8582,0.7292,0.8594,4106,19,29,852,2705,38,10,2253,4261,35,13,697
0.8228,0.25,0.8284,0.5463,0.7917,0.544,0.8378,0.6875,0.8392,4107,12,36,851,2697,38,10,2261,4161,33,15,797
0.8228,0.2708,0.8282,0.5344,0.6875,0.5329,0.8628,0.6042,0.8653,4106,13,35,852,2642,33,15,2316,4290,29,19,668
0.8216,0.375,0.8259,0.5481,0.7917,0.5458,0.8484,0.5,0.8518,4095,18,30,863,2706,38,10,2252,4223,24,24,735
0.813,0.2083,0.8189,0.5479,0.7083,0.5464,0.826,0.7708,0.8265,4060,10,38,898,2709,34,14,2249,4098,37,11,860
0.8154,0.3125,0.8203,0.5469,0.875,0.5438,0.8252,0.6875,0.8265,4067,15,33,891,2696,42,6,2262,4098,33,15,860
0.822,0.3958,0.8261,0.5503,0.7292,0.5486,0.8396,0.5417,0.8425,4096,19,29,862,2720,35,13,2238,4177,26,22,781
0.8168,0.2292,0.8225,0.5507,0.75,0.5488,0.8502,0.7083,0.8516,4078,11,37,880,2721,36,12,2237,4222,34,14,736
0.8228,0.2917,0.828,0.5463,0.7292,0.5446,0.8346,0.6042,0.8368,4105,14,34,853,2700,35,13,2258,4149,29,19,809
0.8218,0.3125,0.8267,0.5467,0.7708,0.5446,0.858,0.625,0.8602,4099,15,33,859,2700,37,11,2258,4265,30,18,693
0.8298,0.2917,0.835,0.5485,0.8125,0.546,0.8306,0.7083,0.8318,4140,14,34,818,2707,39,9,2251,4124,34,14,834
0.8334,0.4375,0.8372,0.5402,0.8125,0.5375,0.8464,0.6875,0.8479,4151,21,27,807,2665,39,9,2293,4204,33,15,754
0.826,0.4375,0.8298,0.5449,0.75,0.543,0.8326,0.625,0.8346,4114,21,27,844,2692,36,12,2266,4138,30,18,820
0.8184,0.3333,0.8231,0.5435,0.7292,0.5418,0.8602,0.5625,0.863,4081,16,32,877,2686,35,13,2272,4279,27,21,679
0.8284,0.3333,0.8332,0.5447,0.75,0.5428,0.8624,0.6042,0.8649,4131,16,32,827,2691,36,12,2267,4288,29,19,670
0.8158,0.3333,0.8205,0.5461,0.75,0.5442,0.8498,0.6042,0.8522,4068,16,32,890,2698,36,12,2260,4225,29,19,733
0.8208,0.3542,0.8253,0.5372,0.7917,0.5347,0.841,0.6875,0.8425,4092,17,31,866,2651,38,10,2307,4177,33,15,781
0.831,0.3542,0.8356,0.5378,0.7917,0.5353,0.8344,0.6667,0.836,4143,17,31,815,2654,38,10,2304,4145,32,16,813
0.8244,0.4167,0.8284,0.5509,0.7292,0.5492,0.856,0.6875,0.8576,4107,20,28,851,2723,35,13,2235,4252,33,15,706
0.8248,0.3958,0.829,0.5346,0.7708,0.5323,0.8552,0.6875,0.8568,4110,19,29,848,2639,37,11,2319,4248,33,15,710
0.815,0.3542,0.8195,0.5489,0.8542,0.546,0.8198,0.6875,0.8211,4063,17,31,895,2707,41,7,2251,4071,33,15,887
0.8172,0.25,0.8227,0.5398,0.7292,0.5379,0.8536,0.7708,0.8544,4079,12,36,879,2667,35,13,2291,4236,37,11,722
0.8214,0.2917,0.8265,0.5406,0.7292,0.5387,0.8054,0.7292,0.8062,4098,14,34,860,2671,35,13,2287,3997,35,13,961
0.8202,0.3333,0.8249,0.5453,0.7917,0.543,0.8404,0.75,0.8413,4090,16,32,868,2692,38,10,2266,4171,36,12,787
0.8244,0.3542,0.829,0.5433,0.75,0.5413,0.8574,0.5,0.8608,4110,17,31,848,2684,36,12,2274,4268,24,24,690
