learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,1,1,0.6456567663444234,0.627395774382192,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,2,0.647220305931915,0.627395774382192,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,4,0.6507202952006893,0.645816827013771,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,8,0.6601440584013745,0.6600712129786832,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,16,0.7583989407258191,0.7067652329749105,0.9975806451612902,0.9975806451612904,0.9415642812318978,0.9415127270362247,0.19054034787567722,0.18596491228070175
0.05,1,32,0.7992192921504662,0.7524983493680437,0.9974910394265233,0.9935483870967742,0.9439932437543801,0.9402023531556812,0.22753778157969778,0.19649122807017544
0.05,1,64,0.8167079339784333,0.7531385587624977,0.9955197132616487,0.9911290322580646,0.9468272722557026,0.9418497067167255,0.28426717992586253,0.2391812865497076
0.05,1,100,0.8365335109989953,0.7660924825504621,0.9945340501792115,0.9903225806451614,0.9490417993289636,0.9435835579992438,0.32429783290561737,0.27134502923976606
0.05,1,128,0.8415807290309294,0.7635104225617809,0.9944444444444445,0.989516129032258,0.9495652104749478,0.944630041772761,0.33265968063872253,0.29298245614035084
0.05,2,1,0.6960793019695376,0.6502275514053951,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,2,0.7307364278100226,0.6649134597245803,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,4,0.7699607154099379,0.7129916525183929,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,8,0.7873478050299811,0.753364931145067,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,16,0.7944477851772134,0.7580869175627241,0.9971326164874551,0.9951612903225808,0.9455419225913915,0.9420663142379879,0.25322569147419444,0.2134502923976608
0.05,2,32,0.8237018426664336,0.7710714959441616,0.996774193548387,0.9935483870967742,0.9500011866022524,0.9455778840746365,0.3219204448246365,0.2769005847953216
0.05,2,64,0.8627537998759266,0.7695022165629127,0.9965949820788531,0.9935483870967742,0.9529244611347887,0.9477479648885669,0.3661248930710009,0.30964912280701756
0.05,2,100,0.8718602780997144,0.7695599886813809,0.9963261648745518,0.992741935483871,0.955779293967621,0.949182563879606,0.4097269746221842,0.33596491228070174
0.05,2,128,0.8782663870926862,0.7655890398038107,0.9963261648745521,0.9919354838709677,0.9586619460546372,0.9495036428213748,0.4515611633875107,0.34707602339181287
0.05,3,1,0.7731706406056295,0.7468213544614224,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,2,0.779827526526568,0.7471998207885304,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,4,0.7938006794909924,0.756449254857574,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,8,0.79994165375087,0.7611429447274098,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,16,0.818927247271969,0.7525042444821731,0.9977598566308243,0.9951612903225808,0.9495218153901893,0.9430756067415906,0.30759195893926433,0.22894736842105262
0.05,3,32,0.8573684284656494,0.7617784380305602,0.9969534050179212,0.9919354838709677,0.9536736142704779,0.9472654929579788,0.3745152552038779,0.31461988304093563
0.05,3,64,0.8893317196252657,0.7774676947745709,0.996863799283154,0.9887096774193548,0.9592636975646556,0.9489553503595511,0.4563195038494439,0.36315789473684207
