,Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC
0,AdaBoost,0.9104615384615388,0.5218131222982186,0.9966147503435637,0.04701149425287356,0.9529208605005408,0.5218131222982186
1,RandomForest,0.9646153846153845,0.8403028825143085,0.991870132844709,0.688735632183908,0.9808777529821577,0.8403028825143085
2,SVC,0.9101538461538462,0.5050574712643677,1.0,0.010114942528735632,0.9529182412864186,0.5050574712643677
3,LinearSVC,0.9120000000000001,0.5151724137931034,1.0,0.030344827586206897,0.9538421852563944,0.5151724137931034
4,GaussianNB,0.09876923076923079,0.5028987249961826,0.009130783325698581,0.9966666666666667,0.017989638447081003,0.5028987249961826
5,GradientBoosting,0.9206153846153846,0.5988666735116179,0.9918712780577188,0.2058620689655172,0.9578478058726647,0.5988666735116179
6,KNeighbors,0.8960000000000001,0.6022094976332266,0.9610856619331194,0.24333333333333335,0.9438077069782379,0.6022094976332266
7,SGD,0.9120000000000001,0.5151724137931034,1.0,0.030344827586206897,0.9538421852563944,0.5151724137931034
