,Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC
0,GaussianNB,0.8730467836257307,0.5410852110852111,0.9903185703185702,0.09185185185185188,0.9313336350821915,0.5410852110852111
1,SVC,0.8779122807017543,0.5410541310541312,0.9969230769230769,0.08518518518518521,0.9342293609857404,0.5410541310541312
2,RandomForest,0.9572046783625731,0.8805374255374256,0.9847785547785547,0.7762962962962963,0.9756281465293181,0.8805374255374256
3,KNeighbors,0.8687953216374269,0.6317534317534318,0.9527661227661228,0.31074074074074076,0.9259072595505127,0.6317534317534317
4,GradientBoosting,0.9092748538011697,0.6891958041958043,0.9872804972804973,0.39111111111111113,0.9499302632698768,0.6891958041958043
5,SGD,0.8819005847953216,0.570073815073815,0.9923698523698524,0.14777777777777779,0.9359338558644008,0.5700738150738152
6,AdaBoost,0.8946783625730995,0.6431688681688681,0.9837451437451439,0.3025925925925926,0.9420885468340262,0.6431688681688681
7,LinearSVC,0.8863157894736843,0.5823128723128724,0.9938850038850038,0.17074074074074075,0.9382905989665499,0.5823128723128724
