learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.1,1,64,0.8234579979186533,0.7511672325976232,0.9945340501792115,0.9887096774193548,0.9510747039962888,0.943075780907142,0.35419518106643855,0.27894736842105267
0.1,1,100,0.8335294880030008,0.7476101207319374,0.9941756272401434,0.9879032258064516,0.9528548231427223,0.9437376014853696,0.3828806672369547,0.2950292397660819
0.1,1,128,0.8385006181313767,0.7409262403320128,0.9940860215053764,0.9870967741935484,0.9534654758560904,0.9433307110784792,0.3924436840604505,0.2950292397660819
0.1,2,1,0.6795685766204407,0.6537646198830409,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,2,2,0.692587480888198,0.6663023486134692,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,2,4,0.7007033344345615,0.6871769477457084,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,2,8,0.740830566848893,0.6822427372193925,0.9985663082437275,0.9911290322580646,0.9452628641847861,0.9370468203433182,0.2383162246934702,0.17134502923976608
0.1,2,16,0.7805790285149108,0.7044602433503112,0.9956989247311828,0.9887096774193548,0.9493845732706365,0.9409088423073566,0.3207228400342173,0.24649122807017543
0.1,2,32,0.8367032815449489,0.754641812865497,0.9947132616487455,0.9887096774193548,0.9532058376685777,0.9441643976056829,0.38407114342743087,0.29444444444444445
0.1,2,64,0.861646471521882,0.7277152895680061,0.9955197132616489,0.9806451612903228,0.9585477105118017,0.9410793363417383,0.45573495865412034,0.310233918128655
0.1,2,100,0.8918247318726602,0.7341126674212413,0.9968637992831543,0.9782258064516128,0.9632901317755538,0.9409184211734566,0.5142999714856001,0.3266081871345029
0.1,2,128,0.906098403870702,0.7409392095830973,0.9973118279569892,0.9774193548387096,0.964432747812951,0.9408758203435384,0.5274451097804391,0.33216374269005844
0.1,3,1,0.7099705159573327,0.6615980475382003,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,3,2,0.7458690082712199,0.6773639407658931,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,3,4,0.7545695203934171,0.7007156668553103,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,3,8,0.761589548118305,0.7176959535936616,0.9994623655913978,0.9911290322580646,0.9496489627337459,0.9384958851773417,0.2968384659252923,0.193859649122807
0.1,3,16,0.8129932163961886,0.7239046877947557,0.9984767025089605,0.989516129032258,0.9558289827517384,0.9423833331288934,0.3948139435414884,0.2625730994152047
0.1,3,32,0.8697493006817906,0.7367065176381814,0.9984767025089605,0.985483870967742,0.9596131410268326,0.9443560653590259,0.449757627601939,0.32134502923976604
0.1,3,64,0.9158960832175893,0.728026551594039,0.9992831541218639,0.9774193548387096,0.9668846751986766,0.940162084140592,0.5483390362132877,0.3216374269005848
0.1,3,100,0.9443635578305752,0.7305885681946803,0.9996415770609319,0.9758064516129032,0.9704690465809479,0.9399679725574979,0.5967351012261192,0.33216374269005844
0.1,3,128,0.9604830565443614,0.7273179588756837,1.0,0.9725806451612904,0.9731890928434886,0.9393604307457286,0.6325634445394925,0.34795321637426896
0.1,4,1,0.7423286124244087,0.6861358705904548,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,4,2,0.7565963694730354,0.6926476136578005,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,4,4,0.7619337633616535,0.7058845029239766,1.0,1.0,0.9302325969153813,0.9312912004218923,0.0,0.01637426900584795
0.1,4,8,0.7794710837541506,0.7054753820033957,0.999910394265233,0.9935483870967742,0.9549922601280401,0.9404054893414553,0.37208796692329626,0.20409356725146197
0.1,4,16,0.841956350675505,0.7124481229956613,0.9996415770609319,0.9830645161290322,0.9602409322972669,0.9386902921417685,0.450338608497291,0.2573099415204678
0.1,4,32,0.907763160315314,0.7048929447274099,0.9997311827956988,0.9758064516129032,0.9676537761737043,0.939701181269753,0.5561163387510694,0.3266081871345029
0.1,4,64,0.9633563486186867,0.7090725806451613,0.9998207885304659,0.9709677419354839,0.9728453538581144,0.937814437660373,0.628977758768178,0.3371345029239766
0.1,4,100,0.984262997622267,0.7117100547066592,1.0,0.9693548387096774,0.9795505148702468,0.9391621446527658,0.7216067864271457,0.36929824561403507
0.1,4,128,0.9936760902797579,0.710533389926429,1.0,0.9709677419354839,0.9844322005710844,0.9401386481063199,0.789143142286855,0.3695906432748538
0.1,5,1,0.7607839109287824,0.6971267213733258,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,5,2,0.7650379923716315,0.7032470288624788,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,5,4,0.7772725638073571,0.7049837294850029,1.0,1.0,0.9304655498885331,0.9305848891892653,0.003585685771314514,0.005263157894736842
0.1,5,8,0.8132223168869632,0.7104343520090548,0.999731182795699,0.9862903225806452,0.9591266479991886,0.9400042918781109,0.4336576846307385,0.25204678362573096
0.1,5,16,0.8571485884477845,0.7236181852480664,0.999910394265233,0.9790322580645162,0.964398784195023,0.94101165453799,0.5083048189335615,0.32105263157894737
0.1,5,32,0.9426390482603662,0.701917091114884,0.999910394265233,0.9766129032258064,0.9710688608401787,0.942019444637417,0.6033041060735671,0.3526315789473684
0.1,5,64,0.9877674151185596,0.699162893793624,1.0,0.9741935483870968,0.9793800431699591,0.9429063220464767,0.7191973196464214,0.3847953216374269
0.1,5,100,0.9974895495108094,0.698771458215431,1.0,0.9725806451612904,0.9885338047831768,0.9424576389229145,0.8452879954376961,0.39035087719298245
0.1,5,128,0.9993977642513233,0.706100264101113,1.0,0.967741935483871,0.9940332773803526,0.9395927318303879,0.9199422583404621,0.3853801169590644
0.2,1,1,0.6155645697851608,0.5577862667421242,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,1,2,0.6801548161357777,0.663017591020562,1.0,1.0,0.9331498177343216,0.9323440339047939,0.04479612204163102,0.0324561403508772
0.2,1,4,0.6982480858814883,0.676668317298623,1.0,1.0,0.9346441536353562,0.934119201431186,0.0675506130595951,0.0587719298245614
0.2,1,8,0.7465098908046682,0.6879503867194869,0.9953405017921148,0.9911290322580644,0.9442553900926987,0.9367138287271868,0.24721271742229822,0.16578947368421051
0.2,1,16,0.7811554741898691,0.7227987643840785,0.9944444444444445,0.9879032258064516,0.948470008820042,0.9419356125965818,0.3165490447676077,0.2678362573099415
0.2,1,32,0.8227084824845956,0.7496557253348424,0.9937275985663081,0.9870967741935484,0.9516904792038708,0.9429892242041804,0.3691260336469917,0.28976608187134506
0.2,1,64,0.8412254983121314,0.7416796359177514,0.9936379928315413,0.9879032258064516,0.9540186041092138,0.9451827597680786,0.40377815796977473,0.31608187134502924
0.2,1,100,0.8535421252988135,0.7318925674401057,0.9937275985663081,0.9862903225806452,0.9560376843029719,0.9443653843541642,0.432442258340462,0.31608187134502924
0.2,1,128,0.8618025821117621,0.7380388134314281,0.9939964157706094,0.9846774193548388,0.9581968055358796,0.9446526330887763,0.46171941830624463,0.33187134502923976
0.2,2,1,0.6795685766204407,0.6537646198830409,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,2,2,0.695407787535528,0.6710031126202602,0.999731182795699,0.9951612903225808,0.939711576936493,0.9355673398782092,0.14634659252922727,0.11842105263157895
0.2,2,4,0.7416420455300357,0.6847835314091679,0.9969534050179212,0.989516129032258,0.9475847064538245,0.938393440641536,0.28487667522098664,0.20380116959064326
0.2,2,8,0.7791232147839497,0.7116251650631956,0.9959677419354838,0.9870967741935484,0.9498842723894965,0.9389717598064111,0.3260871114913031,0.2307017543859649
0.2,2,16,0.8346357560097418,0.7479367100547066,0.9948924731182794,0.9862903225806452,0.9547731003037923,0.9403730929411696,0.40555317935557456,0.2573099415204678
0.2,2,32,0.86864691475983,0.7365520656479909,0.996505376344086,0.9806451612903226,0.9614874230576014,0.9400044158298826,0.49100370687197026,0.29473684210526313
0.2,2,64,0.9127037224194723,0.7476301641199774,0.9977598566308243,0.9717741935483872,0.9673388310659087,0.9378795178222893,0.5656757912745936,0.33216374269005844
0.2,2,100,0.9385801282100419,0.7471679871722318,0.9988351254480285,0.9733870967741935,0.9717997438292141,0.9398724306997895,0.6212360992301112,0.347953216374269
0.2,2,128,0.9555612501315853,0.7369989152990002,0.9997311827956988,0.9725806451612904,0.9747959605847847,0.9398457168835284,0.6570786997433704,0.35350877192982455
0.2,3,1,0.7099705159573327,0.6615980475382003,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,3,2,0.7496257868288001,0.6805826730805509,0.999910394265233,0.9967741935483871,0.9443635639475133,0.9432042839480388,0.21503065297975477,0.22017543859649122
0.2,3,4,0.7609099756835536,0.7097009998113564,0.9983870967741936,0.9903225806451612,0.9515844702125884,0.9413508662796609,0.33325848303393213,0.24122807017543857
0.2,3,8,0.8124357595612667,0.7268923316355405,0.9974910394265232,0.9846774193548387,0.9561167200601609,0.941382096577712,0.40613772455089825,0.28421052631578947
0.2,3,16,0.8760831399796413,0.7199490662139219,0.9978494623655914,0.9774193548387096,0.9628650454934746,0.9402228375867351,0.5011726546906188,0.3216374269005848
0.2,3,32,0.918823936867688,0.7296677513676666,0.9990143369175627,0.9669354838709678,0.9692315252441039,0.9357290815010219,0.5835543199315655,0.3374269005847953
0.2,3,64,0.963150885568852,0.7254374174684022,1.0,0.9653225806451612,0.9774488227828005,0.9364157816914872,0.6923260621613915,0.3584795321637427
0.2,3,100,0.9884423341616818,0.7185696095076402,0.999910394265233,0.9612903225806452,0.9852581440582832,0.9351074535358673,0.8010550327915598,0.36929824561403507
0.2,3,128,0.9953216694491204,0.7176169590643274,0.9998207885304659,0.9612903225806451,0.9900203749361436,0.9352125669331894,0.8667664670658682,0.36929824561403507
0.2,4,1,0.7423286124244087,0.6861358705904546,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,4,2,0.7592912485321217,0.7011495472552348,1.0,0.9959677419354838,0.9495151902875032,0.9405844963570796,0.29090747077274026,0.18830409356725147
0.2,4,4,0.7735189056091606,0.7077060931899641,0.9996415770609319,0.9887096774193548,0.9569481122963659,0.9397572627223312,0.40254847447961223,0.2309941520467836
0.2,4,8,0.8399711154368171,0.7151551594038861,0.9995519713261649,0.9774193548387096,0.9615223765469063,0.9405191090459301,0.46945751354433984,0.32719298245614037
0.2,4,16,0.909857609729338,0.7289355781927939,0.9994623655913978,0.970967741935484,0.9698315831252089,0.940074737170356,0.588968491588252,0.36929824561403507
0.2,4,32,0.9641957189052516,0.7048882286361063,1.0,0.9612903225806452,0.9786072970378065,0.934643531443804,0.7084402623324778,0.36403508771929827
0.2,4,64,0.9947055054637269,0.7119576495000943,0.999910394265233,0.957258064516129,0.9900222629745784,0.9341514180133595,0.8661569717707442,0.3853801169590643
0.2,4,100,0.9998649175024248,0.7149806640256555,0.999910394265233,0.9540322580645162,0.996695907440649,0.933270174236495,0.9563907898488736,0.39619883040935666
0.2,4,128,0.99995869116861,0.7145090548953028,0.999910394265233,0.9524193548387098,0.9987027803860686,0.9323866793835889,0.9832798688337612,0.39649122807017545
0.2,5,1,0.7607839109287824,0.6971267213733258,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,5,2,0.7769184908472865,0.6818513016411998,1.0,0.9903225806451614,0.9534513444151926,0.9384195291252908,0.348773880809809,0.1997076023391813
0.2,5,4,0.7960302129995003,0.7025018864365216,0.999910394265233,0.9830645161290323,0.9609106992967321,0.9376218032275941,0.45809808953521525,0.24122807017543857
0.2,5,8,0.8590849327331,0.7207732031692133,0.9998207885304659,0.9782258064516128,0.9665711889223296,0.9420400086404831,0.5399486740804106,0.34269005847953216
0.2,5,16,0.9422927139193197,0.7121946330880966,1.0,0.9677419354838712,0.9755723131829864,0.9384070019985383,0.6660250926717993,0.3690058479532164
0.2,5,32,0.9857298651544836,0.7034875495189586,1.0,0.9604838709677418,0.9860063551366979,0.9346221859529811,0.8105645851154832,0.36871345029239766
0.2,5,64,0.9995778540205815,0.7043765327296737,1.0,0.9596774193548386,0.9973211047979704,0.9364260857705504,0.9641538351867693,0.4011695906432748
0.2,5,100,1.0,0.7004904734955668,1.0,0.957258064516129,0.9999104343931929,0.9344460814800009,0.9988023952095808,0.3906432748538012
0.2,5,128,1.0,0.7021599698170158,1.0,0.9548387096774194,1.0,0.9331740607560542,1.0,0.3909356725146199
