max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
1,1,0.660481513930664,0.6602905112242973,0.7887096774193549,0.7887096774193547,0.8485146425479868,0.8421594960783712,0.5322533504419733,0.5318713450292397
1,2,0.718576337787814,0.6950528202225994,0.7657706093189963,0.757258064516129,0.8401403645797915,0.8253235472167718,0.6247291132021671,0.6289473684210527
1,4,0.7757131506316604,0.7437158083380495,0.8040322580645161,0.8169354838709676,0.8621840842004305,0.861322079922273,0.6177466495580268,0.5175438596491229
1,8,0.7747294645220568,0.7549672231654405,0.7664874551971326,0.7677419354838708,0.8446345685400853,0.8361547719885876,0.6803642714570859,0.6710526315789473
1,16,0.7811095870215534,0.7629185531031881,0.7735663082437275,0.7693548387096774,0.8495202542116864,0.8369774701601044,0.6839428286284575,0.666374269005848
1,32,0.7821790766265726,0.7493255989435956,0.7820788530465949,0.7798387096774193,0.8516657512613154,0.8422189141277052,0.6379491017964072,0.6342105263157894
1,64,0.7886940341028132,0.7472257592906998,0.7828853046594982,0.7822580645161289,0.8530138618801424,0.8449369808658156,0.6505738522954092,0.6444444444444446
1,100,0.7949502859999408,0.750078994529334,0.7789426523297491,0.7782258064516129,0.8526558947892369,0.8432930598873647,0.6810272312517822,0.660233918128655
1,128,0.8001979511918303,0.7587011884550084,0.7767025089605736,0.7741935483870968,0.8520221774256166,0.8420944330850526,0.6917522098659823,0.6815789473684212
2,1,0.6907243804122426,0.6802537257121299,0.7845878136200717,0.7887096774193547,0.8467878717326576,0.8440713269375703,0.5460258055317937,0.5581871345029239
2,2,0.76051191427948,0.7165558385210338,0.7724910394265232,0.7564516129032258,0.8456285448213251,0.8250568541808143,0.6456052181351583,0.6453216374269005
2,4,0.795159251070312,0.7310979060554612,0.7933691756272403,0.7685483870967742,0.859478323400781,0.832579158967806,0.6593455945252351,0.6394736842105264
2,8,0.7970662202221261,0.7427419354838709,0.7815412186379929,0.7701612903225806,0.8527770918651945,0.8374690321705618,0.6606465640148274,0.666374269005848
2,16,0.8159138791669094,0.7707543388039992,0.7709677419354839,0.7629032258064516,0.8495608297252492,0.8343008388397314,0.7084723410322212,0.6877192982456141
2,32,0.8144479059035028,0.7636035653650255,0.7768817204301076,0.7749999999999999,0.853393915336234,0.8432054077611403,0.7090675791274593,0.6929824561403509
2,64,0.8207730596155359,0.7655607432559894,0.7761648745519714,0.7758064516129032,0.8526270615983021,0.8441047049742381,0.7048902195608782,0.6976608187134503
2,100,0.8260739242201721,0.7680390492359932,0.7771505376344086,0.7774193548387097,0.8532086418860801,0.8445396046810403,0.7042914171656686,0.6871345029239767
2,128,0.8267157633018654,0.7653685625353708,0.7772401433691756,0.7774193548387097,0.8533543525534828,0.8452784138944258,0.7054890219560878,0.6976608187134503
4,1,0.7980735852922931,0.7433090454631202,0.9129032258064518,0.9330645161290324,0.9208327337370015,0.927246613040673,0.5598089535215285,0.4923976608187135
4,2,0.8141133280034912,0.7538954914167139,0.7924731182795699,0.8112903225806452,0.8603252167422122,0.8623743924127872,0.6899878813800969,0.6067251461988306
4,4,0.8347448791612881,0.7447722127900396,0.8207885304659499,0.7935483870967742,0.8792170875458151,0.8463497701496019,0.6988487311092102,0.6020467836257309
