,Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC
0,RandomForest,0.958099415204678,0.881235431235431,0.985804195804196,0.776666666666667,0.976184730004649,0.881235431235431
1,GradientBoosting,0.909719298245614,0.689448329448329,0.987785547785548,0.391111111111111,0.950204811073494,0.689448329448329
2,AdaBoost,0.894678362573099,0.643168868168868,0.983745143745144,0.302592592592593,0.942088546834026,0.643168868168868
3,GaussianNB,0.873046783625731,0.541085211085211,0.99031857031857,0.091851851851852,0.931333635082192,0.541085211085211
4,KNeighbors,0.868795321637427,0.631753431753432,0.952766122766123,0.310740740740741,0.925907259550513,0.631753431753432
5,LinearSVC,0.75206432748538,0.662913752913753,0.784716394716395,0.541111111111111,0.832864136865783,0.662913752913753
6,SVC,0.69787134502924,0.625663040663041,0.724289044289044,0.527037037037037,0.798344086247767,0.625663040663041
7,SGD,0.648947368421053,0.608113183113183,0.665485625485626,0.550740740740741,0.723459061658447,0.608113183113183
