max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
1,1,0.7156798828679861,0.692573623559539,0.7026814075382262,0.6592906998679495,0.7202508960573477,0.7048387096774194,0.8133555020436514,0.792076879148489,0.6851119190191046,0.6137426900584796
1,2,0.7230130777990642,0.6706195213237467,0.7726240603151097,0.7253466327108093,0.7228494623655914,0.6717741935483871,0.8151570409489388,0.7594948557028937,0.7237952666096378,0.6681286549707602
1,4,0.8214111323975398,0.7878853540825372,0.8061688067796817,0.7712966893039048,0.8508960573476703,0.8241935483870968,0.8921436066095694,0.865635103126667,0.6247041631023666,0.5502923976608188
1,8,0.817279218051539,0.7962818871269576,0.8123056865659363,0.7886613374834937,0.8421146953405018,0.8225806451612904,0.8888485604279509,0.8698291940770885,0.651600370687197,0.624561403508772
1,16,0.8186802980747517,0.7983847138776717,0.8203362763719874,0.7909969817015657,0.8439068100358422,0.8258064516129032,0.8897240248355919,0.8716598210918528,0.6504277159965783,0.618421052631579
1,32,0.8216431382832778,0.8004826159755737,0.8282189605044902,0.7964016223354083,0.8456989247311828,0.825,0.8917049609607373,0.8724857517520258,0.6612132877102938,0.6400584795321638
1,64,0.8232009527902623,0.8047079680882498,0.8314952388489789,0.8061144123750236,0.8479390681003582,0.831451612903226,0.8927806734546737,0.8760321049118576,0.6582477901340178,0.6289473684210527
1,100,0.8232787130047129,0.8075248694967005,0.8336415845983403,0.8060212695717789,0.8482078853046595,0.8346774193548387,0.892856150609617,0.878281748862285,0.6570501853435985,0.6289473684210527
1,128,0.821098088349201,0.8075248694967005,0.8340651741831238,0.8099615638558764,0.8458781362007167,0.8346774193548387,0.8913749561685933,0.878281748862285,0.6558525805531794,0.6289473684210527
2,1,0.7533193474212261,0.7276125283167537,0.7696881087415542,0.7392944727409924,0.7687275985663083,0.7467741935483871,0.8390997124775555,0.8136071896407389,0.6504098944967208,0.6008771929824561
2,2,0.770447719155115,0.7436521225253621,0.8091238014881654,0.7746757687228826,0.7840501792114696,0.7612903225806452,0.8546937110799174,0.8311048758321704,0.6798046763615626,0.6274853801169591
2,4,0.8115914923890901,0.793420663843199,0.8352116172161566,0.8014773156008299,0.8261648745519714,0.8080645161290322,0.8840222782786329,0.8648430601850986,0.7144354148845167,0.6985380116959065
2,8,0.8130709396541885,0.7948291145474244,0.8390312932123465,0.8144583569137899,0.8275985663082437,0.810483870967742,0.8849748322140943,0.8660853715132262,0.7162104362703164,0.6929824561403509
2,16,0.8182132511660998,0.8018467448044913,0.840456404778768,0.8064881626108281,0.8326164874551972,0.8185483870967742,0.8883477526895962,0.8716043123259174,0.7222055888223553,0.6929824561403509
2,32,0.8176675942045877,0.8053629469122427,0.846138112919067,0.8099014336917563,0.8309139784946236,0.8193548387096774,0.8878526042909964,0.8739481891610736,0.7293769603649842,0.7140350877192982
