max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
1,1,0.81650295136739,0.815241800453068,0.7327556484573097,0.7176900584795323,0.8460573476702509,0.85,0.8886375912433009,0.882602894467823,0.6194539492443684,0.5853801169590642
1,2,0.8147895557287608,0.8060868708756033,0.7386965620091102,0.7209606677985286,0.843010752688172,0.8387096774193548,0.8874032383324009,0.8742150704557069,0.6265968063872255,0.5909356725146198
1,4,0.8261602722396642,0.8258051807347583,0.8048936321545337,0.7840949820788531,0.85752688172043,0.8596774193548387,0.8955431894521049,0.8923205595880708,0.617072996863416,0.6020467836257309
1,8,0.8246026398409103,0.8243967300305328,0.8042485864803929,0.7840949820788531,0.8563620071684588,0.8580645161290322,0.8945818328298616,0.8913213223645773,0.6129063301967494,0.6020467836257309
1,16,0.8294333641703272,0.8215798286220822,0.8230355756740486,0.7998148934163366,0.8528673835125449,0.8483870967741935,0.8967467825563642,0.8883507572769369,0.673267750213858,0.6450292397660818
1,32,0.8316936915280824,0.8222742046685708,0.8198542511111928,0.7958604508583287,0.8602150537634408,0.8540322580645162,0.8988002130018863,0.8895189165882375,0.6415704305674366,0.6125730994152047
1,64,0.8337972236993222,0.8257904067763222,0.8336076327248216,0.8046076212035465,0.8604838709677418,0.8564516129032258,0.8999643520055278,0.8918308687079047,0.6558989164528086,0.623391812865497
1,100,0.8369143702818793,0.8264946321284349,0.834116601027336,0.8041878890775325,0.8640681003584229,0.857258064516129,0.9020407329550897,0.8923448187813262,0.6558989164528086,0.623391812865497
1,128,0.8370701335217546,0.8222692800157588,0.8362731462318578,0.8072050084889645,0.8637992831541219,0.8516129032258064,0.9020994210223581,0.888736891599774,0.6588751069289992,0.6289473684210526
2,1,0.8126065636662515,0.8109869004235201,0.8136377031523232,0.7917114695340501,0.8238351254480287,0.8266129032258064,0.8837941298227211,0.8760974633371262,0.7377245508982035,0.7093567251461987
2,2,0.8246793074059775,0.8222692800157588,0.8177230392645329,0.7955456517638182,0.838978494623656,0.8419354838709678,0.8926413114228694,0.8875916563443841,0.7293769603649845,0.6935672514619883
2,4,0.8278740927974981,0.8306953609770511,0.8249081282519446,0.7998832767402376,0.843010752688172,0.8475806451612904,0.894865601748861,0.8935806497789756,0.7269853150841176,0.7198830409356726
2,8,0.8268626636849478,0.8208362060474738,0.8413054124086695,0.806929117147708,0.8416666666666666,0.8362903225806452,0.8941961133305985,0.8857220491352121,0.7281686626746506,0.7198830409356726
2,16,0.8313037978064457,0.8292869102728258,0.8577750125708643,0.8116121958121111,0.846505376344086,0.845967741935484,0.8971537258801426,0.8925103133875382,0.7299757627601938,0.7198830409356726
2,32,0.8289661351534443,0.8243573328080371,0.8606187171228459,0.8121627994717977,0.8447132616487455,0.8403225806451614,0.895672916789431,0.8883505662977708,0.7240055603079554,0.7198830409356726
