learning_rate,max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,1,1,0.8695653440752908,0.8695754949276076,0.6622115791458558,0.660622995661196,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,2,0.8695653440752908,0.8695754949276076,0.6630920762162311,0.660622995661196,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,4,0.8695653440752908,0.8695754949276076,0.6663273203976072,0.6540369741558197,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,8,0.8695653440752908,0.8695754949276076,0.6714723299177375,0.6517744293529524,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,1,16,0.9015104056642944,0.8933517187038313,0.6944687525869921,0.6270491416713828,0.9991935483870966,0.9911290322580646,0.9463702993524808,0.941747874151841,0.2502245508982036,0.24005847953216378
0.05,1,32,0.9076662101820354,0.8996552743031616,0.7917317263195064,0.7149240709300132,0.9974014336917563,0.9911290322580646,0.9494631644212308,0.9450244879577256,0.3093741089250071,0.2880116959064327
0.05,1,64,0.9084456334088475,0.8996552743031616,0.8067525088072702,0.7403390869647236,0.9962365591397848,0.9911290322580646,0.9498132074511514,0.9450244879577256,0.3231002281151982,0.2880116959064327
0.05,1,100,0.9093028168501103,0.8940263961390722,0.8230424727222463,0.7474085078287115,0.9956989247311826,0.9838709677419356,0.9502330261942458,0.9414472419159212,0.3332691759338466,0.2932748538011696
0.05,1,128,0.9100818151577178,0.8940263961390722,0.8294133970282681,0.7454701943029616,0.9963261648745518,0.9838709677419356,0.9506696356220303,0.9414472419159212,0.3350655831194753,0.2932748538011696
0.05,2,1,0.8695653440752908,0.8695754949276076,0.7624062391090835,0.7072191567628751,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,2,0.8695653440752908,0.8695754949276076,0.7694414805821026,0.7108257875872478,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,4,0.8695653440752908,0.8695754949276076,0.7727059465937558,0.7091645444255801,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,8,0.8695653440752908,0.8695754949276076,0.7853732403344872,0.7001025749858517,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,2,16,0.902912881850608,0.8926671919629665,0.7901832455800125,0.70812818336163,0.9991935483870966,0.9935483870967742,0.94709169417747,0.9415510151410584,0.2609744796122041,0.21900584795321637
0.05,2,32,0.9107050502254499,0.8954200728848617,0.8143842834683934,0.7303893133371062,0.9981182795698924,0.9846774193548388,0.9510813798716387,0.942164492289959,0.3279084687767323,0.29853801169590644
0.05,2,64,0.9158476652510787,0.8919038707771101,0.8474290123030948,0.7534616110167893,0.9978494623655914,0.9758064516129032,0.9537558193542764,0.9392000832939035,0.36912246934702025,0.33157894736842103
0.05,2,100,0.9266017025905503,0.8870087658820053,0.8727075530837967,0.7841916619505753,0.9978494623655914,0.964516129032258,0.9594272479180799,0.9357852027158607,0.45163957798688337,0.3684210526315789
0.05,2,128,0.9292504061013543,0.8898256672904561,0.8828018741702464,0.7854732597623089,0.9978494623655914,0.9629032258064516,0.9608392682969594,0.9369628111257772,0.47192044482463646,0.40175438596491225
0.05,3,1,0.8695653440752908,0.8695754949276076,0.8073445451007866,0.7683231937370307,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,2,0.8695653440752908,0.8695754949276076,0.8106277061212956,0.7476749669873609,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,4,0.8695653440752908,0.8695754949276076,0.8154392076701692,0.7527518392756084,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,8,0.8695653440752908,0.8695754949276076,0.8210643565020496,0.735732644784003,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
