Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.5,0.786,0.642,0.788,0.715,0.995,0.041
BaggingClassifierDT,0.3,0.885,0.512,0.889,0.701,0.994,0.07
BaggingClassifierDT,0.25,0.907,0.486,0.912,0.699,0.994,0.084
BaggingClassifierDT,0.4,0.842,0.53,0.846,0.688,0.994,0.049
BaggingClassifierDT,0.1,0.97,0.388,0.976,0.682,0.993,0.206
BaggingClassifierDT,0.15,0.95,0.409,0.955,0.682,0.993,0.135
BaggingClassifierDT,0.05,0.983,0.333,0.99,0.662,0.993,0.285
BaggingClassifierLSVC,0.5,0.946,0.128,0.955,0.541,0.99,0.036
BaggingClassifierLSVC,0.4,0.97,0.049,0.98,0.515,0.99,0.019
BaggingClassifierLSVC,0.25,0.982,0.033,0.992,0.513,0.99,0.028
BaggingClassifierLSVC,0.3,0.978,0.037,0.989,0.513,0.99,0.026
BaggingClassifierLSVC,0.1,0.987,0.026,0.998,0.512,0.99,0.037
BaggingClassifierLSVC,0.15,0.986,0.026,0.997,0.512,0.989,0.034
BaggingClassifierLSVC,0.05,0.989,0.009,0.999,0.504,0.989,0.014
