Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.25,0.918,0.5,0.922,0.711,0.994,0.1
BaggingClassifierDT,0.3,0.893,0.525,0.897,0.711,0.994,0.078
BaggingClassifierDT,0.15,0.962,0.442,0.967,0.705,0.994,0.185
BaggingClassifierDT,0.4,0.839,0.549,0.842,0.695,0.994,0.049
BaggingClassifierDT,0.1,0.974,0.405,0.98,0.693,0.993,0.239
BaggingClassifierDT,0.5,0.793,0.579,0.795,0.687,0.994,0.037
BaggingClassifierDT,0.05,0.986,0.344,0.993,0.668,0.993,0.339
BaggingClassifierLSVC,0.05,0.608,0.575,0.608,0.592,0.992,0.01
BaggingClassifierLSVC,0.15,0.614,0.57,0.614,0.592,0.992,0.01
BaggingClassifierLSVC,0.3,0.628,0.551,0.629,0.59,0.992,0.01
BaggingClassifierLSVC,0.5,0.628,0.544,0.629,0.587,0.992,0.01
BaggingClassifierLSVC,0.25,0.594,0.575,0.594,0.585,0.992,0.009
BaggingClassifierLSVC,0.1,0.625,0.533,0.626,0.58,0.992,0.009
BaggingClassifierLSVC,0.4,0.617,0.526,0.618,0.572,0.992,0.008
