Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.4,0.83,0.567,0.833,0.7,0.994,0.048
BaggingClassifierDT,0.15,0.949,0.437,0.954,0.696,0.994,0.141
BaggingClassifierDT,0.3,0.871,0.507,0.875,0.691,0.994,0.059
BaggingClassifierDT,0.5,0.779,0.6,0.781,0.691,0.994,0.036
BaggingClassifierDT,0.25,0.906,0.46,0.911,0.685,0.994,0.077
BaggingClassifierDT,0.1,0.969,0.379,0.976,0.677,0.993,0.197
BaggingClassifierDT,0.05,0.983,0.307,0.991,0.649,0.992,0.274
BaggingClassifierLSVC,0.05,0.608,0.565,0.609,0.587,0.992,0.009
BaggingClassifierLSVC,0.25,0.604,0.568,0.605,0.587,0.992,0.009
BaggingClassifierLSVC,0.3,0.619,0.549,0.62,0.585,0.992,0.009
BaggingClassifierLSVC,0.15,0.605,0.556,0.605,0.581,0.992,0.009
BaggingClassifierLSVC,0.5,0.631,0.521,0.632,0.577,0.992,0.009
BaggingClassifierLSVC,0.1,0.621,0.528,0.622,0.575,0.992,0.008
BaggingClassifierLSVC,0.4,0.638,0.502,0.639,0.571,0.992,0.008
