Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.4,0.844,0.581,0.847,0.714,0.995,0.056
BaggingClassifierDT,0.25,0.916,0.505,0.921,0.713,0.994,0.098
BaggingClassifierDT,0.3,0.898,0.512,0.902,0.707,0.994,0.08
BaggingClassifierDT,0.5,0.793,0.614,0.795,0.705,0.995,0.041
BaggingClassifierDT,0.15,0.962,0.428,0.968,0.698,0.994,0.183
BaggingClassifierDT,0.1,0.975,0.384,0.981,0.683,0.993,0.235
BaggingClassifierDT,0.05,0.987,0.342,0.994,0.668,0.993,0.347
BaggingClassifierLSVC,0.4,0.617,0.602,0.617,0.609,0.993,0.012
BaggingClassifierLSVC,0.05,0.606,0.575,0.606,0.591,0.992,0.01
BaggingClassifierLSVC,0.25,0.605,0.577,0.605,0.591,0.992,0.01
BaggingClassifierLSVC,0.5,0.622,0.556,0.623,0.589,0.992,0.01
BaggingClassifierLSVC,0.3,0.637,0.532,0.638,0.585,0.992,0.01
BaggingClassifierLSVC,0.1,0.608,0.53,0.609,0.57,0.992,0.008
BaggingClassifierLSVC,0.15,0.622,0.516,0.624,0.57,0.992,0.008
