Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22,,,
0.8298,0.375,0.8342,0.5493,0.7917,0.547,0.9247,0.5,0.9288,4136,18,30,822,2712,38,10,2246,4605,24,24,353,,Error estándar,0.001810044369348
0.8182,0.3125,0.8231,0.5435,0.7708,0.5413,0.9293,0.7708,0.9308,4081,15,33,877,2684,37,11,2274,4615,37,11,343,,Valor crítico (95%),1.96
0.8196,0.2917,0.8247,0.5501,0.6875,0.5488,0.9177,0.5833,0.9209,4089,14,34,869,2721,33,15,2237,4566,28,20,392,,Margen de error,0.355
0.8216,0.4375,0.8253,0.5447,0.7917,0.5424,0.9201,0.5417,0.9238,4092,21,27,866,2689,38,10,2269,4580,26,22,378,,,
0.8296,0.3333,0.8344,0.5453,0.875,0.5422,0.9267,0.6458,0.9294,4137,16,32,821,2688,42,6,2270,4608,31,17,350,,,
0.8242,0.3333,0.829,0.5374,0.75,0.5353,0.9329,0.625,0.9359,4110,16,32,848,2654,36,12,2304,4640,30,18,318,,Rec_POLYPHEN,54.168
0.8208,0.25,0.8263,0.5264,0.6875,0.5248,0.8961,0.5,0.9,4097,12,36,861,2602,33,15,2356,4462,24,24,496,,StdRecall,0.0064203968324
0.8202,0.4792,0.8235,0.5423,0.8542,0.5393,0.9189,0.5625,0.9223,4083,23,25,875,2674,41,7,2284,4573,27,21,385,,n,1000
0.8178,0.4167,0.8217,0.5419,0.8125,0.5393,0.9201,0.5,0.9242,4074,20,28,884,2674,39,9,2284,4582,24,24,376,,Error estándar,0.000203030774725
0.8246,0.3542,0.8292,0.5443,0.7708,0.5422,0.9205,0.6042,0.9236,4111,17,31,847,2688,37,11,2270,4579,29,19,379,,Valor crítico (95%),1.96
0.8228,0.3542,0.8273,0.5519,0.6875,0.5506,0.9377,0.7083,0.9399,4102,17,31,856,2730,33,15,2228,4660,34,14,298,,Margen de error,0.04
0.8196,0.3958,0.8237,0.5539,0.875,0.5508,0.9297,0.5833,0.933,4084,19,29,874,2731,42,6,2227,4626,28,20,332,,,
0.8206,0.4167,0.8245,0.5417,0.7917,0.5393,0.9205,0.5208,0.9244,4088,20,28,870,2674,38,10,2284,4583,25,23,375,,,
0.8186,0.3958,0.8227,0.5427,0.8125,0.5401,0.9207,0.5625,0.9242,4079,19,29,879,2678,39,9,2280,4582,27,21,376,,Acc_VC22,92.646
0.829,0.3125,0.834,0.5455,0.7292,0.5438,0.9219,0.625,0.9248,4135,15,33,823,2696,35,13,2262,4585,30,18,373,,StdAccuracy,0.010516731812118
0.82,0.3333,0.8247,0.5457,0.6875,0.5444,0.9219,0.5417,0.9256,4089,16,32,869,2699,33,15,2259,4589,26,22,369,,n,1000
0.8262,0.4375,0.83,0.5585,0.8958,0.5553,0.9129,0.5417,0.9165,4115,21,27,843,2753,43,5,2205,4544,26,22,414,,Error estándar,0.000332568260674
0.8178,0.3333,0.8225,0.5459,0.75,0.544,0.9379,0.6667,0.9405,4078,16,32,880,2697,36,12,2261,4663,32,16,295,,Valor crítico (95%),1.96
0.8198,0.2917,0.8249,0.5573,0.7917,0.5551,0.9189,0.6875,0.9211,4090,14,34,868,2752,38,10,2206,4567,33,15,391,,Margen de error,0.065
0.8118,0.3125,0.8167,0.5384,0.6875,0.5369,0.9195,0.6458,0.9221,4049,15,33,909,2662,33,15,2296,4572,31,17,386,,,
0.8206,0.4583,0.8241,0.5421,0.7917,0.5397,0.9315,0.625,0.9344,4086,22,26,872,2676,38,10,2282,4633,30,18,325,,,
0.818,0.3125,0.8229,0.5537,0.7083,0.5522,0.9267,0.5833,0.93,4080,15,33,878,2738,34,14,2220,4611,28,20,347,,Spec_VC22,58.837
0.8256,0.2917,0.8308,0.5437,0.75,0.5418,0.9327,0.5625,0.9363,4119,14,34,839,2686,36,12,2272,4642,27,21,316,,StdSpecificity,0.073850934492974
0.8246,0.3333,0.8294,0.5515,0.7917,0.5492,0.9021,0.6875,0.9042,4112,16,32,846,2723,38,10,2235,4483,33,15,475,,n,1000
0.824,0.3542,0.8286,0.5491,0.8125,0.5466,0.9353,0.5417,0.9391,4108,17,31,850,2710,39,9,2248,4656,26,22,302,,Error estándar,0.002335371603297
