N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,,
0,0.779,0.5,0.784,0.642,0.99,0.039,,,,
1,0.793,0.56,0.797,0.678,0.991,0.052,,MeanAccuracy,0.7881,
2,0.783,0.548,0.787,0.667,0.991,0.046,,StdAccuracy,0.020189256068663,
3,0.831,0.476,0.837,0.657,0.99,0.055,,n,100,
4,0.746,0.5,0.75,0.625,0.989,0.03,,Error estándar,0.002018925606866,
5,0.784,0.524,0.789,0.656,0.99,0.044,,Valor crítico,1.96,(95%)
6,0.8,0.464,0.806,0.635,0.989,0.041,,Margen de error,0.003957094189458,
7,0.798,0.393,0.804,0.599,0.988,0.03,,,,
8,0.78,0.524,0.784,0.654,0.99,0.042,,,,
9,0.82,0.512,0.825,0.669,0.99,0.056,,MeanSpecificity,0.49561,
10,0.78,0.512,0.785,0.648,0.99,0.041,,StdSpecificity,0.060708426353374,
11,0.755,0.512,0.759,0.635,0.99,0.034,,n,100,
12,0.803,0.405,0.809,0.607,0.988,0.033,,Error estándar,0.006070842635337,
13,0.811,0.583,0.815,0.699,0.992,0.062,,Valor crítico,1.96,(95%)
14,0.813,0.429,0.82,0.624,0.989,0.04,,Margen de error,0.011898851565261,
15,0.8,0.524,0.804,0.664,0.99,0.049,,,,
16,0.806,0.5,0.811,0.655,0.99,0.048,,,,
17,0.791,0.512,0.796,0.654,0.99,0.044,,MeanROC_AUC,0.64425,
18,0.764,0.631,0.766,0.698,0.992,0.05,,StdROC_AUC,0.028468439019413,
19,0.758,0.524,0.762,0.643,0.99,0.036,,n,100,
20,0.809,0.464,0.814,0.639,0.989,0.044,,Error estándar,0.002846843901941,
21,0.819,0.464,0.825,0.645,0.99,0.048,,Valor crítico,1.96,(95%)
22,0.787,0.488,0.792,0.64,0.99,0.04,,Margen de error,0.005579814047805,
23,0.809,0.512,0.814,0.663,0.99,0.051,,,,
24,0.777,0.476,0.782,0.629,0.989,0.035,,,,
25,0.797,0.357,0.804,0.58,0.987,0.024,,,,
26,0.802,0.452,0.808,0.63,0.989,0.04,,,,
27,0.802,0.536,0.806,0.671,0.991,0.051,,,,
28,0.784,0.56,0.787,0.673,0.991,0.048,,,,
29,0.81,0.452,0.816,0.634,0.989,0.043,,,,
30,0.809,0.452,0.815,0.634,0.989,0.042,,,,
31,0.779,0.655,0.781,0.718,0.993,0.059,,,,
32,0.77,0.524,0.774,0.649,0.99,0.039,,,,
33,0.756,0.619,0.759,0.689,0.992,0.047,,,,
34,0.761,0.524,0.765,0.644,0.99,0.037,,,,
35,0.8,0.429,0.807,0.618,0.989,0.036,,,,
36,0.767,0.607,0.769,0.688,0.992,0.048,,,,
37,0.798,0.512,0.803,0.657,0.99,0.047,,,,
38,0.746,0.548,0.749,0.649,0.99,0.036,,,,
39,0.796,0.548,0.801,0.674,0.991,0.051,,,,
40,0.809,0.464,0.815,0.64,0.989,0.044,,,,
41,0.79,0.417,0.796,0.606,0.988,0.031,,,,
42,0.771,0.512,0.775,0.643,0.99,0.038,,,,
43,0.8,0.536,0.805,0.67,0.991,0.051,,,,
44,0.797,0.464,0.802,0.633,0.989,0.04,,,,
45,0.793,0.5,0.798,0.649,0.99,0.043,,,,
46,0.799,0.488,0.804,0.646,0.99,0.044,,,,
47,0.787,0.476,0.792,0.634,0.989,0.038,,,,
48,0.773,0.524,0.777,0.651,0.99,0.04,,,,
49,0.757,0.464,0.762,0.613,0.989,0.029,,,,
50,0.78,0.393,0.786,0.589,0.988,0.025,,,,
51,0.802,0.452,0.808,0.63,0.989,0.04,,,,
52,0.787,0.571,0.791,0.681,0.991,0.051,,,,
53,0.764,0.548,0.768,0.658,0.991,0.04,,,,
54,0.827,0.524,0.832,0.678,0.991,0.061,,,,
55,0.769,0.548,0.773,0.66,0.991,0.042,,,,
56,0.773,0.452,0.778,0.615,0.989,0.031,,,,
57,0.804,0.488,0.81,0.649,0.99,0.046,,,,
58,0.739,0.452,0.744,0.598,0.988,0.023,,,,
59,0.805,0.548,0.809,0.678,0.991,0.054,,,,
60,0.801,0.369,0.808,0.589,0.987,0.027,,,,
61,0.801,0.512,0.806,0.659,0.99,0.048,,,,
62,0.784,0.476,0.789,0.632,0.989,0.037,,,,
63,0.774,0.536,0.778,0.657,0.99,0.042,,,,
64,0.77,0.595,0.773,0.684,0.992,0.048,,,,
65,0.766,0.464,0.771,0.618,0.989,0.031,,,,
66,0.78,0.393,0.787,0.59,0.988,0.025,,,,
67,0.776,0.595,0.779,0.687,0.992,0.05,,,,
68,0.767,0.464,0.772,0.618,0.989,0.031,,,,
69,0.78,0.369,0.787,0.578,0.987,0.022,,,,
70,0.797,0.452,0.803,0.628,0.989,0.038,,,,
71,0.823,0.607,0.826,0.717,0.992,0.072,,,,
72,0.788,0.488,0.793,0.641,0.99,0.04,,,,
73,0.793,0.417,0.799,0.608,0.988,0.032,,,,
74,0.789,0.488,0.794,0.641,0.99,0.04,,,,
75,0.804,0.512,0.809,0.66,0.99,0.049,,,,
76,0.808,0.5,0.813,0.656,0.99,0.049,,,,
77,0.785,0.536,0.789,0.663,0.991,0.046,,,,
78,0.755,0.548,0.759,0.653,0.99,0.038,,,,
79,0.83,0.452,0.836,0.644,0.989,0.051,,,,
80,0.77,0.488,0.774,0.631,0.989,0.035,,,,
81,0.802,0.429,0.808,0.618,0.989,0.036,,,,
82,0.799,0.381,0.806,0.593,0.988,0.028,,,,
83,0.784,0.488,0.789,0.639,0.99,0.039,,,,
84,0.772,0.56,0.776,0.668,0.991,0.044,,,,
85,0.822,0.429,0.828,0.628,0.989,0.043,,,,
86,0.736,0.536,0.739,0.638,0.99,0.032,,,,
87,0.806,0.452,0.812,0.632,0.989,0.041,,,,
88,0.8,0.452,0.805,0.629,0.989,0.039,,,,
89,0.772,0.452,0.777,0.615,0.989,0.031,,,,
90,0.786,0.524,0.791,0.657,0.99,0.044,,,,
91,0.792,0.464,0.798,0.631,0.989,0.038,,,,
92,0.779,0.548,0.783,0.665,0.991,0.045,,,,
93,0.767,0.571,0.77,0.671,0.991,0.044,,,,
94,0.79,0.5,0.795,0.648,0.99,0.042,,,,
95,0.789,0.548,0.793,0.67,0.991,0.048,,,,
96,0.788,0.488,0.793,0.64,0.99,0.04,,,,
97,0.802,0.524,0.807,0.665,0.99,0.05,,,,
98,0.818,0.357,0.826,0.592,0.987,0.031,,,,
99,0.766,0.464,0.771,0.618,0.989,0.031,,,,
