Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierDT,0.3,0.893,0.523,0.897,0.71,0.994,0.078
BaggingClassifierDT,0.25,0.909,0.493,0.914,0.703,0.994,0.087
BaggingClassifierDT,0.5,0.788,0.611,0.789,0.7,0.995,0.039
BaggingClassifierDT,0.4,0.837,0.558,0.84,0.699,0.994,0.049
BaggingClassifierDT,0.15,0.954,0.435,0.96,0.698,0.994,0.157
BaggingClassifierDT,0.1,0.972,0.384,0.978,0.681,0.993,0.217
BaggingClassifierDT,0.05,0.985,0.34,0.992,0.666,0.993,0.314
BaggingClassifierLSVC,0.5,0.946,0.13,0.954,0.542,0.99,0.031
BaggingClassifierLSVC,0.25,0.982,0.042,0.992,0.517,0.99,0.038
BaggingClassifierLSVC,0.3,0.982,0.04,0.992,0.516,0.99,0.036
BaggingClassifierLSVC,0.4,0.971,0.051,0.981,0.516,0.99,0.023
BaggingClassifierLSVC,0.1,0.987,0.032,0.998,0.515,0.99,0.045
BaggingClassifierLSVC,0.15,0.986,0.032,0.996,0.514,0.99,0.04
BaggingClassifierLSVC,0.05,0.989,0.014,0.999,0.507,0.989,0.024
