N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
74,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
75,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
76,0.981,0.994,0.991,0.269,0.269,0.09,0.214,0.604,0.36,0.26
77,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
78,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
79,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
80,0.981,0.995,0.991,0.197,0.204,0.059,0.143,0.569,0.316,0.189
81,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
82,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
83,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
84,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
85,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
86,0.982,0.995,0.991,0.2,0.21,0.061,0.143,0.569,0.333,0.192
87,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
88,0.982,0.995,0.991,0.226,0.233,0.072,0.167,0.581,0.35,0.218
89,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
90,0.981,0.995,0.991,0.197,0.204,0.059,0.143,0.569,0.316,0.189
91,0.985,0.997,0.992,0.31,0.341,0.133,0.214,0.606,0.562,0.304
92,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
93,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
94,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
95,0.984,0.996,0.992,0.295,0.311,0.114,0.214,0.605,0.474,0.288
96,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
97,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
98,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
99,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
100,0.982,0.995,0.991,0.277,0.281,0.096,0.214,0.604,0.391,0.269
