Accuracy_SIFT,Precision_SIFT,Recall_SIFT,F1_SIFT,APS_SIFT,AUC_SIFT,Accuracy_POLYPHEN,Precision_POLYPHEN,Recall_POLYPHEN,F1_POLYPHEN,APS_POLYPHEN,AUC_POLYPHEN,Accuracy_CADD,Precision_CADD,Recall_CADD,F1_CADD,APS_CADD,AUC_CADD,Accuracy_VC10B,Precision_VC10B,Recall_VC10B,F1_VC10B,APS_VC10B,AUC_VC10B,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_CADD,TN_CADD,FP_CADD,FN_CADD,TP_VC10B,TN_VC10B,FP_VC10B,FN_VC10B
0.8201,0.022,0.4167,0.0418,0.014661010931385467,0.6202960982372747,0.5399,0.016,0.7917,0.0314,0.014639280718494414,0.6645994256288373,0.8397,0.0384,0.6667,0.0726,0.028749345529854083,0.7540106951871657,0.9908,0.5556,0.1042,0.1755,0.06630670546944827,0.5516872152901565,20,4160,889,28,38,2714,2335,10,32,4248,801,16,5,5045,4,43
0.8219,0.0295,0.5625,0.0561,0.0207365914175284,0.6934108239255298,0.5409,0.0173,0.8542,0.0339,0.016125182206557568,0.6960474846504258,0.8478,0.0427,0.7083,0.0805,0.0330021576392853,0.7787061794414736,0.9904,0.4545,0.1042,0.1695,0.055784819947562736,0.5514891562685681,27,4162,887,21,41,2716,2333,7,34,4287,762,14,5,5043,6,43
0.8101,0.0228,0.4583,0.0434,0.015560929177280265,0.6358808674985146,0.5358,0.0159,0.7917,0.0312,0.01452807596127196,0.6625198059021588,0.8532,0.0431,0.6875,0.0811,0.032561053806800806,0.7711613685878392,0.9904,0.4545,0.1042,0.1695,0.055784819947562736,0.5514891562685681,22,4107,942,26,38,2693,2356,10,33,4316,733,15,5,5043,6,43
0.8226,0.0276,0.5208,0.0524,0.01888423902992757,0.6731716676569619,0.5335,0.017,0.8542,0.0333,0.01589277368145864,0.6922843632402456,0.8413,0.0421,0.7292,0.0796,0.033261510687842374,0.7857558427411369,0.9906,0.5,0.1042,0.1725,0.060519668432411224,0.5515881857793623,25,4168,881,23,41,2678,2371,7,35,4253,796,13,5,5044,5,43
0.823,0.0256,0.4792,0.0486,0.017150216358206353,0.6527344523668054,0.5413,0.0161,0.7917,0.0316,0.014676787648445183,0.6652926322043968,0.8483,0.0394,0.6458,0.0743,0.02877472771560818,0.748050356506239,0.989,0.3,0.125,0.1765,0.04574014125956445,0.5611135868488809,23,4172,877,25,38,2721,2328,10,31,4293,756,17,6,5035,14,42
0.8183,0.0207,0.3958,0.0393,0.013900138085336609,0.6090871954842543,0.5513,0.0168,0.8125,0.0329,0.015441834326876886,0.6806607744107744,0.8485,0.0406,0.6667,0.0765,0.030211859469440067,0.7584670231729055,0.9912,0.5789,0.2292,0.3284,0.13993461065848847,0.6137910972469796,19,4152,897,29,39,2771,2278,9,32,4293,756,16,11,5041,8,37
0.8217,0.0254,0.4792,0.0482,0.017055709640904707,0.6520412457912459,0.5378,0.0155,0.7708,0.0304,0.014131613902713884,0.6531924638542286,0.8419,0.0344,0.5833,0.065,0.023989396855788853,0.7138294711824125,0.9908,0.5294,0.1875,0.2769,0.10691626562337708,0.5929577639136463,23,4165,884,25,37,2704,2345,11,28,4263,786,20,9,5041,8,39
0.8183,0.0186,0.3542,0.0353,0.012683799960589132,0.5884519211725094,0.5429,0.0128,0.625,0.0251,0.011537466907996818,0.583543771043771,0.8442,0.0314,0.5208,0.0592,0.02087028912957962,0.6840649138443257,0.9904,0.4444,0.0833,0.1403,0.045669565975628365,0.5411715191126956,17,4154,895,31,30,2737,2312,18,25,4278,771,23,4,5044,5,44
0.8173,0.0248,0.4792,0.0472,0.016767960447828807,0.649862596553773,0.5446,0.0162,0.7917,0.0318,0.014768806565987239,0.6669761338878986,0.8487,0.0441,0.7292,0.0832,0.034733159678281694,0.7895189641513171,0.9896,0.2727,0.0625,0.1017,0.02587417732355931,0.5304577639136463,23,4143,906,25,38,2738,2311,10,35,4291,758,13,3,5041,8,45
0.8226,0.0223,0.4167,0.0423,0.014794022744471537,0.6215834818775995,0.5397,0.0156,0.7708,0.0306,0.014182092324586,0.6541827589621708,0.8466,0.0389,0.6458,0.0734,0.02848709594174522,0.747159090909091,0.9892,0.3478,0.1667,0.2254,0.06581876807329119,0.5818478906714202,20,4173,876,28,37,2714,2335,11,31,4284,765,17,8,5034,15,40
0.8154,0.0204,0.3958,0.0388,0.013767852638406745,0.607601752822341,0.545,0.0158,0.7708,0.031,0.014320534508990405,0.6568565557536147,0.8478,0.0369,0.6042,0.0696,0.026018819507159074,0.7271179936621113,0.9912,0.6154,0.1667,0.2623,0.11041185614464014,0.5828381857793623,19,4137,912,29,37,2741,2308,11,29,4292,757,19,8,5044,5,40
0.8193,0.0166,0.3125,0.0315,0.011665426604275723,0.5683117944147356,0.548,0.0159,0.7708,0.0312,0.014398833236078448,0.6583419984155279,0.8521,0.0416,0.6667,0.0783,0.030844729137842735,0.7602495543672012,0.9896,0.3333,0.1042,0.1588,0.04315855732130011,0.5510930382253911,15,4161,888,33,37,2756,2293,11,32,4311,738,16,5,5039,10,43
0.8171,0.0206,0.3958,0.0392,0.013846707390719819,0.608493018419489,0.5366,0.0167,0.8333,0.0327,0.015493248850331962,0.6835511982570806,0.8393,0.0383,0.6667,0.0724,0.02868800362782381,0.7538126361655773,0.9906,0.5,0.125,0.2,0.07074014125956445,0.5619058229352347,19,4146,903,29,40,2695,2354,8,32,4246,803,16,6,5043,6,42
0.8166,0.0236,0.4583,0.0449,0.015931687876042582,0.6391488413547236,0.5366,0.0163,0.8125,0.032,0.015013027164316605,0.6732335611012081,0.8472,0.0414,0.6875,0.0781,0.03140903055380573,0.7680914537532184,0.9898,0.375,0.125,0.1875,0.055115141259564446,0.5615097048920579,22,4140,909,26,39,2696,2353,9,33,4285,764,15,6,5039,10,42
0.8238,0.0257,0.4792,0.0488,0.017204883190216933,0.6531305704099822,0.5503,0.0172,0.8333,0.0337,0.015912637348350772,0.6904832640126759,0.8501,0.0457,0.75,0.0862,0.036618285465024214,0.8005298078827491,0.99,0.4286,0.1875,0.2609,0.08800870259816698,0.5925616458704694,23,4176,873,25,40,2765,2284,8,36,4297,752,12,9,5037,12,39
0.8183,0.03,0.5833,0.0571,0.021411385712467215,0.7019459298871064,0.5456,0.0179,0.875,0.0351,0.016802163037080636,0.7087418300653595,0.8534,0.0479,0.7708,0.0902,0.03905442373960687,0.8125309467221233,0.9896,0.3684,0.1458,0.2089,0.06177201759548961,0.571728312537136,28,4143,906,20,42,2739,2310,6,37,4313,736,11,7,5037,12,41
0.8185,0.0239,0.4583,0.0454,0.01604928448894913,0.6401391364626658,0.5423,0.0157,0.7708,0.0308,0.014248354080062555,0.6554701426024956,0.8458,0.041,0.6875,0.0774,0.031161191174791145,0.7673982471776589,0.9876,0.2222,0.125,0.16,0.03601791903734222,0.5604203802733214,22,4150,899,26,37,2727,2322,11,33,4278,771,15,6,5028,21,42
0.8128,0.0171,0.3333,0.0325,0.011964059296555146,0.5753614577143988,0.5384,0.0139,0.6875,0.0272,0.012511654956683032,0.6122190037631214,0.8474,0.0344,0.5625,0.0648,0.02349188185427202,0.7062846603287779,0.991,0.5714,0.1667,0.2581,0.10308584881863281,0.5827391562685681,16,4127,922,32,33,2711,2338,15,27,4292,757,21,8,5043,6,40
0.8215,0.0243,0.4583,0.0462,0.01623054681778356,0.641624579124579,0.5354,0.0163,0.8125,0.032,0.014979881336271497,0.6726393840364429,0.8442,0.0418,0.7083,0.0789,0.03233311833959274,0.7769236482471777,0.9916,0.6923,0.1875,0.2951,0.13745925204871642,0.5933538819568231,22,4165,884,26,39,2690,2359,9,34,4269,780,14,9,5045,4,39
0.8138,0.0263,0.5208,0.0501,0.018204186314417236,0.6687153396712221,0.5384,0.0156,0.7708,0.0306,0.014146712870769452,0.6534895523866112,0.8442,0.0395,0.6667,0.0746,0.02947654999188581,0.7562883739354327,0.9902,0.4167,0.1042,0.1667,0.05183911287685567,0.5513901267577739,25,4123,926,23,37,2707,2342,11,32,4271,778,16,5,5042,7,43
0.8191,0.024,0.4583,0.0456,0.01608506306627462,0.6404362249950485,0.5517,0.0164,0.7917,0.0321,0.014968135253471328,0.6705411962764903,0.8479,0.0428,0.7083,0.0807,0.03304021480140618,0.7788052089522678,0.9906,0.5,0.125,0.2,0.07074014125956445,0.5619058229352347,22,4153,896,26,38,2774,2275,10,34,4288,761,14,6,5043,6,42
0.8221,0.0233,0.4375,0.0442,0.0154942369964966,0.6316040305010894,0.5415,0.0161,0.7917,0.0316,0.014682163906057578,0.6653916617151912,0.8444,0.0384,0.6458,0.0725,0.02814425851005974,0.7460697662903546,0.9898,0.3889,0.1458,0.2121,0.06475691038301397,0.5718273420479302,21,4169,880,27,38,2722,2327,10,31,4273,776,17,7,5038,11,41
0.8156,0.0265,0.5208,0.0504,0.018334999002368905,0.6696066052683699,0.536,0.0163,0.8125,0.032,0.014996433490902792,0.6729364725688255,0.8409,0.0453,0.7917,0.0857,0.03781811638480463,0.8165106951871657,0.9912,0.5882,0.2083,0.3077,0.13000438550935384,0.6034734600911071,25,4132,917,23,39,2693,2356,9,38,4248,801,10,10,5042,7,38
0.8146,0.0193,0.375,0.0367,0.013120541873506072,0.5968879976232917,0.5335,0.0154,0.7708,0.0302,0.014022039611242397,0.6510138146167559,0.8438,0.0405,0.6875,0.0765,0.030814529214323212,0.7664079520697168,0.9902,0.4375,0.1458,0.2187,0.07184603075338435,0.5720254010695187,18,4134,915,30,37,2682,2367,11,33,4268,781,15,7,5040,9,41
0.8209,0.0221,0.4167,0.042,0.014701530637131364,0.6206922162804517,0.5458,0.0162,0.7917,0.0318,0.014801602643249343,0.6675703109526638,0.8495,0.0409,0.6667,0.0771,0.03038473787325377,0.7589621707268766,0.9906,0.5,0.125,0.2,0.07074014125956445,0.5619058229352347,20,4164,885,28,38,2744,2305,10,32,4298,751,16,6,5043,6,42
0.8266,0.0314,0.5833,0.0596,0.022234788598938442,0.7061051693404635,0.5309,0.0165,0.8333,0.0324,0.015326601204482804,0.6806793424440484,0.8531,0.0454,0.7292,0.0855,0.03565147105937294,0.7916976133887897,0.9902,0.4286,0.125,0.1936,0.06181156983099302,0.5617077639136462,28,4185,864,20,40,2666,2383,8,35,4313,736,13,6,5041,8,42
0.8185,0.0208,0.3958,0.0395,0.013909111327674802,0.6091862249950485,0.5331,0.015,0.75,0.0294,0.0135856072721646,0.640498118439295,0.8425,0.0368,0.625,0.0695,0.026537624080567063,0.7347618340265399,0.9898,0.4,0.1667,0.2353,0.07451442024720424,0.5821449792038027,19,4153,896,29,36,2681,2368,12,30,4264,785,18,8,5037,12,40
0.8183,0.0249,0.4792,0.0473,0.016832154790144785,0.6503577441077442,0.5446,0.0166,0.8125,0.0325,0.015244051658981225,0.677293771043771,0.847,0.0425,0.7083,0.0802,0.032850880419854823,0.7783100613982968,0.9904,0.4615,0.125,0.1967,0.06593244895187214,0.5618067934244405,23,4148,901,25,39,2737,2312,9,34,4283,766,14,6,5042,7,42
0.8291,0.0254,0.4583,0.0481,0.016731182080329046,0.6454867300455537,0.545,0.017,0.8333,0.0333,0.015747914532923055,0.687809467221232,0.8531,0.043,0.6875,0.0809,0.03252243823155426,0.7710623390770449,0.9904,0.4545,0.1042,0.1695,0.055784819947562736,0.5514891562685681,22,4204,845,26,40,2738,2311,8,33,4315,734,15,5,5043,6,43
0.8228,0.0276,0.5208,0.0524,0.01890011945061389,0.673270697167756,0.5431,0.0178,0.875,0.0349,0.016716275087820594,0.7074544464250345,0.8511,0.0471,0.7708,0.0888,0.0384904039968559,0.8113425925925927,0.9894,0.3125,0.1042,0.1563,0.040988418432411224,0.550994008714597,25,4169,880,23,42,2726,2323,6,37,4301,748,11,5,5038,11,43
