Accuracy_SIFT,Precision_SIFT,Recall_SIFT,F1_SIFT,APS_SIFT,AUC_SIFT,Accuracy_POLYPHEN,Precision_POLYPHEN,Recall_POLYPHEN,F1_POLYPHEN,APS_POLYPHEN,AUC_POLYPHEN,Accuracy_CADD,Precision_CADD,Recall_CADD,F1_CADD,APS_CADD,AUC_CADD,Accuracy_VC10B,Precision_VC10B,Recall_VC10B,F1_VC10B,APS_VC10B,AUC_VC10B,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_CADD,TN_CADD,FP_CADD,FN_CADD,TP_VC10B,TN_VC10B,FP_VC10B,FN_VC10B
0.8183,0.0239,0.4583,0.0454,0.016037410037038503,0.6400401069518716,0.5372,0.0147,0.7292,0.0288,0.013269055542962125,0.632260101010101,0.8458,0.0353,0.5833,0.0666,0.024494825572804472,0.7158100613982967,0.99,0.4118,0.1458,0.2154,0.06809296702789415,0.5719263715587245,22,4149,900,26,35,2703,2346,13,28,4283,766,20,7,5039,10,41
0.8211,0.0242,0.4583,0.046,0.016206032485205517,0.6414265201029907,0.5382,0.0155,0.7708,0.0304,0.014141675652014778,0.653390522875817,0.8432,0.0381,0.6458,0.072,0.027961166530441055,0.7454755892255893,0.99,0.4211,0.1667,0.2388,0.0780231921770288,0.5822440087145969,22,4163,886,26,37,2706,2343,11,31,4267,782,17,8,5038,11,40
0.8148,0.0244,0.4792,0.0464,0.016604244430865,0.6485752129134481,0.5407,0.0152,0.75,0.0298,0.013770816560419199,0.6443602693602694,0.8468,0.0413,0.6875,0.0779,0.03133777617843375,0.7678933947316301,0.9916,0.6923,0.1875,0.2951,0.13745925204871642,0.5933538819568231,23,4130,919,25,36,2720,2329,12,33,4283,766,15,9,5045,4,39
0.8203,0.0323,0.625,0.0614,0.023736230490552252,0.7235714993067934,0.5352,0.0167,0.8333,0.0327,0.015452654978220522,0.6828579916815212,0.8527,0.0441,0.7083,0.083,0.03398320316088379,0.781181917211329,0.9898,0.3,0.0625,0.1034,0.027578722778104768,0.5305567934244405,30,4151,898,18,40,2688,2361,8,34,4312,737,14,3,5042,7,45
0.8226,0.0255,0.4792,0.0484,0.017123064760932803,0.6525363933452168,0.5376,0.0159,0.7917,0.0312,0.014575495348313986,0.6634110714993067,0.8391,0.0416,0.7292,0.0787,0.032860298219296244,0.7846665181224004,0.9914,0.6667,0.1667,0.2667,0.11895886469164868,0.5829372152901565,23,4170,879,25,38,2702,2347,10,35,4242,807,13,8,5045,4,40
0.8197,0.0282,0.5417,0.0536,0.019574480431736978,0.6820038621509209,0.5413,0.0165,0.8125,0.0323,0.01514729016372906,0.6756102693602694,0.8466,0.0389,0.6458,0.0734,0.02848709594174522,0.747159090909091,0.9906,0.5,0.1458,0.2258,0.08096061408671767,0.5722234600911071,26,4152,897,22,39,2720,2329,9,31,4284,765,17,7,5042,7,41
0.8187,0.0197,0.375,0.0374,0.013287130974876861,0.5989676173499703,0.5342,0.0146,0.7292,0.0286,0.013201952857469924,0.6307746583481877,0.8432,0.0335,0.5625,0.0632,0.022986530257111414,0.7042050406020994,0.9892,0.3158,0.125,0.1791,0.04771382547009076,0.5612126163596751,18,4155,894,30,35,2688,2361,13,27,4271,778,21,6,5036,13,42
0.8242,0.0268,0.5,0.0509,0.018101509291179686,0.6636462665874431,0.5415,0.0169,0.8333,0.0331,0.015640185301727328,0.6860269360269361,0.8466,0.0458,0.7708,0.0865,0.03745619329075344,0.8090649138443257,0.9912,0.6154,0.1667,0.2623,0.11041185614464014,0.5828381857793623,24,4177,872,24,40,2720,2329,8,37,4278,771,11,8,5044,5,40
0.8236,0.0246,0.4583,0.0467,0.016367334054537504,0.6427139037433155,0.546,0.0162,0.7917,0.0318,0.01480708499348338,0.6676693404634582,0.8499,0.041,0.6667,0.0772,0.030454509029312765,0.759160229748465,0.9918,0.75,0.1875,0.3,0.14827655974102413,0.5934529114676174,22,4176,873,26,38,2745,2304,10,32,4300,749,16,9,5046,3,39
0.8179,0.0238,0.4583,0.0453,0.016013738240047835,0.6398420479302832,0.536,0.0155,0.7708,0.0304,0.014086544335581892,0.6523011982570807,0.8503,0.0399,0.6458,0.0752,0.029102133538566735,0.7490406516141811,0.9896,0.3333,0.1042,0.1588,0.04315855732130011,0.5510930382253911,22,4147,902,26,37,2695,2354,11,31,4303,746,17,5,5039,10,43
0.8103,0.0219,0.4375,0.0417,0.01485758746498981,0.6256622598534363,0.5423,0.0153,0.75,0.03,0.013809565785658938,0.645152505446623,0.8474,0.0403,0.6667,0.076,0.03000727943389429,0.7578728461081402,0.9904,0.4667,0.1458,0.2222,0.07609950297560657,0.5721244305803129,21,4109,940,27,36,2728,2321,12,32,4287,762,16,7,5041,8,41
0.8203,0.0252,0.4792,0.0479,0.016962650510082517,0.6513480392156863,0.534,0.017,0.8542,0.0333,0.015910855146969057,0.6925814517726283,0.8385,0.0425,0.75,0.0804,0.034231539769556785,0.7946870667458903,0.9892,0.2941,0.1042,0.1539,0.039073590001038674,0.5508949792038028,23,4158,891,25,41,2681,2368,7,36,4238,811,12,5,5037,12,43
0.8199,0.022,0.4167,0.0418,0.014650936663885457,0.6201970687264805,0.5437,0.017,0.8333,0.0333,0.015705824394365926,0.6871162606456724,0.8456,0.0421,0.7083,0.0795,0.03258975381927654,0.7776168548227372,0.9904,0.4706,0.1667,0.2462,0.08627912612955718,0.5824420677361855,20,4159,890,28,40,2731,2318,8,34,4276,773,14,8,5040,9,40
0.8215,0.0243,0.4583,0.0462,0.01623054681778356,0.641624579124579,0.5427,0.0157,0.7708,0.0308,0.01425861307187029,0.655668201624084,0.8523,0.0392,0.625,0.0738,0.028041293032810534,0.7397133095662508,0.9894,0.25,0.0625,0.1,0.024453722778104765,0.530358734402852,22,4165,884,26,37,2729,2320,11,30,4314,735,18,3,5040,9,45
0.8207,0.0252,0.4792,0.0479,0.016989093063859373,0.6515460982372747,0.5448,0.0162,0.7917,0.0318,0.014774260939143476,0.6670751633986928,0.8485,0.0383,0.625,0.0722,0.02744730543777252,0.7378317488611608,0.989,0.2143,0.0625,0.0968,0.02222157992096191,0.5301606753812635,23,4160,889,25,38,2739,2310,10,30,4295,754,18,3,5038,11,45
0.8279,0.0241,0.4375,0.0457,0.015845454103142996,0.6345749158249159,0.5411,0.0169,0.8333,0.0331,0.01562831635648429,0.6858288770053476,0.8505,0.0446,0.7292,0.0841,0.03510260324700805,0.790410229748465,0.99,0.3846,0.1042,0.164,0.048500437663180455,0.5512910972469796,21,4199,850,27,40,2718,2331,8,35,4300,749,13,5,5041,8,43
0.8224,0.0212,0.3958,0.0402,0.01409278708145771,0.6111668152109329,0.5397,0.0135,0.6667,0.0265,0.012170995307461994,0.6025945731828084,0.8499,0.0374,0.6042,0.0704,0.026335209832475774,0.7282073182808476,0.9902,0.4444,0.1667,0.2425,0.08192182765461165,0.5823430382253911,19,4173,876,29,32,2719,2330,16,29,4303,746,19,8,5039,10,40
0.8101,0.0228,0.4583,0.0434,0.015560929177280265,0.6358808674985146,0.5401,0.0156,0.7708,0.0306,0.014192239126349662,0.6543808179837592,0.8485,0.0394,0.6458,0.0743,0.028807093405740343,0.7481493860170332,0.989,0.2778,0.1042,0.1516,0.03737152028426308,0.5507959496930086,22,4107,942,26,37,2716,2333,11,31,4294,755,17,5,5036,13,43
0.8197,0.0282,0.5417,0.0536,0.019574480431736978,0.6820038621509209,0.5374,0.0175,0.875,0.0343,0.01652804023006309,0.7045825906120023,0.8421,0.039,0.6667,0.0737,0.02912367309279156,0.7551990493166963,0.99,0.4,0.125,0.1905,0.05824014125956445,0.5616087344028521,26,4152,897,22,42,2697,2352,6,32,4260,789,16,6,5040,9,42
0.8221,0.0275,0.5208,0.0522,0.018836807410385927,0.6728745791245792,0.5452,0.015,0.7292,0.0294,0.013456858945013743,0.6363203109526638,0.8444,0.0384,0.6458,0.0725,0.02814425851005974,0.7460697662903546,0.9908,0.5333,0.1667,0.254,0.09673664246942645,0.5826401267577739,25,4165,884,23,35,2744,2305,13,31,4273,776,17,8,5042,7,40
0.8185,0.0259,0.5,0.0492,0.017681625121295515,0.6607744107744108,0.5419,0.0165,0.8125,0.0323,0.015164264640187549,0.675907357892652,0.8495,0.042,0.6875,0.0792,0.0318441814780519,0.7692798078827491,0.9906,0.5,0.1458,0.2258,0.08096061408671767,0.5722234600911071,24,4148,901,24,39,2723,2326,9,33,4297,752,15,7,5042,7,41
0.8158,0.0225,0.4375,0.0428,0.0151445005478918,0.6284350861556743,0.5433,0.0165,0.8125,0.0323,0.015204039721015354,0.6766005644682115,0.8474,0.038,0.625,0.0716,0.027265666326431782,0.7372375717963954,0.9906,0.5,0.1458,0.2258,0.08096061408671767,0.5722234600911071,21,4137,912,27,39,2730,2319,9,30,4289,760,18,7,5042,7,41
0.8203,0.0252,0.4792,0.0479,0.016962650510082517,0.6513480392156863,0.5433,0.0165,0.8125,0.0323,0.015204039721015354,0.6766005644682115,0.8503,0.0434,0.7083,0.0818,0.03350448301670454,0.7799935630817985,0.9898,0.3571,0.1042,0.1613,0.04563871605145884,0.5511920677361853,23,4158,891,25,39,2730,2319,9,34,4300,749,14,5,5040,9,43
0.8215,0.0274,0.5208,0.0521,0.018789687840972846,0.6725774905921965,0.5346,0.0166,0.8333,0.0326,0.015435329972901746,0.6825609031491385,0.8444,0.0396,0.6667,0.0748,0.02950910555252817,0.7563874034462269,0.9908,0.5294,0.1875,0.2769,0.10691626562337708,0.5929577639136463,25,4162,887,23,40,2685,2364,8,32,4272,777,16,9,5041,8,39
0.8113,0.02,0.3958,0.0381,0.013589656359895341,0.6055221330956625,0.5358,0.0163,0.8125,0.032,0.014990911500529135,0.6728374430580313,0.8456,0.0364,0.6042,0.0687,0.02571116266635551,0.7260286690433748,0.9892,0.3158,0.125,0.1791,0.04771382547009076,0.5612126163596751,19,4116,933,29,39,2692,2357,9,29,4281,768,19,6,5036,13,42
0.8179,0.0248,0.4792,0.0472,0.01680639386400589,0.6501596850861557,0.5356,0.0167,0.8333,0.0327,0.015464229054303984,0.6830560507031096,0.8531,0.0442,0.7083,0.0832,0.03406444240511706,0.7813799762329176,0.9869,0.2121,0.1458,0.1728,0.03897829085439444,0.570341899386017,23,4146,903,25,40,2690,2359,8,34,4314,735,14,7,5023,26,41
0.8199,0.0282,0.5417,0.0536,0.01959102947291099,0.6821028916617151,0.5503,0.0164,0.7917,0.0321,0.0149288924181229,0.6698479897009308,0.8468,0.039,0.6458,0.0736,0.028518733426864736,0.7472581204198852,0.99,0.4,0.125,0.1905,0.05824014125956445,0.5616087344028521,26,4153,896,22,38,2767,2282,10,31,4285,764,17,6,5040,9,42
0.8187,0.0229,0.4375,0.0435,0.015305403601503382,0.6299205288175876,0.5425,0.0157,0.7708,0.0308,0.014253481400607688,0.6555691721132897,0.8472,0.0403,0.6667,0.076,0.02997348298357771,0.7577738165973459,0.991,0.6,0.125,0.2069,0.08324014125956444,0.5621038819568231,21,4152,897,27,37,2728,2321,11,32,4286,763,16,6,5045,4,42
0.8164,0.0256,0.5,0.0487,0.017529164968835362,0.6596850861556743,0.5427,0.0157,0.7708,0.0308,0.01425861307187029,0.655668201624084,0.847,0.039,0.6458,0.0736,0.028550450603382543,0.7473571499306795,0.9904,0.4706,0.1667,0.2462,0.08627912612955718,0.5824420677361855,24,4137,912,24,37,2729,2320,11,31,4286,763,17,8,5040,9,40
0.8207,0.0252,0.4792,0.0479,0.016989093063859373,0.6515460982372747,0.5407,0.0164,0.8125,0.0322,0.015130358642504125,0.6753131808278867,0.8489,0.0372,0.6042,0.0701,0.026190289788362183,0.7277121707268766,0.991,0.5833,0.1458,0.2333,0.09311339186449547,0.5724215191126956,23,4160,889,25,39,2717,2332,9,29,4298,751,19,7,5044,5,41
0.8209,0.0252,0.4792,0.0479,0.01700235787953009,0.6516451277480689,0.5429,0.0165,0.8125,0.0323,0.01519265133528197,0.6764025054466231,0.8517,0.0438,0.7083,0.0825,0.033781937120885744,0.780686769657358,0.9908,0.5556,0.1042,0.1755,0.06630670546944827,0.5516872152901565,23,4161,888,25,39,2728,2321,9,34,4307,742,14,5,5045,4,43
0.8256,0.027,0.5,0.0512,0.018206964859233676,0.6643394731630026,0.5499,0.0172,0.8333,0.0337,0.01590030451375727,0.6902852049910874,0.8513,0.0437,0.7083,0.0823,0.03370215505567316,0.7804887106357695,0.9904,0.4545,0.1042,0.1695,0.055784819947562736,0.5514891562685681,24,4184,865,24,40,2763,2286,8,34,4305,744,14,5,5043,6,43
0.8203,0.022,0.4167,0.0418,0.014671107388901997,0.6203951277480688,0.5393,0.016,0.7917,0.0314,0.014623273973136636,0.6643023370964547,0.846,0.033,0.5417,0.0622,0.0221658631173734,0.695273816597346,0.9898,0.4091,0.1875,0.2571,0.08435610519556959,0.5924626163596752,20,4161,888,28,38,2711,2338,10,26,4286,763,22,9,5036,13,39
0.8181,0.0238,0.4583,0.0453,0.01602556131525119,0.6399410774410774,0.5484,0.0167,0.8125,0.0327,0.015353866339497453,0.6791753317488611,0.8456,0.0387,0.6458,0.073,0.02833009344068394,0.7466639433551198,0.9906,0.5,0.1667,0.25,0.0911810869138709,0.5825410972469797,22,4148,901,26,39,2756,2293,9,31,4279,770,17,8,5041,8,40
0.8238,0.0246,0.4583,0.0467,0.01637993617335986,0.6428129332541097,0.5387,0.0147,0.7292,0.0288,0.013305190513478053,0.6330523370964547,0.8434,0.037,0.625,0.0699,0.026679637259390054,0.735256981580511,0.99,0.4,0.125,0.1905,0.05824014125956445,0.5616087344028521,22,4177,872,26,35,2711,2338,13,30,4269,780,18,6,5040,9,42
0.8242,0.0268,0.5,0.0509,0.018101509291179686,0.6636462665874431,0.5384,0.0164,0.8125,0.0322,0.015063058865314618,0.674124826698356,0.8423,0.0379,0.6458,0.0716,0.027810641644996605,0.7449804416716183,0.9906,0.5,0.0833,0.1428,0.05029919560525799,0.5412705486234898,24,4177,872,24,39,2705,2344,9,31,4262,787,17,4,5045,4,44
0.8164,0.0216,0.4167,0.0411,0.014473312563847564,0.6184145375321846,0.5346,0.0154,0.7708,0.0302,0.014051724116771826,0.6516079916815212,0.8481,0.0393,0.6458,0.0741,0.028742444171897676,0.7479513269954448,0.9922,0.75,0.25,0.375,0.1945629782224838,0.6246038819568231,20,4141,908,28,37,2688,2361,11,31,4292,757,17,12,5045,4,36
0.8185,0.0218,0.4167,0.0414,0.014581032013828136,0.619503862150921,0.5435,0.0149,0.7292,0.0292,0.013415072205430065,0.6354290453555159,0.8485,0.0371,0.6042,0.0699,0.026132840666015362,0.7275141117052881,0.9916,0.6667,0.2083,0.3174,0.14634425479039959,0.6036715191126956,20,4152,897,28,35,2735,2314,13,29,4296,753,19,10,5044,5,38
0.815,0.0214,0.4167,0.0407,0.0144060834778558,0.6177213309566252,0.5393,0.0168,0.8333,0.0329,0.015575152957003874,0.6849376114081998,0.846,0.0422,0.7083,0.0797,0.0326638980181985,0.7778149138443257,0.9904,0.4615,0.125,0.1967,0.06593244895187214,0.5618067934244405,20,4134,915,28,40,2709,2340,8,34,4278,771,14,6,5042,7,42
0.8146,0.0254,0.5,0.0483,0.01740706484673524,0.6587938205585264,0.537,0.0159,0.7917,0.0312,0.01455964917123713,0.663113982966924,0.843,0.0426,0.7292,0.0805,0.03359776241164713,0.7866471083382847,0.9912,0.7143,0.1042,0.1819,0.08284109700383979,0.5518852743117449,24,4128,921,24,38,2699,2350,10,35,4262,787,13,5,5047,2,43
0.8224,0.0212,0.3958,0.0402,0.01409278708145771,0.6111668152109329,0.5417,0.0161,0.7917,0.0316,0.014687544712111266,0.6654906912259853,0.8454,0.0363,0.6042,0.0685,0.025683614446160522,0.7259296395325806,0.9922,0.8333,0.2083,0.3333,0.18106647701262182,0.6039686076450782,19,4173,876,29,38,2723,2326,10,29,4280,769,19,10,5047,2,38
0.8177,0.0238,0.4583,0.0453,0.01600194072825032,0.639743018419489,0.5421,0.0157,0.7708,0.0308,0.014243231104704327,0.6553711130917013,0.8452,0.0375,0.625,0.0708,0.02693972881161644,0.7361482471776589,0.9898,0.3889,0.1458,0.2121,0.06475691038301397,0.5718273420479302,22,4146,903,26,37,2726,2323,11,30,4278,771,18,7,5038,11,41
0.8228,0.0202,0.375,0.0383,0.013461572761160754,0.6010472370766489,0.5362,0.0151,0.75,0.0296,0.013660858737477855,0.6420825906120023,0.847,0.039,0.6458,0.0736,0.028550450603382543,0.7473571499306795,0.9914,0.6667,0.1667,0.2667,0.11895886469164868,0.5829372152901565,18,4176,873,30,36,2697,2352,12,31,4286,763,17,8,5045,4,40
0.8117,0.027,0.5417,0.0514,0.018925531412587505,0.6779436522083581,0.5335,0.0158,0.7917,0.031,0.01446540195844833,0.6613314517726283,0.8479,0.0428,0.7083,0.0807,0.03304021480140618,0.7788052089522678,0.9902,0.4167,0.1042,0.1667,0.05183911287685567,0.5513901267577739,26,4111,938,22,38,2681,2368,10,34,4288,761,14,5,5042,7,43
0.8221,0.0222,0.4167,0.0422,0.014762986275378896,0.6212863933452168,0.5442,0.0145,0.7083,0.0284,0.01302555853907519,0.6255075262428205,0.8485,0.0359,0.5833,0.0676,0.024864047730439723,0.7171964745494158,0.9906,0.5,0.2083,0.2941,0.11162203256817736,0.6031763715587244,20,4170,879,28,34,2740,2309,14,28,4297,752,20,10,5039,10,38
0.8187,0.0249,0.4792,0.0473,0.016858027477351527,0.6505558031293326,0.5397,0.016,0.7917,0.0314,0.014633940641694345,0.6645003961180431,0.844,0.0372,0.625,0.0702,0.026765689854736333,0.7355540701128936,0.99,0.4286,0.1875,0.2609,0.08800870259816698,0.5925616458704694,23,4150,899,25,38,2713,2336,10,30,4272,777,18,9,5037,12,39
0.8219,0.0254,0.4792,0.0482,0.017069121190190654,0.65214027530204,0.5462,0.0158,0.7708,0.031,0.014351733488745022,0.65745073281838,0.8525,0.0417,0.6667,0.0785,0.030916879209992806,0.7604476133887899,0.9908,0.5333,0.1667,0.254,0.09673664246942645,0.5826401267577739,23,4166,883,25,37,2747,2302,11,32,4313,736,16,8,5042,7,40
0.8171,0.0258,0.5,0.0491,0.017584188629009238,0.6600812041988512,0.5376,0.0163,0.8125,0.032,0.015040775975813665,0.6737287086551793,0.8436,0.0382,0.6458,0.0721,0.028021896175961923,0.7456736482471777,0.991,0.5833,0.1458,0.2333,0.09311339186449547,0.5724215191126956,24,4141,908,24,39,2701,2348,9,31,4269,780,17,7,5044,5,41
0.8213,0.0243,0.4583,0.0462,0.016218276137529502,0.6415255496137849,0.544,0.0153,0.75,0.03,0.013853474285404883,0.646043771043771,0.8448,0.0374,0.625,0.0706,0.02688142684474128,0.7359501881560705,0.9898,0.3889,0.1458,0.2121,0.06475691038301397,0.5718273420479302,22,4164,885,26,36,2737,2312,12,30,4276,773,18,7,5038,11,41
0.823,0.0245,0.4583,0.0465,0.016329696100549122,0.6424168152109329,0.5421,0.0161,0.7917,0.0316,0.01469831999265062,0.6656887502475737,0.8544,0.041,0.6458,0.0771,0.02981787904597891,0.7511202713408597,0.989,0.3,0.125,0.1765,0.04574014125956445,0.5611135868488809,22,4173,876,26,38,2725,2324,10,31,4324,725,17,6,5035,14,42
0.825,0.0258,0.4792,0.049,0.01728780478933411,0.6537247474747474,0.5413,0.0169,0.8333,0.0331,0.01563424832510892,0.6859279065161419,0.8432,0.0393,0.6667,0.0742,0.029314970552869427,0.7557932263814617,0.9916,0.7273,0.1667,0.2712,0.1290598747926588,0.5830362448009507,23,4182,867,25,40,2719,2330,8,32,4266,783,16,8,5046,3,40
0.8156,0.0204,0.3958,0.0388,0.013776538908613753,0.6077007823331352,0.5425,0.0161,0.7917,0.0316,0.01470911353637733,0.6658868092691621,0.8485,0.0441,0.7292,0.0832,0.03469262738638672,0.7894199346405227,0.9904,0.4286,0.0625,0.1091,0.03561443706381905,0.5308538819568231,19,4138,911,29,38,2727,2322,10,35,4290,759,13,3,5045,4,45
0.8224,0.0255,0.4792,0.0484,0.01710953406461708,0.6524373638344227,0.5405,0.0173,0.8542,0.0339,0.01611276484516871,0.6958494256288373,0.8464,0.0435,0.7292,0.0821,0.034253418464399346,0.7883306100217864,0.9906,0.5,0.1667,0.25,0.0911810869138709,0.5825410972469797,23,4169,880,25,41,2714,2335,7,35,4279,770,13,8,5041,8,40
0.8264,0.0239,0.4375,0.0453,0.01574945209689699,0.6337826797385621,0.5364,0.0175,0.875,0.0343,0.016496045904942244,0.7040874430580313,0.8515,0.0496,0.8125,0.0935,0.04202940402194878,0.8321759259259259,0.9914,0.75,0.125,0.2143,0.10199014125956445,0.5623019409784116,21,4191,858,27,42,2692,2357,6,39,4301,748,9,6,5047,2,42
0.8091,0.0197,0.3958,0.0375,0.013499417122975236,0.6044328084769262,0.5419,0.0153,0.75,0.03,0.013799853840163814,0.6449544464250346,0.843,0.0347,0.5833,0.0655,0.024138398242414,0.7144236482471777,0.9896,0.3684,0.1458,0.2089,0.06177201759548961,0.571728312537136,19,4105,944,29,36,2726,2323,12,28,4269,780,20,7,5037,12,41
0.8134,0.0232,0.4583,0.0442,0.015748699102252624,0.6375643691820162,0.5417,0.0144,0.7083,0.0282,0.0129688416535843,0.6242201426024956,0.8507,0.0388,0.625,0.0731,0.027787634001280714,0.738921073479897,0.9904,0.4545,0.1042,0.1695,0.055784819947562736,0.5514891562685681,22,4124,925,26,34,2727,2322,14,30,4306,743,18,5,5043,6,43
0.8238,0.0257,0.4792,0.0488,0.017204883190216933,0.6531305704099822,0.5335,0.015,0.75,0.0294,0.013594958880156275,0.6406961774608834,0.845,0.0386,0.6458,0.0728,0.028236829268411718,0.7463668548227371,0.9892,0.3871,0.25,0.3038,0.1038371717708709,0.6231184392949098,23,4176,873,25,36,2683,2366,12,31,4276,773,17,12,5030,19,36
0.8175,0.0207,0.3958,0.0393,0.013864440186469448,0.6086910774410774,0.5466,0.0167,0.8125,0.0327,0.015301626657286908,0.6782840661517132,0.8483,0.0417,0.6875,0.0786,0.03162495563315671,0.7686856308179837,0.99,0.4118,0.1458,0.2154,0.06809296702789415,0.5719263715587245,19,4148,901,29,39,2747,2302,9,33,4291,758,15,7,5039,10,41
0.8195,0.0177,0.3333,0.0336,0.01217790787917932,0.5787284610814022,0.5307,0.0145,0.7292,0.0284,0.01312253040801329,0.6289921271538917,0.8421,0.0356,0.6042,0.0672,0.025225637960980294,0.724246137849079,0.9914,0.6667,0.1667,0.2667,0.11895886469164868,0.5829372152901565,16,4161,888,32,35,2670,2379,13,29,4263,786,19,8,5045,4,40
0.8279,0.0263,0.4792,0.0499,0.017500084083074078,0.6552101901366607,0.5454,0.0154,0.75,0.0302,0.01388785875250386,0.6467369776193306,0.8532,0.0431,0.6875,0.0811,0.032561053806800806,0.7711613685878392,0.9898,0.375,0.125,0.1875,0.055115141259564446,0.5615097048920579,23,4197,852,25,36,2744,2305,12,33,4316,733,15,6,5039,10,42
0.8219,0.0233,0.4375,0.0442,0.01548293211475643,0.6315050009902952,0.5482,0.0151,0.7292,0.0296,0.013527222422635283,0.637805753614577,0.8489,0.0407,0.6667,0.0767,0.03028074689447118,0.7586650821944939,0.9898,0.375,0.125,0.1875,0.055115141259564446,0.5615097048920579,21,4168,881,27,35,2759,2290,13,32,4295,754,16,6,5039,10,42
0.8158,0.0235,0.4583,0.0447,0.01588535355283962,0.6387527233115469,0.5262,0.0156,0.7917,0.0306,0.01427603308745258,0.6576673598732422,0.8474,0.0403,0.6667,0.076,0.03000727943389429,0.7578728461081402,0.9906,0.5,0.125,0.2,0.07074014125956445,0.5619058229352347,22,4136,913,26,38,2644,2405,10,32,4287,762,16,6,5043,6,42
0.8187,0.0229,0.4375,0.0435,0.015305403601503382,0.6299205288175876,0.5397,0.0156,0.7708,0.0306,0.014182092324586,0.6541827589621708,0.846,0.0365,0.6042,0.0688,0.025766467017841296,0.7262267280649634,0.9894,0.2857,0.0833,0.129,0.03244205274811514,0.5406763715587244,21,4152,897,27,37,2714,2335,11,29,4283,766,19,4,5039,10,44
0.816,0.0246,0.4792,0.0468,0.016679240574730567,0.6491693899782135,0.5407,0.0152,0.75,0.0298,0.013770816560419199,0.6443602693602694,0.8427,0.0369,0.625,0.0697,0.02656588714563994,0.7348608635373342,0.9904,0.4615,0.125,0.1967,0.06593244895187214,0.5618067934244405,23,4136,913,25,36,2720,2329,12,30,4265,784,18,6,5042,7,42
0.8224,0.018,0.3333,0.0342,0.012277452958168341,0.5802139037433155,0.5405,0.014,0.6875,0.0274,0.012556255050328707,0.6133083283818578,0.8464,0.0366,0.6042,0.069,0.02582205033200797,0.7264247870865518,0.9912,0.6364,0.1458,0.2372,0.10084697772308131,0.5725205486234898,16,4176,873,32,33,2722,2327,15,29,4285,764,19,7,5045,4,41
0.8197,0.0198,0.375,0.0376,0.013327932054201415,0.5994627649039413,0.5389,0.0168,0.8333,0.0329,0.015563393425315462,0.6847395523866112,0.8454,0.0421,0.7083,0.0795,0.03255281936374921,0.777517825311943,0.9896,0.3684,0.1458,0.2089,0.06177201759548961,0.571728312537136,18,4160,889,30,40,2707,2342,8,34,4275,774,14,7,5037,12,41
0.8185,0.0218,0.4167,0.0414,0.014581032013828136,0.619503862150921,0.5429,0.0149,0.7292,0.0292,0.013401214358119154,0.6351319568231333,0.8385,0.0348,0.6042,0.0658,0.02476109631610148,0.722463606654783,0.99,0.4348,0.2083,0.2817,0.09803507604643823,0.6028792830263418,20,4152,897,28,35,2732,2317,13,29,4245,804,19,10,5036,13,38
0.8191,0.024,0.4583,0.0456,0.01608506306627462,0.6404362249950485,0.5376,0.0155,0.7708,0.0304,0.014126589361518723,0.6530934343434344,0.843,0.0381,0.6458,0.072,0.027930913617346818,0.7453765597147951,0.992,0.8182,0.1875,0.3051,0.16106065065011504,0.5935519409784116,22,4153,896,26,37,2703,2346,11,31,4266,783,17,9,5047,2,39
0.8281,0.0327,0.6042,0.062,0.02350288987325346,0.7172150425826895,0.5462,0.0179,0.875,0.0351,0.01682211833720835,0.7090389185977422,0.8493,0.0455,0.75,0.0858,0.03644523516507036,0.8001336898395722,0.9906,0.5,0.0833,0.1428,0.05029919560525799,0.5412705486234898,29,4192,857,19,42,2742,2307,6,36,4293,756,12,4,5045,4,44
0.8193,0.0177,0.3333,0.0336,0.012171388868113298,0.578629431570608,0.5458,0.015,0.7292,0.0294,0.013470859380227272,0.6366173994850465,0.8466,0.0354,0.5833,0.0667,0.024598982275500853,0.7162061794414736,0.991,0.5714,0.1667,0.2581,0.10308584881863281,0.5827391562685681,16,4160,889,32,35,2747,2302,13,28,4287,762,20,8,5043,6,40
0.8195,0.0261,0.5,0.0496,0.01775213040919211,0.6612695583283819,0.5403,0.0168,0.8333,0.0329,0.01560463843540576,0.6854327589621708,0.854,0.0445,0.7083,0.0837,0.03426940136226319,0.7818751237868885,0.9912,0.6364,0.1458,0.2372,0.10084697772308131,0.5725205486234898,24,4153,896,24,40,2714,2335,8,34,4319,730,14,7,5045,4,41
0.8132,0.0222,0.4375,0.0423,0.015009178698575334,0.6271477025153496,0.5382,0.0155,0.7708,0.0304,0.014141675652014778,0.653390522875817,0.845,0.0408,0.6875,0.077,0.03102149670161248,0.7670021291344821,0.9902,0.4375,0.1458,0.2187,0.07184603075338435,0.5720254010695187,21,4124,925,27,37,2706,2343,11,33,4274,775,15,7,5040,9,41
0.812,0.018,0.3542,0.0343,0.012460010437345997,0.5852829768270945,0.5391,0.0144,0.7083,0.0282,0.012912747241298463,0.6229327589621708,0.8444,0.035,0.5833,0.066,0.02431505448481727,0.7151168548227372,0.9886,0.3077,0.1667,0.2162,0.059129804862588856,0.5815508021390374,17,4122,927,31,34,2714,2335,14,28,4276,773,20,8,5031,18,40
