Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.25,0.825,0.502,0.828,0.665,0.993,0.043
DecisionTree,0.4,0.764,0.556,0.766,0.661,0.994,0.029
DecisionTree,0.5,0.727,0.567,0.729,0.648,0.994,0.023
DecisionTree,0.3,0.793,0.495,0.796,0.646,0.993,0.031
RandomForest,0.1,0.91,0.368,0.916,0.642,0.993,0.128
ExtraTrees,0.4,0.793,0.486,0.796,0.641,0.993,0.034
DecisionTree,0.1,0.834,0.442,0.838,0.64,0.993,0.06
DecisionTree,0.05,0.881,0.388,0.887,0.637,0.992,0.096
ExtraTrees,0.25,0.844,0.425,0.849,0.637,0.993,0.041
ExtraTrees,0.5,0.742,0.525,0.744,0.634,0.993,0.024
RandomForest,0.25,0.844,0.416,0.849,0.632,0.993,0.046
ExtraTrees,0.1,0.84,0.407,0.845,0.626,0.992,0.06
RandomForest,0.5,0.764,0.481,0.767,0.624,0.993,0.022
DecisionTree,0.15,0.805,0.423,0.809,0.616,0.992,0.036
ExtraTrees,0.3,0.799,0.428,0.803,0.616,0.992,0.025
RandomForest,0.4,0.789,0.437,0.793,0.615,0.992,0.027
ExtraTrees,0.05,0.883,0.339,0.888,0.614,0.992,0.081
RandomForest,0.3,0.804,0.404,0.808,0.606,0.992,0.026
RandomForest,0.05,0.872,0.318,0.878,0.598,0.992,0.079
LinearSVC,0.05,0.619,0.57,0.619,0.595,0.993,0.011
RandomForest,0.15,0.854,0.326,0.86,0.593,0.992,0.036
ExtraTrees,0.15,0.811,0.368,0.816,0.592,0.992,0.031
LinearSVC,0.5,0.625,0.553,0.626,0.589,0.992,0.01
LinearSVC,0.4,0.619,0.554,0.62,0.587,0.992,0.01
GradientBoosting,0.5,0.911,0.254,0.918,0.586,0.991,0.039
LinearSVC,0.1,0.629,0.54,0.63,0.585,0.992,0.01
LinearSVC,0.25,0.62,0.542,0.621,0.582,0.992,0.009
SVC_Linear,0.1,0.583,0.572,0.583,0.578,0.992,0.008
GradientBoosting,0.4,0.942,0.2,0.95,0.575,0.991,0.055
SVC_Linear,0.5,0.584,0.565,0.585,0.575,0.992,0.008
LinearSVC,0.15,0.622,0.523,0.623,0.573,0.992,0.008
KNeighbors,0.5,0.712,0.43,0.715,0.573,0.991,0.014
SVC_Linear,0.05,0.589,0.553,0.589,0.571,0.992,0.007
KNeighbors,0.4,0.767,0.363,0.771,0.567,0.991,0.018
GradientBoosting,0.25,0.97,0.147,0.979,0.563,0.991,0.083
LinearSVC,0.3,0.621,0.504,0.622,0.563,0.991,0.007
SVC,0.4,0.609,0.514,0.61,0.562,0.991,0.007
SVC,0.1,0.59,0.528,0.591,0.56,0.991,0.006
SVC_Linear,0.15,0.592,0.528,0.593,0.56,0.991,0.006
KNeighbors,0.25,0.856,0.256,0.862,0.559,0.991,0.026
SVC_Linear,0.4,0.588,0.523,0.588,0.556,0.991,0.006
AdaBoost,0.4,0.933,0.17,0.942,0.556,0.991,0.036
GradientBoosting,0.3,0.963,0.139,0.971,0.555,0.99,0.058
SVC_Linear,0.3,0.586,0.519,0.587,0.553,0.991,0.005
SGD,0.3,0.625,0.479,0.627,0.553,0.992,0.012
SVC,0.15,0.603,0.498,0.604,0.551,0.991,0.006
SVC,0.25,0.616,0.484,0.617,0.551,0.991,0.006
SVC,0.3,0.604,0.498,0.605,0.551,0.991,0.006
SVC,0.05,0.642,0.454,0.644,0.549,0.991,0.006
AdaBoost,0.5,0.903,0.188,0.911,0.549,0.99,0.022
SVC_Linear,0.25,0.584,0.509,0.585,0.547,0.991,0.005
SVC,0.5,0.589,0.504,0.59,0.547,0.991,0.005
SGD,0.1,0.663,0.419,0.666,0.543,0.991,0.008
SGD,0.25,0.508,0.579,0.507,0.543,0.992,0.008
KNeighbors,0.15,0.816,0.26,0.822,0.541,0.99,0.027
SGD,0.15,0.455,0.628,0.453,0.541,0.987,0.006
SGD,0.05,0.541,0.539,0.542,0.54,0.991,0.008
GradientBoosting,0.15,0.981,0.086,0.991,0.538,0.99,0.078
SGD,0.4,0.658,0.416,0.661,0.538,0.99,0.007
AdaBoost,0.3,0.965,0.093,0.975,0.534,0.99,0.039
AdaBoost,0.25,0.973,0.081,0.982,0.531,0.99,0.045
KNeighbors,0.1,0.928,0.123,0.936,0.53,0.99,0.043
GradientBoosting,0.1,0.985,0.061,0.995,0.528,0.99,0.072
KNeighbors,0.3,0.761,0.281,0.767,0.524,0.99,0.01
SGD,0.5,0.497,0.551,0.496,0.524,0.892,0.003
GaussianNB,0.25,0.678,0.365,0.681,0.523,0.99,0.022
GradientBoosting,0.05,0.988,0.046,0.998,0.522,0.99,0.07
GaussianNB,0.15,0.477,0.563,0.476,0.52,0.985,0.012
GaussianNB,0.4,0.949,0.077,0.958,0.518,0.99,0.03
GaussianNB,0.3,0.777,0.249,0.782,0.516,0.992,0.026
AdaBoost,0.1,0.987,0.03,0.997,0.514,0.99,0.041
AdaBoost,0.15,0.984,0.033,0.994,0.514,0.99,0.035
GaussianNB,0.5,0.98,0.03,0.99,0.51,0.989,0.02
AdaBoost,0.05,0.989,0.011,0.999,0.505,0.989,0.018
GaussianNB,0.1,0.205,0.811,0.199,0.505,0.998,0.005
GaussianNB,0.05,0.112,0.902,0.103,0.502,0.995,0.002
KNeighbors,0.05,0.853,0.14,0.861,0.501,0.989,0.038
