Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
RandomForest,0.15,0.938,0.293,0.945,0.619,0.992,0.091
RandomForest,0.5,0.77,0.454,0.773,0.614,0.992,0.021
LinearSVC,0.1,0.626,0.6,0.626,0.613,0.993,0.013
RandomForest,0.25,0.869,0.342,0.875,0.608,0.992,0.035
RandomForest,0.4,0.805,0.407,0.81,0.608,0.992,0.024
RandomForest,0.3,0.856,0.344,0.861,0.603,0.992,0.03
LinearSVC,0.4,0.622,0.579,0.623,0.601,0.993,0.011
LinearSVC,0.25,0.624,0.572,0.624,0.598,0.993,0.011
LinearSVC,0.15,0.623,0.561,0.624,0.593,0.992,0.01
RandomForest,0.05,0.957,0.216,0.965,0.59,0.991,0.114
GradientBoosting,0.5,0.897,0.275,0.904,0.59,0.991,0.037
LinearSVC,0.05,0.636,0.54,0.637,0.589,0.992,0.01
RandomForest,0.1,0.926,0.244,0.934,0.589,0.991,0.058
KNeighbors,0.5,0.815,0.353,0.82,0.586,0.991,0.02
SVC_Linear,0.1,0.591,0.575,0.591,0.583,0.992,0.009
GradientBoosting,0.4,0.938,0.209,0.946,0.577,0.991,0.051
SVC_Linear,0.05,0.598,0.549,0.598,0.574,0.992,0.008
KNeighbors,0.4,0.806,0.332,0.811,0.572,0.991,0.02
SVC,0.1,0.602,0.539,0.603,0.571,0.992,0.008
LinearSVC,0.3,0.62,0.518,0.621,0.569,0.992,0.008
KNeighbors,0.3,0.898,0.226,0.905,0.566,0.991,0.028
SVC_Linear,0.4,0.582,0.547,0.582,0.565,0.992,0.007
SVC_Linear,0.25,0.593,0.535,0.594,0.564,0.992,0.007
SVC,0.4,0.599,0.528,0.6,0.564,0.992,0.007
LinearSVC,0.5,0.616,0.511,0.617,0.564,0.991,0.007
SVC_Linear,0.15,0.578,0.547,0.579,0.563,0.992,0.006
SVC,0.05,0.615,0.509,0.616,0.562,0.991,0.007
SVC,0.15,0.604,0.509,0.605,0.557,0.991,0.006
GradientBoosting,0.25,0.969,0.137,0.978,0.557,0.99,0.075
AdaBoost,0.4,0.934,0.17,0.942,0.556,0.991,0.035
GradientBoosting,0.3,0.96,0.142,0.969,0.555,0.99,0.053
AdaBoost,0.5,0.888,0.214,0.895,0.555,0.991,0.021
SGD,0.15,0.637,0.47,0.638,0.554,0.991,0.011
SVC,0.25,0.589,0.519,0.59,0.554,0.991,0.006
SVC_Linear,0.5,0.598,0.509,0.599,0.554,0.991,0.006
SVC,0.3,0.583,0.523,0.584,0.553,0.991,0.005
KNeighbors,0.15,0.956,0.139,0.965,0.552,0.99,0.048
SGD,0.25,0.536,0.568,0.536,0.552,0.991,0.007
KNeighbors,0.25,0.892,0.204,0.899,0.551,0.99,0.028
GradientBoosting,0.15,0.981,0.109,0.991,0.55,0.99,0.099
SVC,0.5,0.565,0.532,0.566,0.549,0.991,0.005
SGD,0.1,0.605,0.489,0.606,0.548,0.991,0.008
SVC_Linear,0.3,0.604,0.484,0.606,0.545,0.991,0.005
AdaBoost,0.3,0.956,0.121,0.965,0.543,0.99,0.042
KNeighbors,0.1,0.97,0.104,0.979,0.541,0.99,0.058
SGD,0.3,0.523,0.56,0.523,0.541,0.992,0.004
SGD,0.4,0.656,0.419,0.659,0.539,0.99,0.013
AdaBoost,0.25,0.969,0.098,0.978,0.538,0.99,0.049
KNeighbors,0.05,0.981,0.079,0.99,0.535,0.99,0.086
SGD,0.05,0.483,0.586,0.482,0.534,0.989,0.006
GradientBoosting,0.1,0.986,0.056,0.996,0.526,0.99,0.07
GradientBoosting,0.05,0.988,0.047,0.998,0.523,0.99,0.074
GaussianNB,0.25,0.618,0.418,0.62,0.519,0.986,0.024
GaussianNB,0.5,0.981,0.044,0.991,0.517,0.99,0.038
AdaBoost,0.15,0.983,0.039,0.993,0.516,0.99,0.037
SGD,0.5,0.649,0.381,0.652,0.516,0.991,0.004
GaussianNB,0.4,0.884,0.139,0.892,0.515,0.991,0.032
GaussianNB,0.3,0.522,0.495,0.523,0.509,0.988,0.023
AdaBoost,0.1,0.986,0.018,0.997,0.507,0.989,0.022
AdaBoost,0.05,0.988,0.012,0.999,0.506,0.989,0.02
GaussianNB,0.15,0.304,0.711,0.299,0.505,0.994,0.009
GaussianNB,0.1,0.015,0.998,0.004,0.501,0.991,0
GaussianNB,0.05,0.017,0.989,0.006,0.498,0.98,0
