Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DecisionTree,0.05,0.964,0.4,0.97,0.685,0.993,0.165
ExtraTrees,0.05,0.967,0.391,0.974,0.682,0.993,0.175
ExtraTrees,0.4,0.839,0.475,0.843,0.659,0.993,0.041
DecisionTree,0.4,0.829,0.475,0.833,0.654,0.993,0.037
RandomForest,0.4,0.843,0.435,0.848,0.641,0.993,0.037
DecisionTree,0.25,0.885,0.382,0.89,0.636,0.993,0.047
ExtraTrees,0.25,0.893,0.37,0.899,0.634,0.993,0.05
DecisionTree,0.3,0.877,0.382,0.882,0.632,0.993,0.041
ExtraTrees,0.3,0.886,0.37,0.891,0.631,0.993,0.044
ExtraTrees,0.5,0.815,0.423,0.819,0.621,0.993,0.025
RandomForest,0.3,0.886,0.346,0.892,0.619,0.992,0.04
DecisionTree,0.5,0.808,0.418,0.812,0.615,0.992,0.023
RandomForest,0.1,0.963,0.249,0.971,0.61,0.992,0.095
RandomForest,0.15,0.95,0.247,0.957,0.602,0.992,0.084
DecisionTree,0.15,0.941,0.253,0.949,0.601,0.992,0.065
ExtraTrees,0.15,0.946,0.246,0.954,0.6,0.992,0.067
DecisionTree,0.1,0.963,0.196,0.971,0.584,0.991,0.077
ExtraTrees,0.1,0.966,0.193,0.974,0.584,0.991,0.083
RandomForest,0.5,0.853,0.295,0.859,0.577,0.991,0.021
RandomForest,0.05,0.978,0.16,0.987,0.573,0.991,0.09
RandomForest,0.25,0.964,0.118,0.973,0.545,0.99,0.052
SGD,0.4,0.91,0.139,0.919,0.529,0.99,0.022
SGD,0.5,0.88,0.161,0.888,0.525,0.99,0.017
LinearSVC,0.5,0.969,0.049,0.979,0.514,0.99,0.021
LinearSVC,0.4,0.982,0.023,0.992,0.508,0.989,0.019
SVC,0.4,0.985,0.018,0.996,0.507,0.989,0.018
LinearSVC,0.25,0.986,0.014,0.997,0.506,0.989,0.016
SVC_Linear,0.25,0.988,0.009,0.999,0.504,0.989,0.012
SGD,0.25,0.988,0.009,0.998,0.504,0.989,0.011
SVC_Linear,0.3,0.988,0.009,0.998,0.504,0.989,0.01
SVC_Linear,0.5,0.988,0.009,0.999,0.504,0.989,0.012
SVC,0.25,0.989,0.007,0.999,0.503,0.989,0.012
SVC,0.3,0.988,0.007,0.999,0.503,0.989,0.009
SGD,0.3,0.987,0.009,0.998,0.503,0.989,0.008
SVC,0.5,0.985,0.011,0.995,0.503,0.989,0.012
SVC,0.1,0.989,0.005,1,0.502,0.989,0.009
SVC_Linear,0.4,0.989,0.005,0.999,0.502,0.989,0.007
SVC,0.05,0.989,0.002,1,0.501,0.989,0.003
SVC_Linear,0.1,0.989,0.004,0.999,0.501,0.989,0.005
LinearSVC,0.1,0.988,0.004,0.999,0.501,0.989,0.005
SGD,0.1,0.989,0.004,0.999,0.501,0.989,0.005
SVC_Linear,0.15,0.989,0.002,1,0.501,0.989,0.002
LinearSVC,0.15,0.989,0.002,0.999,0.501,0.989,0.002
SGD,0.15,0.989,0.002,0.999,0.501,0.989,0.002
LinearSVC,0.3,0.985,0.005,0.996,0.501,0.989,0.001
SVC_Linear,0.05,0.989,0,1,0.5,0.989,0
LinearSVC,0.05,0.989,0,1,0.5,0.989,0
SGD,0.05,0.989,0,1,0.5,0.989,0
SVC,0.15,0.989,0,1,0.5,0.989,-0.001
