Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
ExtraTrees,0.1,0.884,0.518,0.888,0.703,0.994,0.096
DecisionTree,0.1,0.882,0.516,0.886,0.701,0.994,0.092
RandomForest,0.25,0.805,0.539,0.808,0.673,0.994,0.043
DecisionTree,0.3,0.764,0.581,0.766,0.673,0.994,0.035
ExtraTrees,0.3,0.77,0.57,0.772,0.671,0.994,0.036
DecisionTree,0.4,0.728,0.605,0.729,0.667,0.994,0.028
ExtraTrees,0.4,0.741,0.589,0.743,0.666,0.994,0.03
RandomForest,0.5,0.735,0.586,0.737,0.662,0.994,0.026
DecisionTree,0.05,0.841,0.47,0.845,0.658,0.993,0.099
RandomForest,0.1,0.852,0.451,0.857,0.654,0.993,0.081
ExtraTrees,0.05,0.841,0.463,0.845,0.654,0.993,0.096
DecisionTree,0.15,0.793,0.512,0.796,0.654,0.993,0.047
RandomForest,0.4,0.761,0.54,0.764,0.652,0.993,0.028
ExtraTrees,0.15,0.793,0.505,0.796,0.651,0.993,0.047
RandomForest,0.05,0.846,0.449,0.85,0.65,0.993,0.099
RandomForest,0.3,0.787,0.498,0.79,0.644,0.993,0.032
ExtraTrees,0.5,0.676,0.598,0.677,0.638,0.994,0.019
DecisionTree,0.5,0.669,0.604,0.669,0.636,0.994,0.018
RandomForest,0.15,0.77,0.46,0.773,0.616,0.992,0.036
ExtraTrees,0.25,0.696,0.535,0.697,0.616,0.993,0.022
DecisionTree,0.25,0.692,0.535,0.694,0.615,0.993,0.021
GradientBoosting,0.5,0.903,0.279,0.91,0.594,0.991,0.038
LinearSVC,0.5,0.577,0.596,0.577,0.587,0.992,0.009
LinearSVC,0.1,0.582,0.588,0.582,0.585,0.992,0.009
LinearSVC,0.25,0.578,0.593,0.578,0.585,0.992,0.009
KNeighbors,0.5,0.674,0.479,0.677,0.578,0.991,0.016
LinearSVC,0.4,0.578,0.575,0.578,0.577,0.992,0.008
LinearSVC,0.05,0.587,0.56,0.588,0.574,0.992,0.008
LinearSVC,0.3,0.592,0.556,0.592,0.574,0.992,0.008
SVC_Linear,0.15,0.584,0.558,0.585,0.571,0.992,0.007
LinearSVC,0.15,0.61,0.532,0.611,0.571,0.992,0.008
GradientBoosting,0.4,0.94,0.191,0.948,0.57,0.991,0.045
SVC_Linear,0.4,0.586,0.551,0.586,0.569,0.992,0.007
SVC,0.5,0.557,0.581,0.557,0.569,0.992,0.007
SVC_Linear,0.5,0.587,0.549,0.587,0.568,0.992,0.007
SVC_Linear,0.05,0.585,0.544,0.585,0.565,0.992,0.007
SVC,0.25,0.557,0.574,0.556,0.565,0.992,0.006
KNeighbors,0.4,0.74,0.386,0.744,0.565,0.991,0.016
SVC_Linear,0.25,0.587,0.54,0.588,0.564,0.992,0.007
GradientBoosting,0.25,0.968,0.149,0.977,0.563,0.991,0.075
SVC_Linear,0.1,0.59,0.533,0.591,0.562,0.991,0.006
AdaBoost,0.5,0.918,0.196,0.926,0.561,0.991,0.029
SVC,0.1,0.597,0.523,0.598,0.56,0.991,0.006
SVC,0.15,0.582,0.537,0.582,0.56,0.991,0.006
SVC_Linear,0.3,0.587,0.532,0.587,0.56,0.991,0.006
SVC,0.4,0.585,0.523,0.586,0.554,0.991,0.006
GaussianNB,0.5,0.734,0.365,0.738,0.552,0.991,0.013
AdaBoost,0.4,0.944,0.149,0.953,0.551,0.99,0.037
SVC,0.05,0.59,0.507,0.59,0.549,0.991,0.005
GradientBoosting,0.3,0.956,0.133,0.965,0.549,0.99,0.044
SVC,0.3,0.549,0.542,0.549,0.546,0.991,0.004
SGD,0.3,0.565,0.519,0.565,0.542,0.992,0.006
GradientBoosting,0.15,0.981,0.086,0.991,0.538,0.99,0.076
GaussianNB,0.4,0.841,0.226,0.848,0.537,0.99,0.018
AdaBoost,0.25,0.973,0.088,0.982,0.535,0.99,0.05
SGD,0.15,0.571,0.496,0.572,0.534,0.992,0.004
GaussianNB,0.25,0.927,0.13,0.935,0.533,0.99,0.022
SGD,0.4,0.436,0.63,0.434,0.532,0.993,0.004
GaussianNB,0.3,0.908,0.144,0.917,0.53,0.99,0.016
SGD,0.25,0.811,0.24,0.817,0.529,0.99,0.006
KNeighbors,0.25,0.727,0.325,0.731,0.528,0.99,0.018
GradientBoosting,0.1,0.985,0.056,0.995,0.525,0.99,0.065
AdaBoost,0.3,0.966,0.074,0.976,0.525,0.99,0.029
SGD,0.5,0.506,0.539,0.506,0.522,0.992,0.002
SGD,0.05,0.249,0.796,0.243,0.52,0.99,0.003
SGD,0.1,0.457,0.584,0.455,0.52,0.992,0.004
KNeighbors,0.3,0.672,0.356,0.675,0.516,0.989,0.008
GradientBoosting,0.05,0.988,0.032,0.998,0.515,0.99,0.044
GaussianNB,0.1,0.973,0.047,0.983,0.515,0.99,0.021
AdaBoost,0.15,0.984,0.026,0.995,0.511,0.989,0.028
KNeighbors,0.15,0.735,0.281,0.74,0.51,0.989,0.013
GaussianNB,0.15,0.776,0.237,0.782,0.509,0.99,0.012
AdaBoost,0.1,0.987,0.011,0.998,0.504,0.989,0.013
AdaBoost,0.05,0.989,0.005,0.999,0.502,0.989,0.008
GaussianNB,0.05,0.881,0.114,0.889,0.502,0.99,0.004
KNeighbors,0.1,0.836,0.151,0.844,0.497,0.989,0.029
KNeighbors,0.05,0.771,0.177,0.778,0.477,0.988,0.021
